Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Mercer ^np++++=Mercer
was ^vbd+bedz+vrb++=was
a ^at++++=a
psychoanalyst ^nn++++=psychoanalyst
and ^cc++++=and
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
one ^pn++++=one
for ^in++++=for
twenty ^cd++++=twenty
years ^nns++++=years.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
him ^pp3o+pp3+++=him
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
thin ^jj+atrb+++=thin
man ^nn++++=man
with ^in++++=with
heavy ^jj+atrb+++=heavy
eyelids ^nns++++=eyelids
and ^cc++++=and
a ^at++++=a
neck ^nn++++=neck
too ^rb++++=too
small ^jj++++=small
for ^in++++=for
his ^pp$+pp3+++=his
collar ^nn++++=collar.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
habit ^nn++++=habit
of ^in++++=of
putting ^xvbg+++xvbg+=putting
two ^cd++++=two
fingers ^nns+nom+++=fingers
between ^in++++=between
the ^ati++++=the
cloth ^nn++++=cloth
and ^cc++++=and
his ^pp$+pp3+++=his
throat ^nn++++=throat,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
the ^ati++++=the
collar ^nn++++=collar
choked ^vbd+++xvbn+=choked
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
habit ^nn++++=habit
became ^vbd+++xvbn+=became
more ^rbr++++=more
noticeable ^jj++++=noticeable
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
tired ^vpsv++agls+xvbnx+=tired.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
walked ^vbd+++xvbn+=walked
one ^cd1++++=one
evening ^nn++++=evening
through ^in++++=through
a ^at++++=a
park ^npl++++=park
at ^rb++++=at
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
city ^nn++++=city.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
early ^jj+pred+++=early
spring ^vb++++=spring.
. ^zz++++=EXTRAWORD
The ^ati++++=The
grass ^nn++++=grass
was ^vbd+bedz+vrb++=was
gray ^np++++=gray
and ^cc++++=and
wet ^nn++++=wet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there
small ^jj+atrb+++=small
leaves ^nns++++=leaves
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
show ^vbi+vprv+++=show
on ^in++++=on
the ^ati++++=the
bushes ^nns++++=bushes.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
the ^ati++++=the
trees ^nns++++=trees
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
factories ^nns++++=factories,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beyond ^in++++=beyond
the ^ati++++=the
factories ^nns++++=factories
a ^at++++=a
strip ^nn++++=strip
of ^in++++=of
lake ^nn++++=lake
shone ^vbd+++xvbn+=shone
like ^in++++=like
metal ^nn++++=metal.
. ^zz++++=EXTRAWORD
The ^ati++++=The
doctor ^nn++++=doctor
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
the ^ati++++=the
day ^nn++++=day
listening ^vwbg+++xvbg+=listening
