Let ^vb+++xvbn+=Let
us ^pp1o+pp1+++=us
call ^nn++++=call
him ^pp3o+pp3+++=him
Max ^np++++=Max
Z ^zz++++=Z.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
name ^nn++++=name
proves ^vbz+vprv+++=proves
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
many ^ap++++=many
Maxes ^np+++??+=Maxes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
alphabet ^nn++++=alphabet
has ^vbz+hvz+aux++=has
buried ^vprf+++xvbnx+=buried
more ^ql++++=more
hearts ^nns++++=hearts
than ^in++++=than
history ^nn++++=history
can ^md+pos+++=can
catalogue ^vb++++=catalogue.
. ^zz++++=EXTRAWORD
Better ^jjr++++=Better
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
us ^pp1o+pp1+++=us
call ^nn++++=call
him ^pp3o+pp3+++=him
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
N+1 ^np++++=N+1,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
before ^cs+sub+++=before
him ^pp3o+pp3+++=him
stood ^vbd+++xvbn+=stood
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
N ^zz++++=N,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
likewise ^rb+cnj+++=likewise
considered ^vbd+vprv++xvbn+=considered
himself ^ppl+pp3+++=himself
the ^ati++++=the
first ^rb++++=first
genuine ^jj+atrb+++=genuine
lover ^nn++++=lover,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
him ^pp3o+pp3+++=him
will ^md+prd+++=will
come ^vb++++=come
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
N+2 ^np++++=N+2,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
will ^md+prd+++=will
make ^vb++++=make
the ^ati++++=the
same ^ap++++=same
discovery ^nn+nom+++=discovery
with ^in++++=with
improved ^jj+atrb++xvbn+=improved
vocabulary ^nn+nom+++=vocabulary.
. ^zz++++=EXTRAWORD
Max ^np++++=Max
had ^vb+hv+vrb++=had
no ^at++++=no
special ^jj+atrb+++=special
peculiarities ^nns+nom+++=peculiarities.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
young ^jj+pred+++=young,
, ^zz++++=EXTRAWORD
ardent ^jj++++=ardent,
