In ^in++++=In
a ^at++++=a
narrow ^jj+atrb+++=narrow
street ^nn++++=street
where ^wrb+who+++=where
the ^ati++++=the
sun ^nn++++=sun
fell ^vbd+++xvbn+=fell
chiefly ^rb++++=chiefly
upon ^in++++=upon
ash ^nn++++=ash
barrels ^nns++++=barrels
and ^cc++++=and
broken ^xvbn+++xvbn+=broken
bottles ^nns++++=bottles,
, ^zz++++=EXTRAWORD
a ^at++++=a
child ^nn++++=child
discovered ^vbd+vprv++xvbn+=discovered
a ^at++++=a
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
The ^ati++++=The
child ^nn++++=child
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
on ^in++++=on
a ^at++++=a
curb ^nn++++=curb,
, ^zz++++=EXTRAWORD
scraping ^nn++++=scraping
designs ^nns++++=designs
in ^in++++=in
the ^ati++++=the
dust ^nn++++=dust
with ^in++++=with
a ^at++++=a
nail ^nn++++=nail.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
drawn ^vprf+++xvbnx+=drawn
a ^at++++=a
house ^nn++++=house
with ^in++++=with
nine ^cd++++=nine
chimneys ^nns++++=chimneys
and ^cc++++=and
was ^vbd+bedz+aux++=was
adding ^vbg+vpub++xvbgx+=adding
smoke ^nn++++=smoke
when ^wrb+who+++=when
the ^ati++++=the
dog ^nn++++=dog
paused ^vbd+++xvbn+=paused
near ^rb++++=near
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^jj+atrb+++=small
dog ^nn++++=dog,
, ^zz++++=EXTRAWORD
reddish ^jj++++=reddish
under ^in++++=under
the ^ati++++=the
dirt ^nn++++=dirt,
, ^zz++++=EXTRAWORD
with ^in++++=with
one ^cd1++++=one
white ^jj+atrb+++=white
foot ^nn++++=foot
and ^cc++++=and
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
rope ^nn++++=rope
trailing ^vwbg+++xvbg+=trailing
from ^in++++=from
its ^pp$+it+++=its
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rope ^nn++++=rope
had ^vb+hv+aux++=had
evidently ^rb++splt++=evidently
survived ^vprf+++xvbnx+=survived
some ^dti++++=some
former ^ap++++=former
arrangement ^nn+nom+++=arrangement
of ^in++++=of
society ^nn++++=society
from ^in++++=from
which ^whp+rel+pied++=which
the ^ati++++=the
dog ^nn++++=dog
had ^vbd+hvd+aux++=had
escaped ^vprf+++xvbnx+=escaped
or ^cc+phrs+++=or
been ^vprf+ben+aux+xvbn+=been
dismissed ^vpsv++agls+xvbnx+=dismissed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
