I ^pp1a+pp1+++=I
At ^in++++=At
half ^abn++++=half-past
- ^zz++++=EXTRAWORD
past ^jjb++++=EXTRAWORD
nine ^cd++++=nine
on ^in++++=on
a ^at++++=a
Tuesday ^nr++++=Tuesday
morning ^nn++++=morning
George ^np++++=George
Peel ^nn++++=Peel,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rising ^jj+atrb++xvbg+=rising
young ^jj+atrb+++=young
sculptor ^nn++++=sculptor,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
eating ^vbg+++xvbgx+=eating
kidneys ^nns++++=kidneys
in ^in++++=in
a ^at++++=a
pale ^nn++++=pale
blue ^jj++++=blue
dressing ^jj+++xvbg+=dressing-gown
- ^zz++++=EXTRAWORD
gown ^nn++++=EXTRAWORD
while ^cs+sub+++=while
a ^at++++=a
considerable ^jj+atrb+++=considerable
part ^nn++++=part
of ^in++++=of
London ^np++++=London
had ^vb+hv+aux++=had
already ^rb++splt++=already
performed ^vprf+++xvbnx+=performed
enough ^qlp++++=enough
labour ^nn++++=labour
to ^to++++=to
justify ^vbi++++=justify
lunch ^vb++++=lunch.
. ^zz++++=EXTRAWORD
The ^ati++++=The
room ^nn++++=room
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
ate ^vbd+++xvbnx+=ate
them ^pp3o+pp3+++=them
overlooked ^vbd+vprv++xvbn+=overlooked
Regent ^np++++=Regent's
's ^$++++=EXTRAWORD
Park ^npl++++=Park,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
furnished ^vpsv++agls+xvbnx+=furnished
with ^in++++=with
that ^dt+dem+++=that
severe ^jj+atrb+++=severe
elegance ^nn+nom+++=elegance
which ^whp+rel+obj++=which
costs ^nns++++=costs
much ^ap++++=much
more ^ql++++=more
than ^cs+sub+++=than
mere ^jjb+atrb+++=mere
comfort ^nn++++=comfort.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
grey ^np++++=grey
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
black ^jj+atrb+++=black
chairs ^nns++++=chairs,
, ^zz++++=EXTRAWORD
a ^at++++=a
silver ^nn++++=silver
coffee ^nn++++=coffee-pot,
- ^zz++++=EXTRAWORD
pot ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
two ^cd++++=two
Japanese ^jj+atrb+++=Japanese
prints ^nns++++=prints,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
small ^jj+atrb+++=small
bronze ^nn++++=bronze
figure ^nn++++=figure
by ^in++++=by
George ^np++++=George
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
entitled ^xvbn+++xvbn+=entitled
*the ^nn+++??+=*The
Awakening ^nn++++=Awakening
of ^in++++=of
Labour* ^np+++??+=Labour*.
. ^zz++++=EXTRAWORD
Labour ^nn++++=Labour,
, ^zz++++=EXTRAWORD
represented ^xvbn+++xvbn+=represented
by ^in++++=by
a ^at++++=a
young ^jj+atrb+++=young
woman ^nn++++=woman
without ^in++++=without
sufficient ^jj+atrb+++=sufficient
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
awakening ^nn++++=awakening
beautifully ^rb++++=beautifully
upon ^in++++=upon
a ^at++++=a
marble ^nn++++=marble
pedestal ^nn+nom+++=pedestal.
. ^zz++++=EXTRAWORD
George ^np++++=George,
, ^zz++++=EXTRAWORD
represented ^xvbn+++xvbn+=represented
by ^in++++=by
George ^np++++=George,
, ^zz++++=EXTRAWORD
remained ^j+++xvbn+=remained
seated ^jj+++xvbn+=seated.
. ^zz++++=EXTRAWORD
Opposite ^jj++++=Opposite
him ^pp3o+pp3+++=him
Mary ^np++++=Mary
Peel ^vb++++=Peel
administered ^vbd+++xvbn+=administered
porridge ^nn++++=porridge
to ^in++++=to
their ^pp$+pp3+++=their
son ^nn++++=son.
. ^zz++++=EXTRAWORD
The ^ati++++=The
son ^nn++++=son,
, ^zz++++=EXTRAWORD
also ^rb++++=also
George ^np++++=George,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
known ^vbd+vprv++xvbn+=known
as ^ql++++=as
Georgie ^np++++=Georgie
in ^cs+sub+++=in
order ^vb++++=order
that ^tht+vcmp+++=that
the ^ati++++=the
world ^nn++++=world
might ^md+pos+++=might
distinguish ^vb++++=distinguish
between ^in++++=between
genius ^nn++++=genius
and ^cc++++=and
infancy ^nn++++=infancy,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
eleven ^cd++++=eleven
months ^nns++++=months
old ^jj++++=old.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^$++++=EXTRAWORD
brow ^nn++++=brow,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
own ^ap++++=own
astonishing ^jj++++=astonishing
disregard ^vb++++=disregard
for ^in++++=for
the ^ati++++=the
decencies ^nns+++??+=decencies
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
moment ^nn++++=moment
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
placed ^vprf+++xvbnx+=placed
one ^cd1++++=one
hand ^nn++++=hand
in ^in++++=in
the ^ati++++=the
porridge ^nn++++=porridge
and ^cc++++=and
was ^vbd+bedz+aux++=was
considering ^vbg+++xvbgx+=considering
whether ^cs+who+++=whether
the ^ati++++=the
silver ^nn++++=silver
spoon ^nn++++=spoon
might ^md+pos+++=might
not ^xnot++not++=not
be ^vb+be+aux++=be
more ^rbr++splt++=more
profitably ^rb++++=profitably
employed ^vbd+++xvbn+=employed
upon ^in++++=upon
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
" ^zz++++="Another
another ^dt++++=EXTRAWORD
letter ^nn++++=letter
from ^in++++=from
Uncle ^nn++++=Uncle
Samuel ^np++++=Samuel,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mary ^np++++=Mary.
. ^zz++++=EXTRAWORD
George ^np++++=George
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
envelope ^nn++++=envelope
beside ^in+pl+++=beside
his ^pp$+pp3+++=his
plate ^nn++++=plate.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+vrb++=be
a ^at++++=a
commission ^nn++++=commission."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mary ^np++++=Mary
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
A ^at++++=A
wife ^nn++++=wife
learns ^vbz+vprv+++=learns
early ^jj++++=early
which ^whp+who+++=which
of ^in++++=of
her ^pp$+pp3+++=her
husband ^nn++++=husband's
's ^$++++=EXTRAWORD
statements ^nns+nom+++=statements
are ^vb+ber+aux++=are
intended ^vpsv++agls+xvbnx+=intended
for ^in++++=for
belief ^nn++++=belief,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
for ^in++++=for
admiration ^nn+nom+++=admiration,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+obj++=which
merely ^rb+down+++=merely
to ^to++++=to
keep ^vbi++++=keep
the ^ati++++=the
air ^nn++++=air
occupied ^vbd+++xvbn+=occupied.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wiped ^vbd+++xvbnx+=wiped
Georgie ^np++++=Georgie's
's ^$++++=EXTRAWORD
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
Georgie ^np++++=Georgie
immediately ^rb+tm+++=immediately
replaced ^vbd+++xvbn+=replaced
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
porridge ^nn++++=porridge.
. ^zz++++=EXTRAWORD
The ^ati++++=The
envelope ^nn++++=envelope
was ^vbd+bedz+vrb++=was
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
