Cold ^jj++++=Cold?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
some ^dti++++=some.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
seen ^vprf+++xvbnx+=seen
mercury ^np++++=mercury
crawl ^nn++++=crawl
down ^rp++++=down
into ^in++++=into
the ^ati++++=the
bulb ^nn++++=bulb
and ^cc++++=and
stay ^vb++++=stay
there ^rn+pl+++=there
like ^in++++=like
it ^pp3+it+++=it
owed ^vbd+++xvbn+=owed
money ^nn++++=money
outside ^jjb++++=outside;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
seen ^vprf+++xvbnx+=seen
dogs ^nns++++=dogs
freeze ^nn++++=freeze
standing ^vwbg+++xvbg+=standing
up ^rp++++=up,
, ^zz++++=EXTRAWORD
with ^in++++=with
their ^pp$+pp3+++=their
noses ^nns++++=noses
pointed ^vbd+++xvbn+=pointed
toward ^in++++=toward
supper ^nn++++=supper;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
over ^in++++=over
by ^in++++=by
Forty ^cd++++=Forty
Mile ^nn++++=Mile,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
watched ^vbd+++xvbnx+=watched
a ^at++++=a
tin ^nn++++=tin
cup ^nn++++=cup
of ^in++++=of
boiling ^xvbg+++xvbg+=boiling
coffee ^nn++++=coffee
turn ^nn++++=turn
into ^in++++=into
brown ^jj+atrb+++=brown
buckshot ^nn+++??+=buckshot
before ^cs+sub+++=before
it ^pp3+it+++=it
hit ^vbd+++xvbn+=hit
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
But ^cs+sub+++=But
that ^cs"++++=that
blizzard ^nn++++=blizzard
at ^rb++++=at
Black ^jj+atrb+++=Black
Spruce ^nn++++=Spruce
Road ^nn++++=Road-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
had ^vb+hv+vrb++=had
special ^jj+atrb+++=special
qualifications ^nns+nom+++=qualifications.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
merely ^rb+down+++=merely
blow ^nn++++=blow.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
come ^vprf+++xvbn+=come
at ^rb++++=at
you ^pp2+pp2+++=you
from ^in++++=from
all ^abn++++=all
directions ^nns+nom+++=directions,
, ^zz++++=EXTRAWORD
including ^in++++=including
underneath ^in+strn+++=underneath,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
searched ^vbd+++xvbn+=searched
your ^pp$+pp2+++=your
clothes ^nns++++=clothes
for ^in++++=for
weak ^jj+atrb+++=weak
spots ^nns++++=spots
with ^in++++=with
the ^ati++++=the
intimate ^jj+atrb+++=intimate
thoroughness ^nns+nom+++=thoroughness
of ^in++++=of
a ^at++++=a
customs ^nns++++=customs
officer ^nn++++=officer.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
six ^cd++++=six
of ^in++++=of
us ^pp1o+pp1+++=us
cached ^vbd+++xvbn+=cached
inside ^jjb++++=inside
Black ^jj++++=Black
Spruce ^jj++++=Spruce
when ^wrb+who+++=when
it ^pp3+it+++=it
commenced ^vbd+++xvbn+=commenced
its ^pp$+it+++=its
emotional ^jj+atrb+++=emotional
activities ^nns+nom+++=activities:
: ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Billy ^np++++=Billy
Joyce ^np++++=Joyce;
; ^zz++++=EXTRAWORD
Shorty ^np++++=Shorty
Mccabe ^np+++??+=McCabe;
; ^zz++++=EXTRAWORD
Dutch ^nn++++=Dutch
Henry ^np++++=Henry;
; ^zz++++=EXTRAWORD
French ^jj+atrb+++=French
Pete ^np++++=Pete;
; ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
Tallow ^np+++??+=Tallow-Face
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
Morgan ^np++++=Morgan;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
mail ^nn++++=mail
musher ^jjr+atrb+++=musher
named ^jj+++xvbn+=named
Sims ^np+++??+=Sims,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
principally ^rb+down+++=principally
whiskers ^nns+nom+++=whiskers
wrapped ^vbd+++xvbn+=wrapped
around ^rp++++=around
a ^at++++=a
grievance ^nn+nom+++=grievance.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'd
'd ^vbd+hvd+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
the ^ati++++=the
dogs ^nns++++=dogs
banked ^vbd+++xvbn+=banked
under ^in++++=under
the ^ati++++=the
lee ^nn++++=lee
wall ^nn++++=wall
and ^cc++++=and
the ^ati++++=the
stove ^nn++++=stove
red ^jj++++=red
enough ^qlp++++=enough
to ^to++++=to
melt ^vbi++++=melt
suspicion ^nn++++=suspicion.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
the ^ati++++=the
snow ^nn++++=snow
went ^vwbn+++xvbn+=went
by ^in++++=by
horizontal ^jj++++=horizontal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
spruce ^nn++++=spruce
trees ^nns++++=trees
screeched ^vbd+++xvbn+=screeched
like ^in++++=like
a ^at++++=a
raft ^nn++++=raft
of ^in++++=of
sinners ^nns+nom+++=sinners
being ^xvbg+++xvbg+=being
hauled ^vbd+++xvbn+=hauled
over ^in++++=over
a ^at++++=a
saw ^nn++++=saw.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Annie ^np+++??+=Annie
Black ^jj++++=Black
come ^vprf+++xvbn+=come
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Ai ^vb+be+++=Ain't
n't ^xnot++not++0=EXTRAWORD
ever ^rb++++=ever
seen ^vprf+++xvbn+=seen
Annie ^np+++??+=Annie?
? ^zz++++=EXTRAWORD
Lord ^npt++++=Lord!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
woman ^nn++++=woman
built ^vbd+++xvbn+=built
according ^in+cmpx+++=according
to ^in++++=to
specifications ^nns+nom+++=specifications
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
changed ^vpsv++agls+xvbnx+=changed
several ^ap++++=several
times ^nns++++=times
during ^in++++=during
construction ^nn+nom+++=construction.
. ^zz++++=EXTRAWORD
Tall ^jj++++=Tall?
? ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
exactly ^rb++++=exactly.
. ^zz++++=EXTRAWORD
Wide ^jj++++=Wide?
? ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
continuous ^jj++++=continuous.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
angles ^nns++++=angles
where ^wrb+who+++=where
ordinary ^jj+atrb+++=ordinary
females ^nns++++=females
carry ^vb++++=carry
curves ^nns++++=curves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
face ^nn++++=face
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
weatherproofed ^vpsv++by+xvbnx+=weatherproofed
by ^in++++=by
forty ^cd++++=forty-odd
- ^zz++++=EXTRAWORD
odd ^jj+atrb+++=EXTRAWORD
years ^nns++++=years
of ^in++++=of
objections ^nns+nom+++=objections.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
nose ^nn++++=nose
went ^vbd+++xvbn+=went
ahead ^rb+pl+++=ahead
like ^in++++=like
a ^at++++=a
survey ^vb++++=survey
stake ^nn++++=stake,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
chin ^nn++++=chin
followed ^vbd+vprv++xvbn+=followed
with ^in++++=with
reinforcements ^nns+nom+++=reinforcements,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
hair ^nn++++=hair
black ^jj++++=black
streaked ^jj+++xvbn+=streaked
with ^in++++=with
iron ^nn++++=iron
gray ^np++++=gray
was ^vbd+bedz+aux++=was
twisted ^vpsv++agls+xvbnx+=twisted
into ^in++++=into
a ^at++++=a
knot ^nn++++=knot
that ^tht+rel+++=that
looked ^jj+++xvbn+=looked
capable ^jj++++=capable
of ^in++++=of
holding ^xvbg+++xvbg+=holding
a ^at++++=a
towline ^nn+++??+=towline.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
shed ^vbd+++xvbnx+=shed
snow ^nn++++=snow
in ^in++++=in
the ^ati++++=the
doorway ^nn++++=doorway
and ^cc++++=and
says ^vbz+vpub+++=says:
: ^zz++++=EXTRAWORD
" ^zz++++="Which
which ^whp+who+++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
you ^pp2+pp2+++=you
incompetent ^jj+atrb+++=incompetent
prairie ^nn++++=prairie
vermin ^nn++++=vermin
has ^vbz+hvz+aux++=has
got ^vprf+++xvbnx+=got
his ^pp$+pp3+++=his
boots ^nns++++=boots
on ^in++++=on
my ^pp$+pp1+++=my
bunk ^nn++++=bunk?"
