# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
The ^ati++++=The
Sculptor ^np++++=Sculptor's
's ^$++++=EXTRAWORD
Two ^cd++++=Two
Visions ^nns++++=Visions
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
once ^rb+tm+++=once
a ^at++++=a
young ^jj+atrb+++=young
sculptor ^nn++++=sculptor
named ^vbd+++xvbn+=named
Alfred ^np++++=Alfred
Vale ^npl++++=Vale,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
possessed ^vbd+++xvbn+=possessed
talent ^nn++++=talent
enough ^dt++++=enough
to ^to++++=to
make ^vbi++++=make
his ^pp$+pp3+++=his
friends ^nns++++=friends
proud ^jj++++=proud
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
ambition ^nn+nom+++=ambition
enough ^dt++++=enough
to ^to++++=to
make ^vbi++++=make
himself ^ppl+pp3+++=himself
unhappy ^jj++++=unhappy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
good ^jj++++=good
looks ^vbz++++=looks
enough ^qlp++++=enough
to ^to++++=to
cause ^vbi++++=cause
elderly ^jj+atrb+++=elderly
ladies ^nns++++=ladies
to ^to++++=to
prophesy ^vbi+vpub+++=prophesy
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
marry ^vb++++=marry
badly ^rb++++=badly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
won ^vprf+++xvbnx+=won
a ^at++++=a
scholarship ^nn+nom+++=scholarship
and ^cc++++=and
spent ^vbd+++xvbn+=spent
three ^cd++++=three
years ^nns++++=years
in ^in++++=in
Italy ^np++++=Italy,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
studied ^vbd+++xvbnx+=studied
the ^ati++++=the
antique ^jj++++=antique,
, ^zz++++=EXTRAWORD
quarrelled ^j+++xvbn+=quarrelled
with ^in++++=with
modern ^jj+atrb+++=modern
critics ^nns++++=critics,
, ^zz++++=EXTRAWORD
admired ^j+++xvbn+=admired
the ^ati++++=the
