From ^in++++=From
the ^ati++++=the
west ^np+pl+++=west
window ^nn++++=window
of ^in++++=of
my ^pp$+pp1+++=my
house ^nn++++=house
I ^pp1a+pp1+++=I
can ^md+pos+++=can
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
on ^in++++=on
clear ^jj+atrb+++=clear
days ^nns++++=days,
, ^zz++++=EXTRAWORD
the ^ati++++=the
smoke ^nn++++=smoke
of ^in++++=of
Chicago ^np++++=Chicago
lying ^vwbg+++xvbg+=lying
against ^in++++=against
the ^ati++++=the
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
The ^ati++++=The
city ^npl++++=city
itself ^ppl++++=itself
is ^vbz+bez+aux++=is
hidden ^vpsv++agls+xvbnx+=hidden.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
it ^pp3+it+++=it
and ^cc++++=and
me ^pp1o+pp1+++=me
are ^vb+ber+vrb++=are
miles ^nns++++=miles
of ^in++++=of
flat ^jj+atrb+++=flat
land ^nn++++=land,
, ^zz++++=EXTRAWORD
brown ^jj+atrb+++=brown
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
strips ^nns++++=strips
of ^in++++=of
road ^nn++++=road,
, ^zz++++=EXTRAWORD
telegraph ^nn++++=telegraph
poles ^nn++++=poles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
little ^jj+atrb+++=little
towns ^nns++++=towns
gathered ^vbd+++xvbn+=gathered
about ^in++++=about
railway ^nn++++=railway
stations ^nns+nom+++=stations.
. ^zz++++=EXTRAWORD
At ^in++++=At
night ^nn++++=night
a ^at++++=a
red ^jj+atrb+++=red
glow ^nn++++=glow
sometimes ^rb++++=sometimes
rises ^vbz++++=rises
beyond ^in++++=beyond
the ^ati++++=the
fields ^nns++++=fields.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
trembles ^vbz+++??+=trembles
in ^in++++=in
the ^ati++++=the
sky ^nn++++=sky
and ^cc++++=and
one ^cd1++++=one
thinks ^vbz+vprv+++=thinks
of ^in++++=of
furnaces ^nns++++=furnaces,
, ^zz++++=EXTRAWORD
street ^nn++++=street
lamps ^nns++++=lamps,
, ^zz++++=EXTRAWORD
bedrooms ^nns++++=bedrooms,
, ^zz++++=EXTRAWORD
hospitals ^nns+nom+++=hospitals,
, ^zz++++=EXTRAWORD
saloons ^nns+++??+=saloons,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
people ^nns++++=people
walking ^vwbg+++xvbg+=walking
alone ^rb++++=alone
among ^in++++=among
crowds ^nns++++=crowds.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
to ^in++++=to
the ^ati++++=the
country ^nn++++=country
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
believed ^vbd+vprv+tht0+xvbnx+=believed
quietness ^nns+nom+++=quietness
would ^md+prd+++=would
restore ^vb++++=restore
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
time ^nn++++=time
I ^pp1a+pp1+++=I
worked ^vbd+++xvbnx+=worked
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
and ^cc++++=and
walked ^vpsv++agls+xvbn+=walked
after ^in++++=after
noon ^nn++++=noon.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
watched ^vbd+++xvbnx+=watched
freight ^nn++++=freight
trains ^nns++++=trains
go ^vb++++=go
eastward ^rb++++=eastward
and ^cc++++=and
listened ^vpsv++agls+xvbn+=listened
to ^in++++=to
the ^ati++++=the
wheels ^nns++++=wheels
after ^cs+sub+++=after
the ^ati++++=the
trains ^nns++++=trains
had ^vbd+hvd+aux++=had
disappeared ^vprf+++xvbnx+=disappeared.
. ^zz++++=EXTRAWORD
In ^in++++=In
October ^nr++++=October
the ^ati++++=the
leaves ^nns++++=leaves
along ^in++++=along
the ^ati++++=the
road ^nn++++=road
became ^vbd+++xvbn+=became
yellow ^nn++++=yellow.
. ^zz++++=EXTRAWORD
Rain ^nn++++=Rain
came ^vbd+++xvbn+=came
and ^cc+phrs+++=and
beat ^vbd+++xvbn+=beat
them ^pp3o+pp3+++=them
down ^rp++++=down.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
rained ^vbd+++xvbn+=rained
all ^abn++++=all
one ^cd1++++=one
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
the ^ati++++=the
road ^nn++++=road
was ^vbd+bedz+aux++=was
covered ^vpsv++agls+xvbnx+=covered
with ^in++++=with
leaves ^nn++++=leaves
pressed ^vbd+++xvbn+=pressed
into ^in++++=into
the ^ati++++=the
mud ^nn++++=mud.
. ^zz++++=EXTRAWORD
An ^at++++=An
old ^jj+atrb+++=old
man ^nn++++=man
lived ^vbd+++xvbn+=lived
in ^in++++=in
the ^ati++++=the
village ^nn+nom+++=village
near ^in+pl+++=near
my ^pp$+pp1+++=my
house ^nn++++=house.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Aaron ^np+++??+=Aaron
Pike ^nn++++=Pike.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
knew ^vbd+vprv++xvbn+=knew
much ^ap++++=much
about ^rb++++=about
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
everyone ^pn++++=everyone
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
him ^pp3o+pp3+++=him
for ^in++++=for
years ^nns++++=years.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rented ^vbd+++xvbnx+=rented
a ^at++++=a
room ^nn++++=room
over ^in++++=over
a ^at++++=a
harness ^nns+nom+++=harness
shop ^nn++++=shop
and ^cc++++=and
did ^vbd+dod+vrb++=did
small ^jj+atrb+++=small
jobs ^nns++++=jobs
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
could ^md+pos+++=could
get ^vb++++=get
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sharpened ^vbd+++xvbnx+=sharpened
tools ^nns++++=tools,
, ^zz++++=EXTRAWORD
carried ^jj+atrb++xvbn+=carried
coal ^nn++++=coal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
swept ^vbd+++xvbn+=swept
the ^ati++++=the
railway ^nn++++=railway
platform ^nn++++=platform.
. ^zz++++=EXTRAWORD
The ^ati++++=The
villagers ^nns+nom+++=villagers
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
crazy ^jj+pred+++=crazy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
man ^nn++++=man
with ^in++++=with
a ^at++++=a
large ^jj+atrb+++=large
head ^nn++++=head.
. ^zz++++=EXTRAWORD
White ^jj+atrb+++=White
hairs ^nns++++=hairs
grew ^vbd+++xvbn+=grew
on ^in+ppvb+++=on
his ^pp$+pp3+++=his
chin ^nn++++=chin
in ^in++++=in
separate ^jj+atrb+++=separate
tufts ^nns++++=tufts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
coat ^nn++++=coat
hung ^vbd+++xvbn+=hung
almost ^rb+hdg+++=almost
to ^in++++=to
his ^pp$+pp3+++=his
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
brown ^jj+atrb+++=brown
dog ^nn++++=dog
no ^at++++=no
larger ^nn++++=larger
than ^in++++=than
a ^at++++=a
rabbit ^nn++++=rabbit.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dog ^nn++++=dog
followed ^vbd+vprv++xvbn+=followed
close ^in+cmpx+++=close
to ^in"++++=to
his ^pp$+pp3+++=his
heels ^nns++++=heels
and ^cc++++=and
stopped ^vbd+++xvbn+=stopped
whenever ^nn+nom+++=whenever
he ^pp3a+pp3+++=he
stopped ^vbd+++xvbnx+=stopped.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Aaron ^np+++??+=Aaron
sat ^vbd+++xvbn+=sat
on ^in++++=on
a ^at++++=a
bench ^nn++++=bench
outside ^jjb++++=outside
the ^ati++++=the
post ^nn++++=post
office ^nn++++=office,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dog ^nn++++=dog
sat ^vbd+++xvbn+=sat
between ^in++++=between
his ^pp$+pp3+++=his
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man
read ^vbd+vprv++xvbn+=read
newspapers ^nns+nom+++=newspapers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
buy ^vb++++=buy
none ^rb+cnj+++=none,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
gathered ^jj+++xvbn+=gathered
them ^pp3o+pp3+++=them
from ^in++++=from
wastebaskets ^nns+++??+=wastebaskets
or ^cc++++=or
took ^vbd+++xvbn+=took
them ^pp3o+pp3+++=them
after ^cs+sub+++=after
travelers ^nns+nom+++=travelers
left ^vbd+++xvbn+=left
them ^pp3o+pp3+++=them
on ^in++++=on
trains ^nns++++=trains.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
person ^nn++++=person
whose ^whp+rel+obj++=whose
name ^nn++++=name
appeared ^vbd+seem++xvbn+=appeared
often ^rb++++=often
in ^in++++=in
print ^nn++++=print
became ^vbd+++xvbn+=became,
, ^zz++++=EXTRAWORD
in ^in++++=in
some ^dti++++=some
way ^nn++++=way,
, ^zz++++=EXTRAWORD
a ^at++++=a
member ^nn++++=member
of ^in++++=of
his ^pp$+pp3+++=his
family ^nn++++=family.
. ^zz++++=EXTRAWORD
A ^at++++=A
governor ^nn++++=governor
in ^in++++=in
Wisconsin ^np+++??+=Wisconsin
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
cousin ^nn++++=cousin.
. ^zz++++=EXTRAWORD
An ^at++++=An
