# ^zz++++=#
Old ^jj+atrb+++=Old
Ironsides ^np+++??+=Ironsides
In ^in++++=In
the ^ati++++=the
year ^nn++++=year
1833 ^cd+date+++=1833
an ^at++++=an
unpleasant ^jj+atrb+++=unpleasant
rumor ^nn++++=rumor
traveled ^vbd+++xvbn+=traveled
through ^in++++=through
the ^ati++++=the
seaports ^nns+++??+=seaports
of ^in++++=of
our ^pp$+pp1+++=our
country ^nn++++=country.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
frigate ^nn+nom+++=frigate
Constitution ^nn+nom+++=Constitution,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
said ^vpsv++agls+xvbnx+=said,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
useless ^jj++++=useless.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
timbers ^nns+nom+++=timbers
were ^vbd+bed+aux++=were
decayed ^vpsv++agls+xvbnx+=decayed,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
fittings ^nns++++=fittings
out ^rp+pl+++=out
of ^in++++=of
date ^nn++++=date,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
government ^nn+nom+++=government
intended ^vwbn+vsua++xvbn+=intended
either ^dtx++++=either
to ^to++++=to
sell ^vbi++++=sell
her ^pp$+pp3+++=her
or ^cc++++=or
to ^to++++=to
break ^vbi++++=break
her ^pp$+pp3+++=her
up ^rp++++=up.
. ^zz++++=EXTRAWORD
Break ^vb++++=Break
up ^rp++++=up
the ^ati++++=the
Constitution ^nn+nom+++=Constitution!
! ^zz++++=EXTRAWORD
Men ^nns++++=Men
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
watched ^vprf+++xvbnx+=watched
her ^pp$+pp3+++=her
victories ^nns++++=victories
could ^md+pos+++=could
scarcely ^rb+down+splt++=scarcely
believe ^vb+vprv+++=believe
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
many ^ap++++=many
noble ^jj+atrb+++=noble
ships ^nns++++=ships
had ^vb+hv+aux++=had
already ^rb++splt++=already
come ^vb++++=come
to ^in++++=to
such ^abl++++=such
an ^at++++=an
end ^nn++++=end.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
masts ^nns+++??+=masts
were ^vbd+bed+aux++=were
taken ^vpsv++agls+xvbnx+=taken
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
cannon ^nn++++=cannon
removed ^vwbn+++xvbn+=removed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
stout ^jj+atrb+++=stout
planks ^nns++++=planks
sold ^vwbn+++xvbn+=sold
for ^in++++=for
firewood ^nn+++??+=firewood.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
this ^dt+dem+++=this
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
fate ^nn++++=fate
of ^in++++=of
the ^ati++++=the
vessel ^nn++++=vessel
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
humbled ^vprf+++xvbnx+=humbled
pirates ^nns+nom+++=pirates,
, ^zz++++=EXTRAWORD
