# ^zz++++=##
# ^zz++++=EXTRAWORD
The ^ati++++=The
Natural ^jj+atrb+++=Natural
Increase ^nn++++=Increase
Department ^nn+nom+++=Department
When ^wrb+who+++=When
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Horace ^np++++=Horace
Morehouse ^np+++??+=Morehouse
entered ^vbd+++xvbn+=entered
the ^ati++++=the
Westcote ^np+++??+=Westcote
office ^nn++++=office
of ^in++++=of
the ^ati++++=the
Continental ^jj+atrb+++=Continental
Rapid ^jj+atrb+++=Rapid
Express ^jjb+atrb+++=Express
Company ^nn++++=Company,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
carried ^vbd+++xvbnx+=carried
a ^at++++=a
small ^jj+atrb+++=small
wooden ^jj+atrb+++=wooden
crate ^nn++++=crate
under ^in++++=under
one ^cd1++++=one
arm ^nn++++=arm
and ^cc++++=and
the ^ati++++=the
calm ^nn++++=calm
expression ^nn++++=expression
of ^in++++=of
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
expected ^vbd+vprv++xvbn+=expected
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
obeyed ^vpsv++agls+xvbnx+=obeyed.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
crate ^nn++++=crate
came ^vbd+++xvbn+=came
two ^cd++++=two
faint ^jj+atrb+++=faint
whistles ^nns++++=whistles.
. ^zz++++=EXTRAWORD
Mike ^np++++=Mike
Flannery ^np+nom++??+=Flannery,
, ^zz++++=EXTRAWORD
the ^ati++++=the
agent ^nn++++=agent,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
behind ^in+pl+++=behind
the ^ati++++=the
counter ^nn++++=counter
adding ^vwbg+vpub++xvbg+=adding
a ^at++++=a
column ^nn++++=column
of ^in++++=of
figures ^nns++++=figures.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
added ^vbd+vpub+tht0+xvbnx+=added
it ^pp3+it+++=it
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
the ^ati++++=the
first ^od++++=first
result ^nn++++=result
seemed ^vbd+seem++xvbn+=seemed
too ^ql++++=too
large ^jj++++=large,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
obtained ^vbd+++xvbn+=obtained
two ^cd++++=two
different ^jj+atrb+++=different
totals ^nns++++=totals,
, ^zz++++=EXTRAWORD
both ^abx++++=both
equally ^rb++++=equally
discouraging ^jj++++=discouraging.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
therefore ^rb+cnj+++=therefore
laid ^xvbn+++xvbn+=laid
down ^rb+phrv+++=down
his ^pp$+pp3+++=his
pencil ^nn++++=pencil
with ^in++++=with
relief ^nn++++=relief
when ^wrb+who+++=when
Morehouse ^np+++??+=Morehouse
approached ^vbd+++xvbn+=approached.
. ^zz++++=EXTRAWORD
" ^zz++++="Two
two ^cd++++=EXTRAWORD
guinea ^nn++++=guinea
pigs ^nns++++=pigs,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Morehouse ^np+++??+=Morehouse.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
arrived ^vbd+++xvbnx+=arrived
this ^dt+dem+++=this
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
here ^rn+pl+++=here
to ^to++++=to
pay ^vbi++++=pay
the ^ati++++=the
charge ^nn++++=charge."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sixty
sixty ^cd++++=EXTRAWORD
cints ^nns+++??+=cints,"
