The ^ati++++=The
last ^jj+atrb+++=last
evening ^nn++++=evening
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
Cherokee ^np+nom+++=Cherokee
Strip ^nn++++=Strip,
, ^zz++++=EXTRAWORD
Hennessey ^np+++??+=Hennessey
had ^vb+hv+vrb++=had
more ^ql++++=more
men ^nns++++=men
in ^in++++=in
it ^pp3+it+++=it
than ^in++++=than
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
dust ^nn++++=dust
than ^in++++=than
either ^dtx++++=either.
. ^zz++++=EXTRAWORD
Wagons ^nns++++=Wagons
stood ^vbd+++xvbn+=stood
wheel ^vb++++=wheel
to ^in++++=to
wheel ^nn++++=wheel
along ^in++++=along
the ^ati++++=the
road ^nn++++=road;
; ^zz++++=EXTRAWORD
horses ^nns++++=horses
were ^vbd+bed+aux++=were
tied ^vpsv++agls+xvbnx+=tied
to ^in++++=to
fence ^nn++++=fence
posts ^nns++++=posts,
, ^zz++++=EXTRAWORD
porch ^nn++++=porch
posts ^nns++++=posts,
, ^zz++++=EXTRAWORD
wagon ^nn++++=wagon
tongues ^nns++++=tongues,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
anything ^pn++++=anything
else ^rb+cnj+++=else
that ^cs+sub+++=that
promised ^vwbn+vpub++xvbn+=promised
to ^to+vcmp+++=to
remain ^vbi++++=remain
in ^in++++=in
the ^ati++++=the
country ^nn++++=country
overnight ^jjb++++=overnight.
. ^zz++++=EXTRAWORD
Families ^nns++++=Families
slept ^vbd+++xvbn+=slept
under ^in++++=under
wagon ^nn++++=wagon
sheets ^nns++++=sheets.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
slept ^vbd+++xvbn+=slept
wherever ^nn+nom+++=wherever
they ^pp3a+pp3+++=they
fell ^vbd+++xvbnx+=fell.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
fellow ^jjb++++=fellow
who ^whp+who+++=who
owned ^vbd+++xvbn+=owned
a ^at++++=a
canteen ^nn++++=canteen
had ^vb+hv+vrb++=had
it ^pp3+it+++=it
full ^jj++++=full,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
fellow ^jjb++++=fellow
who ^whp+who+++=who
owned ^vbd+++xvbn+=owned
a ^at++++=a
map ^vb++++=map
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
thumb ^nn++++=thumb
planted ^vwbn+++xvbn+=planted
on ^in++++=on
the ^ati++++=the
best ^jjt+atrb+++=best
quarter ^nn++++=quarter-section.
- ^zz++++=EXTRAWORD
section ^nn+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
cowmen ^nns++++=cowmen
had ^vbd+hvd+aux++=had
held ^vprf+++xvbnx+=held
that ^tht+vcmp+++=that
country ^nn++++=country
so ^ql++++=so
long ^rb++++=long
that ^dt+dem+++=that
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
unnatural ^jj++++=unnatural
to ^to++++=to
see ^vbi+vprv+tht0++=see
it ^pp3+it+++=it
measured ^vbd+++xvbn+=measured
off ^in+pl+++=off
for ^in++++=for
farmers ^nns+nom+++=farmers.
. ^zz++++=EXTRAWORD
Yesterday ^nr+tm+++=Yesterday
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
grass ^nn++++=grass
from ^in++++=from
horizon ^nn++++=horizon
to ^in++++=to
horizon ^nn++++=horizon,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
trail ^nn++++=trail
herd ^nn++++=herd
stringing ^vwbg+++xvbg+=stringing
across ^in+pl+++=across
it ^pp3+it+++=it
and ^cc++++=and
the ^ati++++=the
wind ^nn++++=wind
