# ^zz++++=##
# ^zz++++=EXTRAWORD
Jane ^np++++=Jane
Acts ^nns++++=Acts
for ^in++++=for
the ^ati++++=the
Best ^jjt++++=Best
I ^pp1a+pp1+++=I
never ^rb++++=never
did ^vbd+dod+aux++=did
hold ^vb+vprv+++=hold
with ^in+ppvb+++=with
romantic ^jj+atrb+++=romantic
love ^nn++++=love,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
not ^xnot++not++=not
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
what ^wdt+who+++=what
Uncle ^nn++++=Uncle
Peter ^np++++=Peter
and ^cc++++=and
Mattie ^np+++??+=Mattie
and ^cc++++=and
half ^nn++++=half
the ^ati++++=the
village ^nn+nom+++=village
may ^md+pos+++=may
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
Love ^nn++++=Love
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
well ^rb++++=well
in ^in++++=in
songs ^nns++++=songs,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
nobody ^pn++++=nobody
has ^md"++pmd"++=has
to ^md+nec+++=to
buy ^vb++++=buy
bacon ^np++++=bacon
or ^cc++++=or
pay ^nn++++=pay
rent ^nn++++=rent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
story ^nn++++=story-books,
- ^zz++++=EXTRAWORD
books ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man's
's ^$++++=EXTRAWORD
coat ^nn++++=coat
never ^rb++++=never
wears ^vbz++++=wears
at ^in++++=at
the ^ati++++=the
elbows ^nns++++=elbows
unless ^cs+cnd+++=unless
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
a ^at++++=a
duke ^nn++++=duke
in ^in++++=in
disguise ^nn++++=disguise.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
put ^vbd+++xvbn+=put
love ^nn++++=love
into ^in++++=into
a ^at++++=a
cottage ^nn+nom+++=cottage
with ^in++++=with
a ^at++++=a
smoky ^jj+atrb+++=smoky
chimney ^nn++++=chimney,
, ^zz++++=EXTRAWORD
six ^cd++++=six
shillings ^nns+nom+++=shillings
owing ^in++++=owing
for ^in++++=for
flour ^nn++++=flour,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
twins ^nns++++=twins
expected ^vwbn+vprv++xvbn+=expected
before ^in++++=before
Michaelmas ^np+++??+=Michaelmas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
soon ^rb+tm+splt++=soon
see ^vb+vprv+++=see
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
worth ^in+strn+++=worth.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
it ^pp3+it+++=it
to ^in++++=to
you ^pp2+pp2+++=you:
: ^zz++++=EXTRAWORD
can ^md+pos+++=can
kisses ^vb++++=kisses
be ^vb+be+aux++=be
boiled ^vpsv++agls+xvbnx+=boiled
for ^in++++=for
broth ^nn++++=broth?
? ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
sighs ^vb++++=sighs
mend ^vb++++=mend
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
window ^nn++++=window?
? ^zz++++=EXTRAWORD
Does ^vbz+doz+vrb++=Does
a ^at++++=a
girl ^nn++++=girl's
's ^$++++=EXTRAWORD
heart ^nn++++=heart
keep ^vb++++=keep
her ^pp$+pp3+++=her
feet ^nns++++=feet
dry ^jj++++=dry
in ^in++++=in
