# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
What ^wdt+who+++=What
the ^ati++++=the
Silence ^nn++++=Silence
Kept ^vbd+++xvbn+=Kept
The ^ati++++=The
letter ^nn++++=letter
announcing ^vwbg+++xvbg+=announcing
my ^pp$+pp1+++=my
aunt ^nn++++=aunt's
's ^$++++=EXTRAWORD
arrival ^nn++++=arrival
was ^vbd+bedz+aux++=was
written ^vpsv++by+xvbnx+=written
by ^in++++=by
my ^pp$+pp1+++=my
uncle ^nn++++=uncle
in ^in++++=in
an ^at++++=an
ink ^nn++++=ink
so ^ql+emph+++=so
diluted ^jj+++xvbn+=diluted
that ^dt+dem+++=that
several ^ap++++=several
words ^nns++++=words
had ^vbd+hvd+aux++=had
faded ^vprf+++xvbnx+=faded
into ^in++++=into
the ^ati++++=the
bluish ^jj+atrb+++=bluish
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
the ^ati++++=the
Nebraska ^np+++??+=Nebraska
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
reaching ^vbg+++xvbg+=reaching
eastward ^rb++++=eastward
across ^in+pl+++=across
fifteen ^cd++++=fifteen
hundred ^cd++++=hundred
miles ^nns++++=miles
of ^in++++=of
winter ^nn++++=winter
country ^nn++++=country,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
already ^rb++splt++=already
begun ^vprf+++xvbnx+=begun
to ^to++++=to
bleach ^vbi+++??+=bleach
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Miriam ^np+++??+=Miriam
would ^md+prd+++=would
come ^vprf+++xvbn+=come
on ^in++++=on
Thursday ^nr++++=Thursday,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
a ^at++++=a
matter ^nn++++=matter
connected ^vbd+++xvbn+=connected
with ^in++++=with
the ^ati++++=the
estate ^nn++++=estate
of ^in++++=of
her ^pp3o+pp3+++=her
mother ^npt++++=mother's
's ^$++++=EXTRAWORD
cousin ^nn++++=cousin;
; ^zz++++=EXTRAWORD
the ^ati++++=the
property ^nn++++=property
was ^vbd+bedz+vrb++=was
inconsiderable ^jj+pred+++=inconsiderable,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
signatures ^nns++++=signatures
