Once ^rb+tm+++=Once
on ^in++++=on
a ^at++++=a
time ^nn++++=time
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
five ^cd++++=five
wives ^nns++++=wives
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
in ^in++++=in
five ^cd++++=five
little ^jj+atrb+++=little
houses ^nns++++=houses
under ^in++++=under
one ^cd1++++=one
green ^nn++++=green
fell ^vbd+++xvbn+=fell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
had ^vb+hv+vrb++=had
a ^at++++=a
bairn ^nn++++=bairn
to ^in++++=to
rock ^npl++++=rock
in ^in++++=in
a ^at++++=a
cradle ^nn++++=cradle
or ^cc++++=or
carry ^vb++++=carry
at ^rb++++=at
her ^pp3o+pp3+++=her
kirtle ^nn+++??+=kirtle-tail.
- ^zz++++=EXTRAWORD
tail ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
So ^ql++++=So
they ^pp3a+pp3+++=they
sighed ^vbd+++xvbnx+=sighed
when ^wrb+who+++=when
the ^ati++++=the
spring ^nn++++=spring
came ^vbd+++xvbn+=came
and ^cc++++=and
the ^ati++++=the
lambs ^nns++++=lambs
skipped ^vprf+++xvbn+=skipped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
sighed ^vbd+++xvbnx+=sighed
when ^wrb+who+++=when
the ^ati++++=the
summer ^nn++++=summer
came ^vbd+++xvbn+=came
and ^cc++++=and
the ^ati++++=the
birds ^nns++++=birds
fed ^vbd+++xvbn+=fed
their ^pp$+pp3+++=their
young ^jj++++=young,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
winter ^nn++++=winter
they ^pp3a+pp3+++=they
sat ^vbd+++xvbnx+=sat
together ^nn+nom+++=together
spinning ^jj+++xvbg+=spinning
and ^cc++++=and
said ^vprf+++xvbn+=said
that ^tht+vcmp+++=that
a ^at++++=a
house ^nn++++=house
without ^in++++=without
a ^at++++=a
child ^nn++++=child
was ^vbd+bedz+vrb++=was
like ^in++++=like
a ^at++++=a
grange ^nn++++=grange
without ^in++++=without
corn ^nn++++=corn.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went
to ^in++++=to
the ^ati++++=the
wood ^nn++++=wood
for ^in++++=for
sticks ^nns++++=sticks,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
found ^vbd+vprv++xvbnx+=found
an ^at++++=an
egg ^nn++++=egg
lying ^vwbg+++xvbg+=lying
under ^in++++=under
a ^at++++=a
juniper ^jjr+atrb+++=juniper
bush ^nn++++=bush.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
no ^at++++=no
hen ^nn++++=hen's
's ^$++++=EXTRAWORD
egg ^nn++++=egg,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
goose ^nn++++=goose
egg ^nn++++=egg,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
eagle ^nn++++=eagle's
's ^$++++=EXTRAWORD
egg ^nn++++=egg,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
as ^ql++++=as
big ^jj++++=big
as ^in++++=as
a ^at++++=a
goodman ^nn++++=goodman's
's ^$++++=EXTRAWORD
head ^nn++++=head
and ^cc++++=and
speckled ^vbd+++xvbn+=speckled
red ^jj++++=red
and ^cc+phrs+++=and
brown ^jj++++=brown
like ^in++++=like
an ^at++++=an
old ^jj+atrb+++=old
iron ^nn++++=iron
pot ^nn++++=pot.
. ^zz++++=EXTRAWORD
" ^zz++++="Here's
here ^rn+pl+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
luck ^nn++++=luck,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
first ^od++++=first
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
" ^zz++++="We'll
we ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
hatch ^vb++++=hatch
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Change
change ^nn++++=EXTRAWORD
and ^cc++++=and
change ^nn++++=change
about ^in+strn+++=about,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
second ^od++++=second.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
bairn ^jj+++xvbn+=bairn
inside ^jjb++++=inside,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
third ^nn++++=third,
, ^zz++++=EXTRAWORD
" ^zz++++="we'll
we ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
fifth ^od++++=fifth
share ^vb++++=share
apiece ^rb++++=apiece."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
they ^pp3a+pp3+++=they
carried ^vbd+++xvbnx+=carried
the ^ati++++=the
egg ^nn++++=egg
home ^nr++++=home
in ^in++++=in
a ^at++++=a
meal ^nn++++=meal-sack
- ^zz++++=EXTRAWORD
sack ^nn++++=EXTRAWORD
between ^in++++=between
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
weighed ^vbd+++xvbn+=weighed
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
a ^at++++=a
millstone ^nn++++=millstone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
first ^od++++=first
wife ^nn++++=wife
sat ^vbd+++xvbn+=sat
upon ^in++++=upon
it ^pp3+it+++=it
all ^rb++++=all
Monday ^nr++++=Monday,
, ^zz++++=EXTRAWORD
the ^ati++++=the
second ^od++++=second
all ^rb++++=all
Tuesday ^nr++++=Tuesday,
, ^zz++++=EXTRAWORD
