At ^rb++++=At
three ^cd++++=three
o'clock ^rb++++=o'clock
on ^in++++=on
the ^ati++++=the
afternoon ^nn++++=afternoon
of ^in++++=of
the ^ati++++=the
championship ^nn+nom+++=championship
game ^nn++++=game,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Charles ^np++++=Charles
Kirk ^np+++??+=Kirk
sat ^vbd+++xvbn+=sat
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
Greek ^jj+atrb+++=Greek
room ^nn++++=room
at ^in++++=at
Willard ^np++++=Willard's
's ^$++++=EXTRAWORD
School ^nn++++=School
and ^cc++++=and
contemplated ^vbd+++xvbn+=contemplated
a ^at++++=a
letter ^nn++++=letter
of ^in++++=of
resignation ^nn+nom+++=resignation.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
beyond ^in++++=beyond
the ^ati++++=the
half ^abn++++=half-open
- ^zz++++=EXTRAWORD
open ^jj+atrb+++=EXTRAWORD
door ^nn++++=door
and ^cc++++=and
the ^ati++++=the
long ^jj+atrb+++=long
corridor ^nn++++=corridor,
, ^zz++++=EXTRAWORD
the ^ati++++=the
school ^nn++++=school
was ^vbd+bedz+aux++=was
making ^vbg+++xvbgx+=making
as ^ql++++=as
much ^ap++++=much
noise ^nn++++=noise
as ^ql++++=as
two ^cd++++=two
hundred ^cd++++=hundred
and ^cc++++=and
forty ^cd++++=forty
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
assisted ^xvbn+++xvbn+=assisted
by ^in++++=by
cow ^nn++++=cow-bells,
- ^zz++++=EXTRAWORD
bells ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
tin ^nn++++=tin
horns ^nns++++=horns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
loyal ^jj+atrb+++=loyal
young ^jj+atrb+++=young
throats ^nns++++=throats,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
properly ^rb++splt++=properly
make ^vb++++=make.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
playground ^nn++++=playground
came ^vbd+++xvbn+=came
a ^at++++=a
great ^nn++++=great
burst ^vbd+++xvbn+=burst
of ^in++++=of
cheering ^jj++++=cheering,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
the ^ati++++=the
sharp ^jj+atrb+++=sharp,
, ^zz++++=EXTRAWORD
scattered ^jj+atrb++xvbn+=scattered
hand ^nn++++=hand-clapping
- ^zz++++=EXTRAWORD
clapping ^vbg+++xvbg+=EXTRAWORD
which ^whp+who+++=which
meant ^vprf+++xvbn+=meant
that ^tht+vcmp+++=that
Willard ^np++++=Willard's
's ^$++++=EXTRAWORD
nine ^cd++++=nine
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
off ^rb+phrv+++=off
something ^pn++++=something
creditable ^jj++++=creditable
against ^in++++=against
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Matthew ^np++++=Matthew's.
's. ^nn+++??+=EXTRAWORD
The ^ati++++=The
sunlight ^nn++++=sunlight
