At ^rb++++=At
sixteen ^cd++++=sixteen
minutes ^nns++++=minutes
past ^jjb++++=past
six ^cd++++=six
on ^in++++=on
a ^at++++=a
black ^jj+atrb+++=black
February ^nr+nom+++=February
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
Arthur ^np++++=Arthur
Cotterill ^np+++??+=Cotterill
awoke ^vbd+++xvbn+=awoke
with ^in++++=with
the ^ati++++=the
conviction ^nn+nom+++=conviction
that ^tht+ncmp+++=that
his ^pp$+pp3+++=his
career ^nn++++=career,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
honour ^nn++++=honour,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
entire ^jjb+atrb+++=entire
future ^jjb+atrb+++=future
happiness ^nns+nom+++=happiness
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
irretrievably ^rb++splt++=irretrievably
destroyed ^vpsv++agls+xvbn+=destroyed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
upright ^jj++++=upright
in ^in++++=in
bed ^nn++++=bed
and ^cc++++=and
stared ^vpsv++agls+xvbn+=stared
across ^in+pl+++=across
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clock ^nn++++=clock
on ^in++++=on
the ^ati++++=the
mantelpiece ^nn++++=mantelpiece
said ^vbd+vpub++xvbn+=said
twenty ^cd++++=twenty
minutes ^nns++++=minutes
to ^to++++=to
seven ^cd++++=seven.
. ^zz++++=EXTRAWORD
For ^in++++=For
several ^ap++++=several
seconds ^nns++++=seconds
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
incapable ^jj+pred+++=incapable
of ^in++++=of
movement ^nn+nom+++=movement.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
pincers ^nns+nom+++=pincers
closed ^vbd+++xvbn+=closed
upon ^in++++=upon
his ^pp$+pp3+++=his
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
an ^at++++=an
anvil ^nn+++??+=anvil,
, ^zz++++=EXTRAWORD
apparently ^rb++++=apparently
lowered ^vbd+++xvbn+=lowered
from ^in++++=from
the ^ati++++=the
ceiling ^nn+nom+++=ceiling
by ^in++++=by
a ^at++++=a
malignant ^jj+atrb+++=malignant
but ^cc+phrs+++=but
expert ^jj+atrb+++=expert
workman ^nn++++=workman,
, ^zz++++=EXTRAWORD
settled ^j+++xvbn+=settled
upon ^in++++=upon
his ^pp$+pp3+++=his
stomach ^nn++++=stomach.
. ^zz++++=EXTRAWORD
" ^zz++++="Simeon!"
simeon ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
" ^zz++++="Simeon!"
simeon ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
adjoining ^jj+atrb++xvbg+=adjoining
bedroom ^nn++++=bedroom
came ^vbd+++xvbn+=came
a ^at++++=a
sound ^nn++++=sound
which ^whp+rel+subj++=which
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
either ^dtx++++=either
a ^at++++=a
groan ^nn++++=groan
or ^cc++++=or
a ^at++++=a
protest ^nn++++=protest
from ^in++++=from
some ^dti++++=some
large ^jj+atrb+++=large,
, ^zz++++=EXTRAWORD
peaceable ^jj+atrb+++=peaceable
animal ^nn++++=animal.
. ^zz++++=EXTRAWORD
Arthur ^np++++=Arthur
leapt ^vbd+++xvbn+=leapt
out ^rp+pl+++=out
of ^in++++=of
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
linoleum ^nn++++=linoleum
struck ^vbd+++xvbn+=struck
his ^pp$+pp3+++=his
bare ^jj+atrb+++=bare
feet ^nns++++=feet
with ^in++++=with
the ^ati++++=the
coldness ^nns+nom+++=coldness
of ^in++++=of
judicial ^jj+atrb+++=judicial
marble ^nn++++=marble.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rushed ^vbd+++xvbnx+=rushed
through ^rb+phrv+++=through
the ^ati++++=the
doorway ^nn++++=doorway
and ^cc++++=and
shook ^vbd+++xvbn+=shook
the ^ati++++=the
mound ^nn+++??+=mound
beneath ^in+pl+++=beneath
the ^ati++++=the
blankets ^nns++++=blankets.
. ^zz++++=EXTRAWORD
" ^zz++++="Simeon,
simeon ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
overslept ^vprf+++xvbnx+=overslept!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
brother ^npt++++=brother
opened ^vbd+++xvbn+=opened
one ^cd1++++=one
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
time ^nn++++=time?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Twenty
twenty ^cd++++=EXTRAWORD
to ^to++++=to
seven ^cd++++=seven!
! ^zz++++=EXTRAWORD
The ^ati++++=The
porter ^nn++++=porter
was ^vbd+bedz+aux++=was
to ^to++++=to
come ^vbi++++=come
at ^in++++=at
half ^abn++++=half-past
- ^zz++++=EXTRAWORD
past ^jjb++++=EXTRAWORD
six ^cd++++=six.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
must ^md+nec+++=must
