Old ^jj+atrb+++=Old
Sam ^np++++=Sam
Gates ^nns++++=Gates
had ^vbd+hvd+aux++=had
worked ^vprf+++xvbnx+=worked
so ^ql++++=so
long ^rb++++=long
upon ^in++++=upon
the ^ati++++=the
same ^ap++++=same
Norfolk ^np++++=Norfolk
acres ^nns++++=acres
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
less ^rbr++++=less
a ^at++++=a
man ^nn++++=man
employed ^vwbn+++xvbn+=employed
by ^in++++=by
the ^ati++++=the
soil ^nn++++=soil
than ^in++++=than
something ^pn++++=something
the ^ati++++=the
soil ^nn++++=soil
had ^vbd+hvd+aux++=had
put ^vprf+++xvbnx+=put
up ^rb+phrv+++=up
of ^in++++=of
its ^pp$+it+++=its
own ^ap++++=own
accord ^nn++++=accord.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
coat ^nn++++=coat
was ^vbd+bedz+vrb++=was
the ^ati++++=the
colour ^nn++++=colour
of ^in++++=of
November ^nr+nom+++=November
mud ^nn++++=mud;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
boots ^nns++++=boots
resembled ^vbd+++xvbn+=resembled
two ^cd++++=two
clods ^nns++++=clods;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
bent ^jj+++xvbn+=bent
back ^jjb++++=back
followed ^jj+++xvbn+=followed
the ^ati++++=the
curve ^nn++++=curve
of ^in++++=of
the ^ati++++=the
hills ^nns++++=hills;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
motionless ^jj++++=motionless
among ^in++++=among
the ^ati++++=the
roots ^nns++++=roots,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
whiskers ^nns+nom+++=whiskers
stirring ^vwbg+++xvbg+=stirring
in ^in++++=in
the ^ati++++=the
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
a ^at++++=a
stranger ^nn+nom+++=stranger
might ^md+pos+++=might
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
him ^pp3o+pp3+++=him
for ^in++++=for
a ^at++++=a
large ^jj++++=large
and ^cc++++=and
unusually ^rb++++=unusually
thoughtful ^jj+atrb+++=thoughtful
swede ^nn++++=swede.
. ^zz++++=EXTRAWORD
Sam ^nn++++=Sam
was ^vbd+bedz+vrb++=was
sixty ^cd++++=sixty-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
sixty ^cd++++=sixty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
sixty ^cd++++=sixty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
and ^cc++++=and
considered ^vbd+vprv++xvbn+=considered
it ^pp3+it+++=it
an ^at++++=an
age ^nn++++=age
worth ^in++++=worth
keeping ^nn++++=keeping.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lived ^vbd+++xvbnx+=lived
with ^in+ppvb+++=with
his ^pp$+pp3+++=his
niece ^nn++++=niece
Aggie ^np+++??+=Aggie
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
cottage ^nn+nom+++=cottage
belonging ^vwbg+++xvbg+=belonging
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Habbage ^np+nom+++=Habbage,
, ^zz++++=EXTRAWORD
the ^ati++++=the
farmer ^nn++++=farmer.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cottage ^nn+nom+++=cottage
leaned ^vbd+++xvbn+=leaned
toward ^in++++=toward
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
the ^ati++++=the
barn ^nn++++=barn
leaned ^vbd+++xvbn+=leaned
toward ^in++++=toward
the ^ati++++=the
cottage ^nn+nom+++=cottage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sam ^np++++=Sam
leaned ^vbd+++xvbn+=leaned
toward ^in++++=toward
both ^abx++++=both.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
in ^cs+sub+++=in
that ^cs"++++=that
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
county ^npl++++=county
stood ^vbd+++xvbn+=stood
precisely ^rb++++=precisely
upright ^jj++++=upright
except ^in++++=except
the ^ati++++=the
church ^npl++++=church
tower ^nn++++=tower
and ^cc++++=and
Aggie ^np++++=Aggie's
's ^$++++=EXTRAWORD
opinions ^nns++++=opinions.
