By ^in++++=By
the ^ati++++=the
time ^nn++++=time
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
the ^ati++++=the
first ^od++++=first
house ^npl++++=house,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Vale ^npl++++=Vale
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
keeper ^nn++++=keeper
of ^in++++=of
the ^ati++++=the
lighthouse ^nn++++=lighthouse
for ^in++++=for
twenty ^cd++++=twenty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
years ^nns++++=years.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^npl++++=house
appeared ^vbd+seem++xvbn+=appeared
at ^rb++++=at
dawn ^nn++++=dawn,
, ^zz++++=EXTRAWORD
rising ^nvbg+++xvbg+=rising
beyond ^in++++=beyond
the ^ati++++=the
eastern ^jj+atrb+++=eastern
reef ^nn++++=reef
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
climbed ^vprf+++xvbnx+=climbed
from ^in++++=from
the ^ati++++=the
depths ^nns++++=depths
during ^in++++=during
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
roof ^nn++++=roof
was ^vbd+bedz+vrb++=was
green ^nn++++=green
with ^in++++=with
weed ^nn++++=weed.
. ^zz++++=EXTRAWORD
Barnacles ^np+++??+=Barnacles
crusted ^vbd+++xvbn+=crusted
the ^ati++++=the
chimney ^nn++++=chimney.
. ^zz++++=EXTRAWORD
Water ^nn++++=Water
poured ^vbd+++xvbn+=poured
steadily ^rb++++=steadily
from ^in++++=from
the ^ati++++=the
upstairs ^jjb+atrb+++=upstairs
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
catching ^vbg+++xvbg+=catching
the ^ati++++=the
morning ^nn++++=morning
light ^nn++++=light
in ^in++++=in
silver ^nn++++=silver
threads ^nns++++=threads.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
saw ^vbd+vprv++xvbn+=saw
it ^pp3+it+++=it
while ^cs+sub+++=while
polishing ^vbg+++xvbg+=polishing
the ^ati++++=the
great ^jj+atrb+++=great
lens ^nn++++=lens.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
shipwreck ^nn++++=shipwreck.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
fog ^nn++++=fog
thinned ^vbd+++xvbn+=thinned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
recognized ^vbd+vprv++xvbnx+=recognized
the ^ati++++=the
narrow ^jj+atrb+++=narrow
porch ^nn++++=porch,
, ^zz++++=EXTRAWORD
the ^ati++++=the
crooked ^jj+atrb+++=crooked
weather ^nn++++=weather
vane ^np++++=vane,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
blue ^jj+atrb+++=blue
door ^nn++++=door
her ^pp3o+pp3+++=her
father ^npt++++=father
had ^vbd+hvd+aux++=had
painted ^vprf+++xvbnx+=painted
every ^at++++=every
spring ^nn++++=spring.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
house ^nn++++=house
in ^in++++=in
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
born ^vpsv++agls+xvbnx+=born.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stood ^vbd+++xvbnx+=stood
motionless ^jj++++=motionless
beside ^in+pl+++=beside
the ^ati++++=the
lamp ^nn++++=lamp.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
waves ^nns++++=waves
struck ^vbd+++xvbn+=struck
the ^ati++++=the
black ^jj+atrb+++=black
cliffs ^nns++++=cliffs
of ^in++++=of
Bellweather ^np+nom++??+=Bellweather
Island ^nn++++=Island,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
tower ^npl++++=tower
trembled ^vbd+++xvbn+=trembled
in ^in++++=in
its ^pp$+it+++=its
old ^jj+atrb+++=old
bones ^nns++++=bones.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^npl++++=house
had ^vbd+hvd+aux++=had
vanished ^vprf+++xvbnx+=vanished
forty ^cd++++=forty-one
- ^zz++++=EXTRAWORD
one ^cd1++++=EXTRAWORD
years ^nns++++=years
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
Everyone ^pn++++=Everyone
in ^in++++=in
the ^ati++++=the
village ^nn+nom+++=village
remembered ^vwbn+vprv++xvbn+=remembered
the ^ati++++=the
storm ^nn++++=storm.
. ^zz++++=EXTRAWORD
For ^in++++=For
three ^cd++++=three
days ^nns++++=days,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^nn++++=sea
had ^vbd+hvd+aux++=had
hammered ^vprf+++xvbnx+=hammered
the ^ati++++=the
coast ^nn++++=coast.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
tore ^vbd+++xvbn+=tore
boats ^nns++++=boats
from ^in++++=from
their ^pp$+pp3+++=their
chains ^nns++++=chains,
, ^zz++++=EXTRAWORD
shattered ^j+++xvbn+=shattered
the ^ati++++=the
harbor ^nn++++=harbor
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
swallowed ^vbd+++xvbn+=swallowed
six ^cd++++=six
homes ^nrs++++=homes
from ^in++++=from
the ^ati++++=the
low ^jj+atrb+++=low
northern ^jj+atrb+++=northern
road ^npl++++=road.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
seven ^cd++++=seven.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
mother ^npt++++=mother
wrapped ^vbd+++xvbn+=wrapped
her ^pp$+pp3+++=her
in ^in++++=in
a ^at++++=a
quilt ^nn++++=quilt
and ^cc++++=and
carried ^vbd+++xvbn+=carried
her ^pp$+pp3+++=her
uphill ^jjb++++=uphill
while ^cs+sub+++=while
her ^pp3o+pp3+++=her
father ^npt++++=father
ran ^vbd+++xvbn+=ran
behind ^in+pl+++=behind
them ^pp3o+pp3+++=them
with ^in++++=with
a ^at++++=a
wooden ^jj+atrb+++=wooden
box ^nn++++=box
of ^in++++=of
family ^nn++++=family
papers ^nns++++=papers.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
church ^nn++++=church,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
looked ^vbd+++xvbn+=looked
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
house ^npl++++=house
slipped ^vbd+++xvbn+=slipped
from ^in++++=from
the ^ati++++=the
cliff ^nn++++=cliff
almost ^rb+hdg+++=almost
gently ^rb+cnj+++=gently,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
book ^nn++++=book
sliding ^vwbg+++xvbg+=sliding
from ^in++++=from
a ^at++++=a
tilted ^jj+atrb++xvbn+=tilted
shelf ^nn++++=shelf.
. ^zz++++=EXTRAWORD
The ^ati++++=The
blue ^jj+atrb+++=blue
door ^nn++++=door
opened ^vbd+++xvbn+=opened
as ^ql++++=as
it ^pp3+it+++=it
fell ^vbd+++xvbn+=fell.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
impossible ^jj+atrb+++=impossible
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dark ^jj+atrb+++=dark
doorway ^nn++++=doorway
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
stare ^vbi++++=stare
at ^in++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
waves ^nns++++=waves
closed ^vbd+++xvbn+=closed
over ^in++++=over
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
it ^pp3+it+++=it
stood ^vbd+++xvbn+=stood
beyond ^in++++=beyond
the ^ati++++=the
reef ^nn++++=reef,
, ^zz++++=EXTRAWORD
upright ^jj++++=upright
on ^in++++=on
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
descended ^vbd+++xvbn+=descended
the ^ati++++=the
spiral ^nn++++=spiral
stairs ^nns++++=stairs,
, ^zz++++=EXTRAWORD
crossed ^j+++xvbn+=crossed
