# ^zz++++=##
# ^zz++++=EXTRAWORD
The ^ati++++=The
Cartographer ^np+nom++??+=Cartographer
of ^in++++=of
Lost ^xvbn+++xvbn+=Lost
Hours ^nns++++=Hours
Every ^at++++=Every
morning ^nn++++=morning
at ^in++++=at
eight ^cd++++=eight,
, ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
Vale ^npl++++=Vale
unlocked ^vbd+++xvbn+=unlocked
the ^ati++++=the
narrow ^jj+atrb+++=narrow
blue ^jj+atrb+++=blue
door ^nn++++=door
between ^in++++=between
the ^ati++++=the
bakery ^nn++++=bakery
and ^cc++++=and
the ^ati++++=the
watchmaker ^jjr+atrb+++=watchmaker's
's ^vbz+bez+vrb++0=EXTRAWORD
shop ^nn++++=shop.
. ^zz++++=EXTRAWORD
Above ^jjb++++=Above
it ^pp3+it+++=it
hung ^vbd+++xvbn+=hung
a ^at++++=a
wooden ^jj+atrb+++=wooden
sign ^nn++++=sign:
: ^zz++++=EXTRAWORD
**e ^nn+++??+=**E.
. ^zz++++=EXTRAWORD
Vale ^npl++++=VALE,
, ^zz++++=EXTRAWORD
Cartographer** ^np+++??+=CARTOGRAPHER**
**maps ^nns+++??+=**MAPS
Of ^in++++=OF
Places ^nns++++=PLACES,
, ^zz++++=EXTRAWORD
Journeys ^nns++++=JOURNEYS,
, ^zz++++=EXTRAWORD
And ^cc+cls+++=AND
Occasional ^jj+atrb+++=OCCASIONAL
Regrets** ^np+++??+=REGRETS**
Most ^ql+emph+++=Most
passersby ^vb+++??+=passersby
assumed ^vbd+vprv+tht0+xvbn+=assumed
the ^ati++++=the
final ^jj+atrb+++=final
line ^nn++++=line
was ^vbd+bedz+vrb++=was
a ^at++++=a
joke ^nn++++=joke.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
never ^rb++++=never
corrected ^vwbn+++xvbn+=corrected
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
shop ^nn++++=shop
was ^vbd+bedz+vrb++=was
deeper ^jjr+pred+++=deeper
than ^in++++=than
it ^pp3+it+++=it
appeared ^vbd+seem++xvbn+=appeared
from ^in++++=from
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
Shelves ^nns++++=Shelves
leaned ^vbd+++xvbn+=leaned
under ^in++++=under
rolls ^nns++++=rolls
of ^in++++=of
parchment ^nn+nom+++=parchment,
, ^zz++++=EXTRAWORD
atlases ^vbz+++??+=atlases
bound ^vbd+++xvbn+=bound
in ^in++++=in
cracked ^vbd+++xvbn+=cracked
leather ^nn++++=leather,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
glass ^nn++++=glass
jars ^nns++++=jars
filled ^vbd+++xvbn+=filled
with ^in++++=with
sand ^nn++++=sand
from ^in++++=from
deserts ^vbz++++=deserts
that ^dt+dem+++=that
no ^at++++=no
longer ^rbr++++=longer
existed ^vbd+++xvbn+=existed.
. ^zz++++=EXTRAWORD
A ^at++++=A
brass ^nn++++=brass
globe ^nn++++=globe
turned ^vbd+++xvbn+=turned
slowly ^rb++++=slowly
in ^in++++=in
one ^cd1++++=one
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
no ^at++++=no
hand ^nn++++=hand
had ^vbd+hvd+aux++=had
touched ^vprf+++xvbnx+=touched
it ^pp3+it+++=it
in ^in++++=in
years ^nns++++=years.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
maps ^nns++++=maps
of ^in++++=of
kingdoms ^nns+nom+++=kingdoms,
, ^zz++++=EXTRAWORD
rivers ^nns++++=rivers,
, ^zz++++=EXTRAWORD
cellars ^nns++++=cellars,
, ^zz++++=EXTRAWORD
dreams ^nns++++=dreams,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
very ^ql+amp+++=very
wealthy ^jj+atrb+++=wealthy
widow ^nn++++=widow,
, ^zz++++=EXTRAWORD
