Every ^at++++=Every
morning ^nn++++=morning
at ^in++++=at
seven ^cd++++=seven,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^npl++++=sea
delivered ^vwbn+++xvbn+=delivered
a ^at++++=a
letter ^nn++++=letter.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
came ^vbd+++xvbn+=came
folded ^vbd+++xvbn+=folded
inside ^jjb++++=inside
a ^at++++=a
bottle ^nn++++=bottle
of ^in++++=of
thick ^jj+atrb+++=thick
green ^jj+atrb+++=green
glass ^nn++++=glass,
, ^zz++++=EXTRAWORD
sealed ^xvbn+++xvbn+=sealed
with ^in++++=with
black ^jj+atrb+++=black
wax ^nn++++=wax
and ^cc++++=and
tied ^vpsv++agls+xvbn+=tied
to ^in++++=to
a ^at++++=a
strand ^nn++++=strand
of ^in++++=of
red ^jj+atrb+++=red
thread ^nn++++=thread.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tide ^nn++++=tide
carried ^vbd+++xvbn+=carried
it ^pp3+it+++=it
through ^in++++=through
the ^ati++++=the
harbor ^nn++++=harbor,
, ^zz++++=EXTRAWORD
past ^jjb++++=past
the ^ati++++=the
white ^jj+atrb+++=white
lighthouse ^nn++++=lighthouse
and ^cc++++=and
the ^ati++++=the
rusted ^jj+atrb++xvbn+=rusted
skeletons ^nns++++=skeletons
of ^in++++=of
old ^jj+atrb+++=old
fishing ^jj+atrb++xvbg+=fishing
boats ^nns++++=boats,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laid ^vbd+++xvbn+=laid
it ^pp3+it+++=it
gently ^rb++++=gently
on ^in++++=on
the ^ati++++=the
strip ^nn++++=strip
of ^in++++=of
sand ^nn++++=sand
below ^in+pl+++=below
Mara ^np+++??+=Mara
Vale ^np++++=Vale's
's ^$++++=EXTRAWORD
house ^npl++++=house.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
thought ^vbd+++xvbn+=thought
the ^ati++++=the
bottle ^nn++++=bottle
was ^vbd+bedz+vrb++=was
ordinary ^jj+atrb+++=ordinary
rubbish ^nn++++=rubbish.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
found ^vbd+vprv+tht0+xvbnx+=found
it ^pp3+it+++=it
after ^in++++=after
a ^at++++=a
night ^nn++++=night
of ^in++++=of
hard ^jj+atrb+++=hard
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
walking ^vbg+++xvbg+=walking
along ^in++++=along
the ^ati++++=the
beach ^nn++++=beach
in ^in++++=in
her ^pp3o+pp3+++=her
father ^npt++++=father's
's ^vbz+bez+vrb++0=EXTRAWORD
yellow ^jj+atrb+++=yellow
boots ^nns++++=boots.
. ^zz++++=EXTRAWORD
The ^ati++++=The
letter ^nn++++=letter
inside ^jjb++++=inside
was ^vbd+bedz+vrb++=was
dry ^jj+pred+++=dry.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
envelope ^nn++++=envelope,
, ^zz++++=EXTRAWORD
written ^j+++xvbn+=written
in ^in++++=in
blue ^jj+atrb+++=blue
ink ^nn++++=ink,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
the ^ati++++=the
words ^nns++++=words:
: ^zz++++=EXTRAWORD
**for ^nn++++=**For
Mara ^np+++??+=Mara
Vale ^nn++++=Vale,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
morning ^nn++++=morning
of ^in++++=of
her ^pp$+pp3+++=her
thirty ^cd++++=thirty-second
- ^zz++++=EXTRAWORD
second ^od++++=EXTRAWORD
birthday.** ^nn+++??+=birthday.**
That ^tht+rel+subj++=That
was ^vbd+bedz+vrb++=was
strange ^jj+pred+++=strange
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
Stranger ^jjr++++=Stranger
still ^rb++++=still
was ^vbd+bedz+vrb++=was
the ^ati++++=the
handwriting ^nn++++=handwriting.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
own ^ap++++=own.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
stood ^vbd+++xvbn+=stood
beneath ^in+pl+++=beneath
the ^ati++++=the
gray ^np++++=gray
sky ^nn++++=sky
with ^in++++=with
the ^ati++++=the
bottle ^nn++++=bottle
in ^in++++=in
one ^cd1++++=one
hand ^nn++++=hand
and ^cc++++=and
the ^ati++++=the
envelope ^nn++++=envelope
in ^in++++=in
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Waves ^nns++++=Waves
moved ^vbd+++xvbn+=moved
around ^rp++++=around
her ^pp3o+pp3+++=her
boots ^nns++++=boots.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
across ^in+pl+++=across
the ^ati++++=the
harbor ^nn++++=harbor,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lighthouse ^nn++++=lighthouse
