Every ^at++++=Every
morning ^nn++++=morning
at ^in++++=at
six ^cd++++=six,
, ^zz++++=EXTRAWORD
the ^ati++++=the
clocks ^nns++++=clocks
in ^in++++=in
Bellwether ^np+nom++??+=Bellwether
lost ^vbd+++xvbn+=lost
one ^cd1++++=one
minute ^nn++++=minute.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+aux++=did
not ^xnot++not++=not
stop ^vb++++=stop.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
slow ^jj++++=slow.
. ^zz++++=EXTRAWORD
At ^rb++++=At
precisely ^rb++++=precisely
six ^cd++++=six,
, ^zz++++=EXTRAWORD
the ^ati++++=the
second ^od++++=second
hands ^nns++++=hands
swept ^vwbn+++xvbn+=swept
past ^jjb++++=past
twelve ^cd++++=twelve
and ^cc++++=and
continued ^jj+++xvbn+=continued
as ^cs+sub+++=as
if ^cs+cnd+++=if
nothing ^pn++++=nothing
had ^vbd+hvd+aux++=had
happened ^vprf+++xvbnx+=happened,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
minute ^nn++++=minute
between ^in++++=between
5:59 ^cd++++=5:59
and ^cc++++=and
6:00 ^cd++++=6:00
vanished ^jj+++xvbn+=vanished
from ^in++++=from
memory ^nn++++=memory.
. ^zz++++=EXTRAWORD
Bakers ^nns++++=Bakers
found ^vbd+vprv++xvbn+=found
loaves ^nns++++=loaves
already ^rb++++=already
in ^in++++=in
ovens ^nns++++=ovens.
. ^zz++++=EXTRAWORD
Night ^nn++++=Night
guards ^nns++++=guards
discovered ^vbd+vprv++xvbn+=discovered
themselves ^ppls+pp3+++=themselves
standing ^jj+atrb++xvbg+=standing
one ^cd1++++=one
doorway ^nn++++=doorway
farther ^rbr++++=farther
along ^in++++=along
their ^pp$+pp3+++=their
rounds ^nns++++=rounds.
. ^zz++++=EXTRAWORD
Parents ^nns++++=Parents
woke ^vbd+++xvbn+=woke
with ^in++++=with
lullabies ^nns+++??+=lullabies
unfinished ^jj++++=unfinished
on ^in++++=on
their ^pp$+pp3+++=their
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
remembered ^vbd+vprv++xvbn+=remembered
when ^wrb+who+whcl++=when
this ^dt+pdem+++=this
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
the ^ati++++=the
missing ^jj+atrb++xvbg+=missing
minute ^nn++++=minute
was ^vbd+bedz+vrb++=was
small ^jj+pred+++=small,
, ^zz++++=EXTRAWORD
the ^ati++++=the
people ^nn++++=people
of ^in++++=of
Bellwether ^np+nom++??+=Bellwether
learned ^vbd+vprv++xvbn+=learned
to ^to+vcmp+++=to
live ^vbi++++=live
around ^in++++=around
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Railway ^nn++++=Railway
conductors ^nns++++=conductors
scheduled ^vbd+++xvbn+=scheduled
departures ^nns++++=departures
for ^in++++=for
6:02 ^cd++++=6:02.
. ^zz++++=EXTRAWORD
Surgeons ^nns++++=Surgeons
paused ^vbd+++xvbn+=paused
their ^pp$+pp3+++=their
work ^nn++++=work
at ^rb++++=at
5:58 ^cd++++=5:58.
. ^zz++++=EXTRAWORD
Teachers ^nns+nom+++=Teachers
arriving ^vwbg+++xvbg+=arriving
early ^jj++++=early
waited ^jj+++xvbn+=waited
in ^in++++=in
the ^ati++++=the
courtyards ^nns+++??+=courtyards
until ^cs+sub+++=until
the ^ati++++=the
town ^nn++++=town
hall ^npl++++=hall
bell ^nn++++=bell
struck ^vbd+++xvbn+=struck
six ^cd++++=six
times ^nns++++=times,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
no ^at++++=no
one ^cd1++++=one
ever ^rb++++=ever
heard ^vbd+vprv++xvbn+=heard
the ^ati++++=the
first ^od++++=first
strike ^vb++++=strike.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
Mara ^np+++??+=Mara
Venn ^np+++??+=Venn
believed ^vbd+vprv+tht0+xvbn+=believed
the ^ati++++=the
minutes ^nns++++=minutes
went ^vbd+++xvbn+=went
somewhere ^rb++++=somewhere.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
repaired ^vbd+++xvbnx+=repaired
clocks ^nns++++=clocks
in ^in++++=in
a ^at++++=a
narrow ^jj+atrb+++=narrow
shop ^nn++++=shop
on ^in++++=on
Wren ^nn++++=Wren
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
between ^in++++=between
a ^at++++=a
cobbler ^jjr++++=cobbler
and ^cc++++=and
a ^at++++=a
woman ^nn++++=woman
who ^whp+rel+subj++=who
sold ^vbd+++xvbn+=sold
maps ^nns++++=maps
of ^in++++=of
countries ^nns++++=countries
that ^tht+rel+obj++=that
no ^at++++=no
longer ^rbr++++=longer
existed ^vbd+++xvbn+=existed.
. ^zz++++=EXTRAWORD
