On ^in++++=On
the ^ati++++=the
morning ^nn++++=morning
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Vale ^npl++++=Vale
found ^vbd+vprv++xvbn+=found
a ^at++++=a
blue ^jj+atrb+++=blue
door ^nn++++=door
standing ^vwbg+++xvbg+=standing
upright ^jj++++=upright
in ^in++++=in
the ^ati++++=the
sand ^nn++++=sand.
. ^zz++++=EXTRAWORD
The ^ati++++=The
storm ^nn++++=storm
had ^vbd+hvd+aux++=had
worked ^vprf+++xvbnx+=worked
through ^in++++=through
the ^ati++++=the
night ^nn++++=night,
, ^zz++++=EXTRAWORD
dragging ^vbg+++xvbg+=dragging
fishing ^nvbg+++xvbg+=fishing
boats ^nns++++=boats
from ^in++++=from
their ^pp$+pp3+++=their
ropes ^nns++++=ropes,
, ^zz++++=EXTRAWORD
peeling ^nn+nom+++=peeling
shingles ^nns+++??+=shingles
from ^in++++=from
the ^ati++++=the
western ^jj+atrb+++=western
roofs ^nns++++=roofs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
throwing ^vbg+++xvbg+=throwing
salt ^jj+atrb+++=salt
water ^nn++++=water
against ^in++++=against
the ^ati++++=the
lighthouse ^nn++++=lighthouse
windows ^nns++++=windows.
. ^zz++++=EXTRAWORD
By ^in++++=By
dawn ^nn++++=dawn,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wind ^nn++++=wind
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
people ^nn++++=people
of ^in++++=of
Bellweather ^np+nom++??+=Bellweather
came ^vbd+++xvbn+=came
outside ^jjb++++=outside
to ^to++++=to
count ^vbi++++=count
what ^wdt+who+++=what
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
broken ^vpsv++agls+xvbnx+=broken.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
harbor ^nn++++=harbor
clock ^nn++++=clock
stopped ^vbd+++xvbn+=stopped
at ^rb++++=at
three ^cd++++=three
seventeen ^cd++++=seventeen.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
found ^vbd+vprv++xvbnx+=found
a ^at++++=a
dead ^jj++++=dead
silverfish ^jj++++=silverfish
in ^in++++=in
the ^ati++++=the
church ^npl++++=church
fountain ^npl++++=fountain.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
old ^jj+atrb+++=old
coast ^nn++++=coast
road ^nn++++=road,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
buried ^vpsv++agls+xvbnx+=buried
beneath ^in+pl+++=beneath
the ^ati++++=the
dunes ^nns++++=dunes
for ^in++++=for
almost ^rb+hdg+++=almost
forty ^cd++++=forty
years ^nns++++=years,
, ^zz++++=EXTRAWORD
uncovered ^j+++xvbn+=uncovered
from ^in++++=from
the ^ati++++=the
lighthouse ^nn++++=lighthouse
hill ^nn++++=hill
to ^in++++=to
the ^ati++++=the
abandoned ^jj+atrb++xvbn+=abandoned
railway ^nn++++=railway
station ^nn+nom+++=station.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
halfway ^rb++++=halfway
along ^in++++=along
that ^dt+dem+++=that
road ^npl++++=road,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
no ^at++++=no
house ^npl++++=house
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
stood ^vprf+++xvbnx+=stood,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
narrow ^jj+pred+++=narrow
and ^cc+phrs+++=and
painted ^jj+++xvbn+=painted
blue ^np++++=blue.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
wall ^nn++++=wall
around ^rp++++=around
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
no ^at++++=no
frame ^nn++++=frame
buried ^vwbn+++xvbn+=buried
in ^in++++=in
the ^ati++++=the
sand ^nn++++=sand,
, ^zz++++=EXTRAWORD
no ^at++++=no
footprints ^nns++++=footprints
leading ^vwbg+++xvbg+=leading
to ^to++++=to
or ^cc++++=or
away ^in+pl+++=away
from ^in"++++=from
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
A ^at++++=A
brass ^nn++++=brass
mail ^nn++++=mail
slot ^nn++++=slot
gleamed ^vbd+++xvbn+=gleamed
beneath ^in+pl+++=beneath
a ^at++++=a
black ^jj+atrb+++=black
iron ^nn++++=iron
handle ^nn++++=handle.
. ^zz++++=EXTRAWORD
Someone ^pn++++=Someone
had ^vbd+hvd+aux++=had
nailed ^vprf+++xvbnx+=nailed
a ^at++++=a
small ^nn++++=small
sign ^vb++++=sign
at ^rb++++=at
eye ^nn++++=eye
level ^nn++++=level.
. ^zz++++=EXTRAWORD
The ^ati++++=THE
Museum ^nn++++=MUSEUM
Of ^in++++=OF
Unsent ^np+++??+=UNSENT
Letters ^nns+nom+++=LETTERS
Open ^jj++++=OPEN
When ^wrb+who+++=WHEN
Found ^vbd+vprv++xvbn+=FOUND
Naturally ^rb+cnj+++=Naturally,
, ^zz++++=EXTRAWORD
everyone ^pn++++=everyone
in ^in++++=in
Bellweather ^np+nom++??+=Bellweather
had ^vb+hv+vrb++=had
an ^at++++=an
opinion ^nn++++=opinion.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
prank ^nn++++=prank,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pyle ^np++++=Pyle,
, ^zz++++=EXTRAWORD
the ^ati++++=the
baker ^nn++++=baker.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
art ^nn++++=art,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Miss ^npt++++=Miss
Thorn ^np++++=Thorn,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
taught ^vbd+vsua++xvbn+=taught
history ^nn++++=history
and ^cc++++=and
used ^vbd+++xvbn+=used
the ^ati++++=the
word ^nn++++=word
as ^in++++=as
an ^at++++=an
accusation ^nn+nom+++=accusation.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
belongs ^vbz++++=belongs
to ^in++++=to
the ^ati++++=the
council ^nn++++=council
until ^cs+sub+++=until
ownership ^nn+nom+++=ownership
can ^md+pos+++=can
be ^vb+be+aux++=be
established ^vpsv++agls+xvbnx+=established,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Councilman ^np+nom++??+=Councilman
Rook ^np+++??+=Rook.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
belongs ^vbz++++=belongs
to ^in++++=to
whoever ^whp+who+++=whoever
opens ^nns++++=opens
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
eleven ^cd++++=eleven-year-old
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
old ^jj+atrb+++=EXTRAWORD
Finn ^np+++??+=Finn
Creel ^np+++??+=Creel.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
watched ^vbd+++xvbn+=watched
the ^ati++++=the
crowd ^nn++++=crowd
from ^in++++=from
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
At ^rb++++=At
forty ^cd++++=forty-two,
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
skilled ^jj++++=skilled
at ^rb++++=at
standing ^vbg+++xvbg+=standing
where ^wrb+who+++=where
people ^nns++++=people
forgot ^vbd+vprv++xvbn+=forgot
to ^to+vcmp+++=to
notice ^vb++++=notice
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
useful ^jj+pred+++=useful
in ^in++++=in
her ^pp$+pp3+++=her
work ^nn++++=work
at ^rb++++=at
the ^ati++++=the
post ^nn++++=post
office ^nn++++=office,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
sorted ^vbd+++xvbnx+=sorted
other ^ap++++=other
people ^nns++++=people's
's ^$++++=EXTRAWORD
announcements ^nns+nom+++=announcements,
, ^zz++++=EXTRAWORD
apologies ^nns++++=apologies,
, ^zz++++=EXTRAWORD
invoices ^nns+++??+=invoices,
, ^zz++++=EXTRAWORD
condolences ^nns+nom+++=condolences,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
love ^nn++++=love
into ^in++++=into
canvas ^nn++++=canvas
sacks ^nns++++=sacks
without ^in++++=without
being ^nn+nn+aux++=being
expected ^vwbn+vprv++xvbn+=expected
to ^to+vcmp+++=to
take ^vbi++++=take
part ^nn++++=part
in ^in++++=in
any ^dti++++=any
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
not ^xnot++not++=not
always ^rb++++=always
been ^vprf+ben+vrb+xvbn+=been
so ^ql++++=so
quiet ^nn++++=quiet.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
long ^rb++++=long
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
laughed ^vprf+++xvbnx+=laughed
loudly ^rb++++=loudly
enough ^qlp++++=enough
to ^in++++=to
startle ^nn+++??+=startle
gulls ^nns++++=gulls.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
climbed ^vprf+++xvbnx+=climbed
the ^ati++++=the
lighthouse ^nn++++=lighthouse
stairs ^nns++++=stairs
two ^cd++++=two
at ^in++++=at
a ^at++++=a
time ^nn++++=time
behind ^in+pl+++=behind
her ^pp$+pp3+++=her
younger ^jjr+atrb+++=younger
brother ^nn++++=brother,
, ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
their ^pp$+pp3+++=their
father ^nn++++=father
shouted ^vbd+vpub++xvbn+=shouted
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
would ^md+prd+++=would
break ^vb++++=break
their ^pp$+pp3+++=their
necks ^nns++++=necks.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
planned ^vprf+++xvbnx+=planned
to ^to+vcmp+++=to
leave ^vbi++++=leave
Bellweather ^np+nom++??+=Bellweather.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Elias ^np+++??+=Elias
had ^vbd+hvd+aux++=had
drowned ^vprf+++xvbnx+=drowned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
plans ^nns++++=plans
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
things ^nns++++=things
that ^tht+rel+subj++=that
happened ^vprf+++xvbn+=happened
to ^to+vcmp+++=to
other ^ap++++=other
