Every ^at++++=Every
morning ^nn++++=morning
at ^in++++=at
six ^cd++++=six,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
something ^pn++++=something
to ^in++++=to
Bellweather ^np+nom++??+=Bellweather.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
days ^nns++++=days
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
ordinary ^jj+atrb+++=ordinary
wreckage ^nn+nom+++=wreckage:
: ^zz++++=EXTRAWORD
a ^at++++=a
plank ^nn++++=plank
polished ^jj++++=polished
smooth ^jj++++=smooth,
, ^zz++++=EXTRAWORD
a ^at++++=a
bottle ^nn++++=bottle
without ^in++++=without
a ^at++++=a
message ^nn+nom+++=message,
, ^zz++++=EXTRAWORD
a ^at++++=a
fisherman ^nn+nom+++=fisherman's
's ^$++++=EXTRAWORD
glove ^nn++++=glove
stiff ^jj++++=stiff
with ^in++++=with
salt ^nn++++=salt.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tide ^nn++++=tide
delivered ^vwbn+++xvbn+=delivered
a ^at++++=a
piano ^nn++++=piano
key ^jjb++++=key.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
an ^at++++=an
orange ^nn++++=orange
wooden ^jj+atrb+++=wooden
horse ^nn++++=horse
with ^in++++=with
only ^rb+down+++=only
three ^cd++++=three
legs ^nns++++=legs.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
winter ^nn++++=winter
when ^wrb+who+++=when
the ^ati++++=the
harbor ^nn++++=harbor
froze ^vbd+++xvbn+=froze
solid ^jj++++=solid
enough ^qlp++++=enough
for ^in++++=for
children ^nns++++=children
to ^to++++=to
walk ^vbi++++=walk
across ^in+strn+++=across,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
returned ^vbd+++xvbn+=returned
a ^at++++=a
brass ^nn++++=brass
door ^nn++++=door
handle ^vb++++=handle
warm ^jj++++=warm
to ^in++++=to
the ^ati++++=the
touch ^nn++++=touch.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Vale ^npl++++=Vale
collected ^vwbn+++xvbn+=collected
these ^dt+dem+++=these
things ^nns++++=things.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lived ^vbd+++xvbnx+=lived
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
customs ^nns++++=customs
house ^nn++++=house
above ^jjb++++=above
the ^ati++++=the
bay ^nn++++=bay,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
her ^pp$+pp3+++=her
grandfather ^nn+nom+++=grandfather
had ^vbd+hvd+aux++=had
kept ^vprf+++xvbnx+=kept
the ^ati++++=the
lighthouse ^nn++++=lighthouse
before ^cs+sub+++=before
the ^ati++++=the
electric ^nn++++=electric
tower ^npl++++=tower
was ^vbd+bedz+aux++=was
built ^vpsv++agls+xvbnx+=built.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
rooms ^nns++++=rooms
smelled ^vbd+++xvbn+=smelled
of ^in++++=of
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
lamp ^nn++++=lamp
oil ^nn++++=oil,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
storms ^nns++++=storms.
. ^zz++++=EXTRAWORD
Along ^in++++=Along
the ^ati++++=the
walls ^nns++++=walls
stood ^vbd+++xvbn+=stood
shelves ^nns++++=shelves
crowded ^vbd+++xvbn+=crowded
with ^in++++=with
the ^ati++++=the
sea ^nn++++=sea's
's ^$++++=EXTRAWORD
abandoned ^vpsv++agls+xvbnx+=abandoned
gifts ^nns++++=gifts,
, ^zz++++=EXTRAWORD
each ^dt++++=each
labeled ^jj+++xvbn+=labeled
in ^in++++=in
Mara ^np++++=Mara's
's ^$++++=EXTRAWORD
narrow ^jj+atrb+++=narrow
handwriting ^nn++++=handwriting.
. ^zz++++=EXTRAWORD
Blue ^jj+atrb+++=BLUE
Button ^nn++++=BUTTON,
, ^zz++++=EXTRAWORD
North ^nr+pl+++=NORTH
Beach ^npl++++=BEACH,
, ^zz++++=EXTRAWORD
April ^nr++++=APRIL
3 ^zz++++=3.
. ^zz++++=EXTRAWORD
Child ^np++++=CHILD'S
's ^$++++=EXTRAWORD
Shoe ^nn++++=SHOE,
, ^zz++++=EXTRAWORD
Red ^jj+atrb+++=RED
Leather ^nn++++=LEATHER,
, ^zz++++=EXTRAWORD
After ^in++++=AFTER
The ^ati++++=THE
Great ^jj+atrb+++=GREAT
Gale ^nn++++=GALE.
. ^zz++++=EXTRAWORD
Silver ^nn++++=SILVER
Spoon ^nn++++=SPOON,
, ^zz++++=EXTRAWORD
Initials ^nns+nom+++=INITIALS
W.r ^np+++??+=W.R.,
. ^zz++++=EXTRAWORD
