Every ^at++++=Every
morning ^nn++++=morning
at ^in++++=at
six ^cd++++=six,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
one ^cd1++++=one
thing ^nn++++=thing
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
fisherman ^nn+nom+++=fisherman's
's ^$++++=EXTRAWORD
glove ^nn++++=glove,
, ^zz++++=EXTRAWORD
stiff ^jj++++=stiff
with ^in++++=with
salt ^nn++++=salt.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
a ^at++++=a
door ^nn++++=door
from ^in++++=from
a ^at++++=a
cottage ^npl+nom+++=cottage
swallowed ^vbd+++xvbn+=swallowed
during ^in++++=during
the ^ati++++=the
great ^jj+atrb+++=great
storm ^nn++++=storm,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
blue ^jj+atrb+++=blue
paint ^nn++++=paint
peeled ^vbd+++xvbn+=peeled
into ^in++++=into
scales ^nns++++=scales.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tide ^nn++++=tide
left ^vbd+++xvbn+=left
a ^at++++=a
silver ^nn++++=silver
spoon ^nn++++=spoon
on ^in++++=on
the ^ati++++=the
black ^jj+atrb+++=black
sand ^nn++++=sand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
old ^jj+atrb+++=old
Mara ^np+++??+=Mara
Vale ^npl++++=Vale
recognized ^vwbn+vprv++xvbn+=recognized
it ^pp3+it+++=it
as ^in++++=as
part ^nn++++=part
of ^in++++=of
her ^pp3o+pp3+++=her
mother ^npt++++=mother's
's ^$++++=EXTRAWORD
wedding ^nn++++=wedding
set ^vbd+++xvbn+=set,
, ^zz++++=EXTRAWORD
lost ^j+++xvbn+=lost
with ^in++++=with
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
forty ^cd++++=forty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
years ^nns++++=years
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
The ^ati++++=The
people ^nn++++=people
of ^in++++=of
Bellwether ^np+nom++??+=Bellwether
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
not ^xnot++not++=not
to ^in++++=to
question ^nn+nom+++=question
these ^dt+dem+++=these
gifts ^nns++++=gifts.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
collected ^vbd+++xvbnx+=collected
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
cleaned ^xvbn+++xvbn+=cleaned
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
placed ^vwbn+++xvbn+=placed
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
town ^nn++++=town
hall ^npl++++=hall
beneath ^in+pl+++=beneath
handwritten ^vprf+++xvbn+=handwritten
labels ^nns++++=labels.
. ^zz++++=EXTRAWORD
Found ^j+++xvbn+=FOUND
After ^in++++=AFTER
7 ^zz++++=7
Years ^nns++++=YEARS.
. ^zz++++=EXTRAWORD
Found ^j+++xvbn+=FOUND
After ^in++++=AFTER
22 ^cd++++=22
Years ^nns++++=YEARS.
. ^zz++++=EXTRAWORD
Found ^j+++xvbn+=FOUND
After ^in++++=AFTER
3 ^zz++++=3
Days ^nns++++=DAYS.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
knew ^vbd+vprv++xvbn+=knew
why ^wrb+who+whcl++=why
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
only ^rb+down+++=only
one ^cd1++++=one
object ^nn++++=object
at ^rb++++=at
a ^at++++=a
time ^nn++++=time,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
why ^wrb+who+++=why
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did
so ^rb++++=so
precisely ^rb++++=precisely
at ^rb++++=at
dawn ^nn++++=dawn.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bell ^nn++++=bell
in ^in++++=in
the ^ati++++=the
harbor ^nn++++=harbor
tower ^nn++++=tower
rang ^vbd+++xvbn+=rang
six ^cd++++=six
times ^nns++++=times,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
the ^ati++++=the
object ^nn++++=object
would ^md+prd+++=would
be ^vb+be+aux++=be,
, ^zz++++=EXTRAWORD
resting ^vbg+++xvbg+=resting
above ^jjb++++=above
the ^ati++++=the
reach ^nn++++=reach
of ^in++++=of
the ^ati++++=the
waves ^nns++++=waves
as ^in++++=as
neatly ^rb++++=neatly
as ^in++++=as
a ^at++++=a
parcel ^nn++++=parcel
on ^in++++=on
a ^at++++=a
doorstep ^nn++++=doorstep.
