By ^in++++=By
the ^ati++++=the
time ^nn++++=time
the ^ati++++=the
sea ^npl++++=sea
reached ^vbd+++xvbn+=reached
Bellweather ^np+nom++??+=Bellweather
Station ^nn+nom+++=Station,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
three ^cd++++=three
trains ^nns++++=trains
still ^rb++++=still
stopped ^vbd+++xvbn+=stopped
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
came ^vbd+++xvbn+=came
at ^rb++++=at
dawn ^nn++++=dawn,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
engineers ^nns+nom+++=engineers
north ^np+pl+++=north
toward ^in++++=toward
the ^ati++++=the
new ^jj+atrb+++=new
seawall ^nn+++??+=seawall.
. ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
arrived ^vbd+++xvbn+=arrived
at ^rb++++=at
noon ^nn++++=noon
with ^in++++=with
mail ^nn++++=mail,
, ^zz++++=EXTRAWORD
medicine ^nn++++=medicine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
occasional ^jj+atrb+++=occasional
tourist ^nn+nom+++=tourist
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
misunderstood ^vprf+++xvbn+=misunderstood
the ^ati++++=the
map ^nn++++=map.
. ^zz++++=EXTRAWORD
The ^ati++++=The
last ^rb++++=last
came ^vbd+++xvbn+=came
just ^rb+emph+++=just
before ^in++++=before
midnight ^nn++++=midnight,
, ^zz++++=EXTRAWORD
empty ^jj++++=empty
except ^in++++=except
for ^in"++++=for
a ^at++++=a
conductor ^nn++++=conductor
named ^vbd+++xvbn+=named
Vale ^npl++++=Vale,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
always ^rb++++=always
stepped ^vbd+++xvbn+=stepped
onto ^in++++=onto
the ^ati++++=the
platform ^nn++++=platform,
, ^zz++++=EXTRAWORD
checked ^xvbn+++xvbn+=checked
his ^pp$+pp3+++=his
silver ^nn++++=silver
watch ^vb++++=watch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
stationmaster ^nn+nom+++=stationmaster
the ^ati++++=the
same ^ap++++=same
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
" ^zz++++="Any
any ^dti++++=EXTRAWORD
passengers ^nns+nom+++=passengers
tonight ^nr+tm+++=tonight,
, ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Wren ^np++++=Wren?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
Mara ^np+++??+=Mara
Wren ^nn++++=Wren
always ^rb++++=always
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
the ^ati++++=the
same ^ap++++=same
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
tonight ^nr+tm+++=tonight."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
For ^in++++=For
thirty ^cd++++=thirty-eight
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
years ^nns++++=years,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
above ^jjb++++=above
the ^ati++++=the
ticket ^nn++++=ticket
hall ^nn++++=hall
in ^in++++=in
two ^cd++++=two
narrow ^jj+atrb+++=narrow
rooms ^nns++++=rooms
that ^tht+rel+subj++=that
smelled ^vwbn+++xvbn+=smelled
of ^in++++=of
coal ^nn++++=coal
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
lavender ^nn+nom+++=lavender
soap ^nn++++=soap,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
old ^jj+atrb+++=old
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
father ^npt++++=father
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
stationmaster ^nn+nom+++=stationmaster
before ^in++++=before
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
father ^nn++++=father
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
were ^vbd+bed+aux++=were
buried ^vpsv++agls+xvbnx+=buried
on ^in++++=on
the ^ati++++=the
hill ^nn++++=hill
behind ^in+pl+++=behind
the ^ati++++=the
church ^nn++++=church,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
salt ^jj+atrb+++=salt
water ^nn++++=water
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
reached ^vprf+++xvbn+=reached.
. ^zz++++=EXTRAWORD
Bellweather ^np+nom++??+=Bellweather
itself ^ppl++++=itself
was ^vbd+bedz+aux++=was
nearly ^rb+down+splt++=nearly
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
town ^nn++++=town
of ^in++++=of
six ^cd++++=six
thousand ^cd++++=thousand
people ^nns++++=people,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
brass ^nn++++=brass
band ^nn++++=band,
, ^zz++++=EXTRAWORD
a ^at++++=a
cinema ^nn++++=cinema,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
factory ^nn++++=factory
that ^tht+rel+subj++=that
made ^vprf+++xvbn+=made
blue ^jj+atrb+++=blue
glass ^nn++++=glass
bottles ^nns++++=bottles.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
had ^vbd+hvd+aux++=had
raced ^vprf+++xvbnx+=raced
bicycles ^nns++++=bicycles
down ^rp++++=down
Station ^npl+nom+++=Station
Road ^npl++++=Road.
. ^zz++++=EXTRAWORD
Fishermen ^nns++++=Fishermen
had ^vbd+hvd+aux++=had
crowded ^vprf+++xvbnx+=crowded
the ^ati++++=the
harbor ^nn++++=harbor
at ^rb++++=at
dawn ^nn++++=dawn.
. ^zz++++=EXTRAWORD
On ^in++++=On
summer ^nn++++=summer
evenings ^nns++++=evenings,
, ^zz++++=EXTRAWORD
couples ^nns++++=couples
had ^vbd+hvd+aux++=had
danced ^vprf+++xvbnx+=danced
beneath ^in+pl+++=beneath
paper ^nn++++=paper
lanterns ^nns++++=lanterns
in ^in++++=in
the ^ati++++=the
public ^jj+atrb+++=public
gardens ^nns++++=gardens.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
sea ^nn++++=sea
began ^vbd+++xvbn+=began
climbing ^nvbg+++xvbg+=climbing.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
did ^vbd+dod+aux++=did
not ^xnot++not++=not
come ^vprf+++xvbn+=come
like ^in++++=like
an ^at++++=an
army ^nn++++=army.
. ^zz++++=EXTRAWORD
Armies ^nns++++=Armies
could ^md+pos+++=could
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen,
, ^zz++++=EXTRAWORD
resisted ^j+++xvbn+=resisted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blamed ^vbd+++xvbn+=blamed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sea ^nn++++=sea
came ^vbd+++xvbn+=came
like ^in++++=like
a ^at++++=a
patient ^nn++++=patient
creditor ^nn++++=creditor.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
winter ^nn++++=winter
it ^pp3+it+++=it
took ^vbd+++xvbn+=took
a ^at++++=a
field ^nn++++=field,
, ^zz++++=EXTRAWORD
a ^at++++=a
street ^nn++++=street,
, ^zz++++=EXTRAWORD
a ^at++++=a
row ^nn++++=row
of ^in++++=of
houses ^nns++++=houses.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
filled ^vbd+++xvbn+=filled
basements ^nns+nom+++=basements,
, ^zz++++=EXTRAWORD
soured ^xvbn+++xvbn+=soured
wells ^np++++=wells,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
left ^jj+atrb++xvbn+=left
silver ^nn++++=silver
fish ^nns++++=fish
flickering ^jj++++=flickering
in ^in++++=in
abandoned ^jj+atrb++xvbn+=abandoned
kitchens ^nns++++=kitchens.
. ^zz++++=EXTRAWORD
The ^ati++++=The
government ^nn+nom+++=government
built ^vbd+++xvbn+=built
barriers ^nns+nom+++=barriers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
barriers ^nns+nom+++=barriers
cracked ^vbd+++xvbn+=cracked.
. ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
barriers ^nns+nom+++=barriers
were ^vbd+bed+aux++=were
promised ^vpsv++agls+xvbnx+=promised.
. ^zz++++=EXTRAWORD
