# ^zz++++=##
# ^zz++++=EXTRAWORD
The ^ati++++=The
Keeper ^nn++++=Keeper
of ^in++++=of
Lost ^xvbn+++xvbn+=Lost
Hours ^nns++++=Hours
Every ^at++++=Every
morning ^nn++++=morning
at ^in++++=at
six ^cd++++=six,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Venn ^np+++??+=Venn
climbed ^vbd+++xvbn+=climbed
the ^ati++++=the
narrow ^jj+atrb+++=narrow
stairs ^nns++++=stairs
of ^in++++=of
the ^ati++++=the
clock ^nn++++=clock
tower ^nn++++=tower
and ^cc++++=and
collected ^vbd+++xvbn+=collected
the ^ati++++=the
hours ^nns++++=hours
that ^tht+rel+obj++=that
people ^nns++++=people
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
appeared ^vbd+seem++xvbnx+=appeared
inside ^jjb++++=inside
the ^ati++++=the
great ^jj+atrb+++=great
brass ^nn++++=brass
mechanism ^nn+nom+++=mechanism
as ^in++++=as
small ^jj+atrb+++=small
glass ^nn++++=glass
beads ^nns++++=beads,
, ^zz++++=EXTRAWORD
each ^dt++++=each
no ^at++++=no
larger ^nn++++=larger
than ^in++++=than
a ^at++++=a
raindrop ^nn+++??+=raindrop.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
were ^vbd+bed+vrb++=were
clear ^jj+pred+++=clear,
, ^zz++++=EXTRAWORD
some ^dti++++=some
clouded ^jj+++xvbn+=clouded
with ^in++++=with
gray ^np++++=gray,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^ap++++=a
few ^ap"++++=few
shone ^vbd+++xvbn+=shone
with ^in++++=with
a ^at++++=a
pale ^jj+atrb+++=pale
gold ^nn++++=gold
light ^nn++++=light.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
gathered ^vbd+++xvbnx+=gathered
beneath ^in+pl+++=beneath
the ^ati++++=the
gears ^nns++++=gears
during ^in++++=during
the ^ati++++=the
night ^nn++++=night,
, ^zz++++=EXTRAWORD
trembling ^jj+++xvbg+=trembling
whenever ^nn+nom+++=whenever
the ^ati++++=the
clock ^nn++++=clock
struck ^vbd+++xvbn+=struck.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
swept ^vwbn+++xvbn+=swept
them ^pp3o+pp3+++=them
into ^in++++=into
a ^at++++=a
velvet ^nn++++=velvet-lined
- ^zz++++=EXTRAWORD
lined ^jj+atrb++xvbn+=EXTRAWORD
box ^nn++++=box.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
else ^rb+cnj+++=else
in ^in++++=in
Bellweather ^np+nom++??+=Bellweather
knew ^vbd+vprv+tht0+xvbn+=knew
they ^pp3a+pp3+++=they
existed ^vbd+++xvbnx+=existed.
. ^zz++++=EXTRAWORD
To ^in++++=To
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
was ^vbd+bedz+vrb++=was
simply ^rb++++=simply
the ^ati++++=the
keeper ^nn++++=keeper
of ^in++++=of
the ^ati++++=the
clock ^nn++++=clock.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wound ^vbd+++xvbnx+=wound
the ^ati++++=the
mechanism ^nn+nom+++=mechanism,
, ^zz++++=EXTRAWORD
polished ^jj++++=polished
its ^pp$+it+++=its
four ^cd++++=four
faces ^nns++++=faces,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rang ^vbd+++xvbn+=rang
the ^ati++++=the
bells ^nns++++=bells
on ^in++++=on
