Every ^at++++=Every
morning ^nn++++=morning
at ^in++++=at
six ^cd++++=six,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
one ^cd1++++=one
thing ^nn++++=thing
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
small ^jj+pred+++=small:
: ^zz++++=EXTRAWORD
a ^at++++=a
sandal ^nn++++=sandal
with ^in++++=with
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
strap ^nn++++=strap,
, ^zz++++=EXTRAWORD
a ^at++++=a
brass ^nn++++=brass
key ^jjb+atrb+++=key
green ^nn++++=green
with ^in++++=with
salt ^nn++++=salt,
, ^zz++++=EXTRAWORD
a ^at++++=a
child ^nn++++=child's
's ^vbz+bez+vrb++0=EXTRAWORD
red ^jj+atrb+++=red
bucket ^nn++++=bucket.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
large ^jj+pred+++=large
enough ^qlp++++=enough
to ^to++++=to
draw ^vbi++++=draw
the ^ati++++=the
whole ^jj+atrb+++=whole
village ^nn+nom+++=village
down ^in++++=down
to ^in++++=to
the ^ati++++=the
shore ^nn++++=shore:
: ^zz++++=EXTRAWORD
the ^ati++++=the
mast ^nn++++=mast
of ^in++++=of
a ^at++++=a
vanished ^jj+atrb++xvbn+=vanished
fishing ^jj+atrb++xvbg+=fishing
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
a ^at++++=a
church ^npl++++=church
bell ^nn++++=bell
from ^in++++=from
the ^ati++++=the
drowned ^jj+++xvbn+=drowned
island ^npl++++=island
of ^in++++=of
Saint ^nn++++=Saint
Orra ^np+++??+=Orra,
, ^zz++++=EXTRAWORD
the ^ati++++=the
marble ^nn++++=marble
hand ^nn++++=hand
of ^in++++=of
a ^at++++=a
statue ^nn++++=statue
no ^at++++=no
one ^cd1++++=one
remembered ^vbd+vprv++xvbn+=remembered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
objects ^nns++++=objects
always ^rb++++=always
appeared ^vbd+seem++xvbn+=appeared
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
place ^nn++++=place,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
black ^jj+atrb+++=black
sand ^nn++++=sand
below ^in+pl+++=below
the ^ati++++=the
cliffs ^nns++++=cliffs,
, ^zz++++=EXTRAWORD
placed ^xvbn+++xvbn+=placed
neatly ^rb++++=neatly
above ^jjb++++=above
the ^ati++++=the
tide ^nn++++=tide
line ^nn++++=line
as ^cs+sub+++=as
if ^cs+cnd+++=if
delivered ^vpsv++by+xvbn+=delivered
by ^in++++=by
a ^at++++=a
careful ^jj+atrb+++=careful
servant ^nn+nom+++=servant.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Vale ^npl++++=Vale
had ^vbd+hvd+aux++=had
watched ^vprf+++xvbnx+=watched
these ^dt+dem+++=these
offerings ^nns++++=offerings
for ^in++++=for
thirty ^cd++++=thirty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
years ^nns++++=years.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
the ^ati++++=the
village ^nn+nom+++=village
keeper ^nn++++=keeper
of ^in++++=of
lost ^xvbn+++xvbn+=lost
things ^nns++++=things,
, ^zz++++=EXTRAWORD
a ^at++++=a
title ^nn++++=title
that ^tht+rel+subj++=that
sounded ^vbd+++xvbn+=sounded
grander ^jjr++++=grander
than ^in++++=than
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
morning ^nn++++=morning
she ^pp3a+pp3+++=she
walked ^vbd+++xvbnx+=walked
from ^in++++=from
her ^pp$+pp3+++=her
narrow ^jj+atrb+++=narrow
cottage ^nn+nom+++=cottage
to ^in++++=to
the ^ati++++=the
beach ^nn++++=beach,
, ^zz++++=EXTRAWORD
recorded ^j+++xvbn+=recorded
what ^wdt+who+++=what
the ^ati++++=the
sea ^nn++++=sea
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carried ^vbd+++xvbn+=carried
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
old ^jj+atrb+++=old
customs ^nns++++=customs
house ^nn++++=house
beside ^in+pl+++=beside
the ^ati++++=the
harbor ^nn++++=harbor.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There,
, ^zz++++=EXTRAWORD
the ^ati++++=the
object ^nn++++=object
was ^vbd+bedz+aux++=was
cleaned ^vpsv++agls+xvbnx+=cleaned,
, ^zz++++=EXTRAWORD
labeled ^j+++xvbn+=labeled,
, ^zz++++=EXTRAWORD
