By ^in++++=By
the ^ati++++=the
time ^nn++++=time
Mara ^np+++??+=Mara
Venn ^np+++??+=Venn
returned ^vbd+++xvbn+=returned
to ^in++++=to
Bellweather ^np+nom++??+=Bellweather
Island ^nn++++=Island,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^nn++++=sea
had ^vbd+hvd+aux++=had
swallowed ^vprf+++xvbnx+=swallowed
the ^ati++++=the
road ^nn++++=road
twice ^rb++++=twice.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
waited ^vbd+++xvbnx+=waited
in ^in++++=in
her ^pp$+pp3+++=her
car ^nn++++=car
at ^in++++=at
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
flooded ^jj+atrb+++=flooded
causeway ^nn++++=causeway,
, ^zz++++=EXTRAWORD
listening ^jj+++xvbg+=listening
to ^in++++=to
rain ^nn++++=rain
tap ^nn++++=tap
the ^ati++++=the
windshield ^nn+++??+=windshield.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
the ^ati++++=the
gray ^np++++=gray
water ^nn++++=water,
, ^zz++++=EXTRAWORD
the ^ati++++=the
island ^nn++++=island
rose ^vbd+++xvbn+=rose
like ^in++++=like
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
some ^dti++++=some
sleeping ^jj+atrb++xvbg+=sleeping
animal ^nn++++=animal:
: ^zz++++=EXTRAWORD
black ^jj+atrb+++=black
cliffs ^nns++++=cliffs,
, ^zz++++=EXTRAWORD
bent ^jj+atrb++xvbn+=bent
pines ^nns++++=pines,
, ^zz++++=EXTRAWORD
a ^at++++=a
crooked ^jj+atrb+++=crooked
line ^nn++++=line
of ^in++++=of
cottages ^nns+nom+++=cottages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
highest ^jjt+atrb+++=highest
point ^nn++++=point,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
lighthouse ^nn++++=lighthouse.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
lamp ^nn++++=lamp
had ^vb+hv+aux++=had
not ^xnot++not++=not
shone ^vbd+++xvbn+=shone
for ^in++++=for
twenty ^cd++++=twenty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
knew ^vbd+vprv++xvbn+=knew
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
there ^rn+pl+++=there
the ^ati++++=the
night ^nn++++=night
it ^pp3+it+++=it
went ^vbd+++xvbn+=went
dark ^nn++++=dark.
. ^zz++++=EXTRAWORD
A ^at++++=A
yellow ^jj+atrb+++=yellow
warning ^nn++++=warning
sign ^vb++++=sign
leaned ^vbd+++xvbn+=leaned
beside ^in+pl+++=beside
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
Causeway ^np+++??+=CAUSEWAY
Passable ^jj++++=PASSABLE
At ^in++++=AT
Low ^nn++++=LOW
Tide ^vb++++=TIDE
Only ^rb+down+++=ONLY.
. ^zz++++=EXTRAWORD
Someone ^pn++++=Someone
had ^vbd+hvd+aux++=had
added ^vprf+++xvbnx+=added,
, ^zz++++=EXTRAWORD
in ^in++++=in
fading ^xvbg+++xvbg+=fading
red ^jj+atrb+++=red
paint ^nn++++=paint:
: ^zz++++=EXTRAWORD
Some ^dti++++=SOME
Things ^nns++++=THINGS
Should ^md+nec+++=SHOULD
Stay ^vb++++=STAY
Cut ^vbd+++xvbn+=CUT
Off ^rb+phrv+++=OFF.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
checked ^vwbn+++xvbn+=checked
her ^pp3o+pp3+++=her
watch ^vb++++=watch.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tide ^nn++++=tide
was ^vbd+bedz+vrb++=was
retreating ^jj+pred+++=retreating.
. ^zz++++=EXTRAWORD
Beneath ^in+pl+++=Beneath
the ^ati++++=the
water ^nn++++=water,
, ^zz++++=EXTRAWORD
the ^ati++++=the
road ^npl++++=road
appeared ^vwbn+seem++xvbn+=appeared
by ^in++++=by
degrees ^nns+nom+++=degrees,
, ^zz++++=EXTRAWORD
shining ^vbg+++xvbg+=shining
with ^in++++=with
weeds ^nns++++=weeds
and ^cc++++=and
broken ^vbd+++xvbn+=broken
shells ^nps++++=shells.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
drove ^vbd+++xvbnx+=drove
across ^in+strn+++=across.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
father ^npt++++=father's
's ^$++++=EXTRAWORD
house ^npl++++=house
stood ^vbd+++xvbn+=stood
near ^in+pl+++=near
the ^ati++++=the
western ^jj+atrb+++=western
cliffs ^nns++++=cliffs,
, ^zz++++=EXTRAWORD
exactly ^rb++++=exactly
as ^ql++++=as
she ^pp3a+pp3+++=she
remembered ^vbd+vprv+tht0+xvbnx+=remembered
it ^pp3+it+++=it
and ^cc++++=and
smaller ^jjr++++=smaller
than ^in++++=than
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
childhood ^nn+nom+++=childhood.
. ^zz++++=EXTRAWORD
The ^ati++++=The
blue ^jj+atrb+++=blue
paint ^nn++++=paint
had ^vb+hv+vrb++=had
whitened ^jj++++=whitened
with ^in++++=with
salt ^nn++++=salt.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
shutter ^nn++++=shutter
hung ^vbd+++xvbn+=hung
loose ^jj++++=loose.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
dead ^jj+atrb+++=dead
stalks ^nns+++??+=stalks
clicked ^vbd+++xvbn+=clicked
together ^nn+nom+++=together
in ^in++++=in
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
in ^in++++=in
a ^at++++=a
green ^jj+atrb+++=green
coat ^nn++++=coat
was ^vbd+bedz+aux++=was
waiting ^vbg+++xvbgx+=waiting
on ^in+ppvb+++=on
the ^ati++++=the
porch ^nn++++=porch.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
late ^jj+pred+++=late,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Hello,
hello ^rb+dspt+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
nodded ^vbd+++xvbnx+=nodded
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
greeting ^nvbg+++xvbg+=greeting
a ^at++++=a
stranger ^nn+nom+++=stranger
whose ^whp+rel+obj++=whose
name ^nn++++=name
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
forgotten ^vprf+++xvbnx+=forgotten.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
stepped ^vbd+++xvbn+=stepped
from ^in++++=from
the ^ati++++=the
car ^nn++++=car.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind
pulled ^vbd+++xvbn+=pulled
at ^rb++++=at
her ^pp$+pp3+++=her
black ^jj+atrb+++=black
coat ^nn++++=coat
and ^cc++++=and
carried ^vbd+++xvbn+=carried
the ^ati++++=the
smell ^nn++++=smell
of ^in++++=of
kelp ^nn+++??+=kelp
across ^in+pl+++=across
the ^ati++++=the
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
leaner ^jjr++++=leaner,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
face ^vb++++=face
sharpened ^vpsv++by+xvbn+=sharpened
by ^in++++=by
island ^nn++++=island
winters ^nns+nom+++=winters.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
gray ^np++++=gray
in ^in++++=in
his ^pp$+pp3+++=his
beard ^nn++++=beard.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Mara ^np+++??+=Mara
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
Bellweather ^np+nom++??+=Bellweather,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
seventeen ^cd++++=seventeen
and ^cc++++=and
furious ^jj++++=furious
with ^in++++=with
