**the ^nn+++??+=**The
Lighthouse ^nn++++=Lighthouse
Keeper ^np++++=Keeper's
's ^$++++=EXTRAWORD
Last ^rb++++=Last
Guest** ^np+++??+=Guest**
On ^in++++=On
the ^ati++++=the
morning ^nn++++=morning
the ^ati++++=the
sea ^npl++++=sea
disappeared ^vbd+seem++xvbn+=disappeared,
, ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
Vale ^nn++++=Vale
was ^vbd+bedz+aux++=was
polishing ^vbg+++xvbgx+=polishing
the ^ati++++=the
lighthouse ^nn++++=lighthouse
lens ^nn++++=lens.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
noticed ^vbd+vprv++xvbnx+=noticed
the ^ati++++=the
silence ^nn+nom+++=silence
first ^rb++++=first.
. ^zz++++=EXTRAWORD
For ^in++++=For
thirty ^cd++++=thirty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
years ^nns++++=years,
, ^zz++++=EXTRAWORD
the ^ati++++=the
waves ^nns++++=waves
had ^vbd+hvd+aux++=had
struck ^vprf+++xvbnx+=struck
the ^ati++++=the
black ^jj+atrb+++=black
cliffs ^nns++++=cliffs
beneath ^in+pl+++=beneath
the ^ati++++=the
tower ^nn++++=tower
with ^in++++=with
the ^ati++++=the
regular ^jj+atrb+++=regular
patience ^nn+nom+++=patience
of ^in++++=of
a ^at++++=a
clock ^nn++++=clock.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
in ^in++++=in
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
water ^nn++++=water
lay ^vbd+++xvbn+=lay
blue ^nn++++=blue
and ^cc++++=and
mild ^jj++++=mild
beyond ^in++++=beyond
the ^ati++++=the
harbor ^nn++++=harbor,
, ^zz++++=EXTRAWORD
the ^ati++++=the
island ^npl++++=island
trembled ^vbd+++xvbn+=trembled
faintly ^rb++++=faintly
beneath ^rb++++=beneath
each ^ppls++++=each
blow ^nn++++=blow.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
had ^vbd+hvd+aux++=had
slept ^vprf+++xvbnx+=slept
to ^in++++=to
that ^dt+dem+++=that
rhythm ^nn++++=rhythm,
, ^zz++++=EXTRAWORD
eaten ^xvbn+++xvbn+=eaten
to ^in++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
grown ^j+++xvbn+=grown
old ^jj++++=old
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Silence ^nn+nom+++=Silence,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
an ^at++++=an
absence ^nn+nom+++=absence.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
an ^at++++=an
alarm ^nn++++=alarm.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
set ^vbd+++xvbnx+=set
down ^rb+phrv+++=down
his ^pp$+pp3+++=his
cloth ^nn++++=cloth
and ^cc++++=and
climbed ^vbd+++xvbn+=climbed
the ^ati++++=the
iron ^nn++++=iron
steps ^nns++++=steps
to ^in++++=to
the ^ati++++=the
gallery ^nn+nom+++=gallery.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sea ^nn++++=sea
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
withdrawn ^vprf+++xvbnx+=withdrawn
beyond ^in++++=beyond
the ^ati++++=the
horizon ^nn++++=horizon,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
behind ^rb+phrv+++=behind
a ^at++++=a
vast ^jj+atrb+++=vast
plain ^nn++++=plain
of ^in++++=of
glistening ^jj+atrb+++=glistening
mud ^nn++++=mud.
. ^zz++++=EXTRAWORD
Fish ^nns++++=Fish
twisted ^vbd+++xvbn+=twisted
in ^in++++=in
shallow ^jj+atrb+++=shallow
pools ^nns++++=pools.
. ^zz++++=EXTRAWORD
Ridges ^nns++++=Ridges
of ^in++++=of
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
long ^jj++++=long
drowned ^jj+++xvbn+=drowned,
, ^zz++++=EXTRAWORD
rose ^j+++xvbn+=rose
like ^in++++=like
the ^ati++++=the
spines ^nns++++=spines
of ^in++++=of
buried ^jj+atrb++xvbn+=buried
animals ^nns+nom+++=animals.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
to ^in++++=to
the ^ati++++=the
east ^np+pl+++=east,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wrecks ^nns++++=wrecks
of ^in++++=of
forgotten ^vbn+vprv+tht0+xvbn+=forgotten
ships ^nns++++=ships
leaned ^vbd+++xvbn+=leaned
in ^in++++=in
the ^ati++++=the
gray ^np++++=gray
light ^nn++++=light,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
broken ^xvbn+++xvbn+=broken
masts ^nns+++??+=masts
tangled ^jj++++=tangled
with ^in++++=with
weeds ^nns++++=weeds.
. ^zz++++=EXTRAWORD
The ^ati++++=The
island ^nn++++=island
harbor ^nn++++=harbor
had ^vbd+hvd+aux++=had
emptied ^vprf+++xvbnx+=emptied
completely ^rb+amp+++=completely.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
fishing ^nvbg+++xvbg+=fishing
boats ^nns++++=boats
rested ^vbd+++xvbn+=rested
on ^in++++=on
their ^pp$+pp3+++=their
sides ^nns++++=sides
in ^in++++=in
the ^ati++++=the
mud ^nn++++=mud.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
quay ^np++++=quay
below ^rb++++=below,
, ^zz++++=EXTRAWORD
Tomas ^np+++??+=Tomas
Reed ^nn++++=Reed
stood ^vbd+++xvbn+=stood
staring ^vbg+++xvbg+=staring
at ^rb++++=at
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
red ^jj+atrb+++=red
cap ^nn++++=cap
clutched ^vbd+++xvbn+=clutched
in ^in++++=in
both ^abx++++=both
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="Elias!"
elias ^nns+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
shouted ^vbd+vpub++xvbnx+=shouted.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
does ^vbz+doz+aux++=does
it ^pp3+it+++=it
mean ^vb+vprv+++=mean?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
knew ^vbd+vprv++xvbn+=knew
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
