# ^zz++++=#
The ^ati++++=The
Keeper ^nn++++=Keeper
of ^in++++=of
Lost ^xvbn+++xvbn+=Lost
Hours ^nns++++=Hours
Every ^at++++=Every
morning ^nn++++=morning
at ^in++++=at
six ^cd++++=six,
, ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
Vale ^npl++++=Vale
unlocked ^vbd+++xvbn+=unlocked
the ^ati++++=the
clock ^nn++++=clock
shop ^nn++++=shop
on ^in++++=on
Bellweather ^np+nom++??+=Bellweather
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
the ^ati++++=the
sign ^nn++++=sign
from ^in++++=from
Closed ^jj+++xvbn+=CLOSED
to ^to++++=to
Open ^vbi++++=OPEN,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
listened ^vpsv++agls+xvbn+=listened
to ^in++++=to
time ^nn++++=time
begin ^vb++++=begin.
. ^zz++++=EXTRAWORD
First ^rb++++=First
came ^vbd+++xvbn+=came
the ^ati++++=the
clocks ^nns++++=clocks
in ^in++++=in
the ^ati++++=the
front ^jjb+atrb+++=front
window ^nn++++=window:
: ^zz++++=EXTRAWORD
two ^cd++++=two
brass ^nn++++=brass
carriage ^nn+nom+++=carriage
clocks ^nns++++=clocks,
, ^zz++++=EXTRAWORD
a ^at++++=a
porcelain ^nn++++=porcelain
mantel ^nn+++??+=mantel
clock ^nn++++=clock
painted ^vbd+++xvbn+=painted
with ^in++++=with
violets ^nns+nom+++=violets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
wooden ^jj+atrb+++=wooden
cuckoo ^nn++++=cuckoo
clock ^nn++++=clock
whose ^whp+rel+obj++=whose
bird ^nn++++=bird
had ^vbd+hvd+aux++=had
forgotten ^vprf+++xvbnx+=forgotten
how ^wrb+who+whcl++=how
to ^to++++=to
sing ^vbi++++=sing.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
clocks ^nns++++=clocks
along ^in++++=along
the ^ati++++=the
walls ^nns++++=walls
joined ^vbd+++xvbn+=joined
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
ticking ^nvbg+++xvbg+=ticking
at ^rb++++=at
different ^jj+atrb+++=different
speeds ^nns++++=speeds
and ^cc++++=and
pitches ^nns+++??+=pitches
until ^cs+sub+++=until
the ^ati++++=the
shop ^nn++++=shop
filled ^vbd+++xvbn+=filled
with ^in++++=with
a ^at++++=a
soft ^jj+atrb+++=soft,
, ^zz++++=EXTRAWORD
uneven ^jj+atrb+++=uneven
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
liked ^vbd+++xvbn+=liked
that ^dt+dem+++=that
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
reminded ^vbd+vsua++xvbn+=reminded
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
time ^nn++++=time
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
single ^jj+atrb+++=single
river ^nn++++=river,
, ^zz++++=EXTRAWORD
as ^ql++++=as
poets ^nns++++=poets
claimed ^vbd+vpub++xvbn+=claimed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
thousands ^cds++++=thousands
of ^in++++=of
small ^jj+atrb+++=small
streams ^nns++++=streams,
, ^zz++++=EXTRAWORD
each ^dt++++=each
carrying ^jj+++xvbg+=carrying
someone ^pn++++=someone
toward ^in++++=toward
a ^at++++=a
different ^jj+atrb+++=different
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Above ^in+pl+++=Above
