The ^ati++++=The
Last ^jj+atrb+++=Last
Lightkeeper ^np+nom++??+=Lightkeeper
On ^in++++=On
the ^ati++++=the
morning ^nn++++=morning
the ^ati++++=the
sea ^nn++++=sea
forgot ^vbd+vprv++xvbn+=forgot
the ^ati++++=the
lighthouse ^nn++++=lighthouse,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Vale ^npl++++=Vale
found ^vbd+vprv++xvbn+=found
a ^at++++=a
red ^jj+atrb+++=red
door ^nn++++=door
floating ^vwbg+++xvbg+=floating
in ^in++++=in
the ^ati++++=the
bay ^nn++++=bay.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
drifted ^vbd+++xvbn+=drifted
upright ^jj++++=upright
through ^in++++=through
the ^ati++++=the
fog ^nn++++=fog,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
slowly ^rb++++=slowly
in ^in++++=in
the ^ati++++=the
gray ^np++++=gray
water ^nn++++=water
as ^cs+sub+++=as
if ^cs+cnd+++=if
mounted ^vwbn+++xvbn+=mounted
on ^in++++=on
invisible ^jj+atrb+++=invisible
hinges ^nns++++=hinges.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
brass ^nn++++=brass
knob ^nn++++=knob
flashed ^vbd+++xvbn+=flashed
whenever ^nn+nom+++=whenever
the ^ati++++=the
sun ^nn++++=sun
pushed ^vwbn+++xvbn+=pushed
through ^in++++=through
the ^ati++++=the
clouds ^nns++++=clouds.
. ^zz++++=EXTRAWORD
Barnacles ^np+++??+=Barnacles
crusted ^vbd+++xvbn+=crusted
the ^ati++++=the
lower ^jjr+atrb+++=lower
panels ^nns++++=panels,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
red ^jj+atrb+++=red
paint ^nn++++=paint
looked ^vbd+++xvbn+=looked
fresh ^jj++++=fresh.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
watched ^vbd+++xvbn+=watched
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
lantern ^nn++++=lantern
room ^nn++++=room
at ^in++++=at
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
Bellweather ^np+nom++??+=Bellweather
Light ^nn++++=Light.
. ^zz++++=EXTRAWORD
For ^in++++=For
thirty ^cd++++=thirty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
years ^nns++++=years,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
watched ^vprf+++xvbnx+=watched
ships ^nns++++=ships,
, ^zz++++=EXTRAWORD
storms ^nns++++=storms,
, ^zz++++=EXTRAWORD
whales ^nns+++??+=whales,
, ^zz++++=EXTRAWORD
wreckage ^nn+nom+++=wreckage,
, ^zz++++=EXTRAWORD
migrating ^jj+atrb+++=migrating
birds ^nns++++=birds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
an ^at++++=an
empty ^jj+atrb+++=empty
