On ^in++++=On
the ^ati++++=the
morning ^nn++++=morning
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
the ^ati++++=the
bells ^nns++++=bells,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Venn ^np+++??+=Venn
was ^vbd+bedz+aux++=was
repairing ^vbg+++xvbgx+=repairing
a ^at++++=a
clock ^nn++++=clock
that ^tht+rel+subj++=that
had ^vb+hv+aux++=had
never ^rb++splt++=never
learned ^vprf+++xvbnx+=learned
to ^to+vcmp+++=to
keep ^vbi++++=keep
time ^nn++++=time.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^jj+atrb+++=small
brass ^nn++++=brass
carriage ^nn+nom+++=carriage
clock ^nn++++=clock,
, ^zz++++=EXTRAWORD
green ^nn++++=green
around ^rp++++=around
the ^ati++++=the
hinges ^nns++++=hinges,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
crack ^nn++++=crack
across ^in+pl+++=across
its ^pp$+it+++=its
glass ^nn++++=glass
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
hour ^nn++++=hour
it ^pp3+it+++=it
gained ^vbd+++xvbn+=gained
exactly ^rb++++=exactly
seven ^cd++++=seven
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
no ^at++++=no
matter ^nn++++=matter
how ^wrb+who+++=how
carefully ^rb++++=carefully
Mara ^np+++??+=Mara
adjusted ^vwbn+++xvbn+=adjusted
the ^ati++++=the
balance ^nn+nom+++=balance
spring ^vb++++=spring.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
replaced ^vprf+++xvbnx+=replaced
the ^ati++++=the
gears ^nns++++=gears,
, ^zz++++=EXTRAWORD
polished ^jj++++=polished
the ^ati++++=the
pivots ^nns+++??+=pivots,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
whispered ^vbd+vpub++xvbn+=whispered
an ^at++++=an
apology ^nn++++=apology
to ^in++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
her ^pp3o+pp3+++=her
father ^nn++++=father
had ^vbd+hvd+aux++=had
taught ^vprf+++xvbnx+=taught
her ^pp$+pp3+++=her
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
stubborn ^jj+atrb+++=stubborn
machines ^nns++++=machines.
. ^zz++++=EXTRAWORD
" ^zz++++="Some
some ^dti++++=EXTRAWORD
things ^nns++++=things,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
used ^md"++pmd"++=used
to ^to++++=to
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="only
only ^rb+down+++=EXTRAWORD
work ^nn++++=work
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
know ^vb+vprv+tht0++=know
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
forgiven ^vpsv++agls+xvbnx+=forgiven."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
had ^vb+hv+aux++=had
never ^rb++splt++=never
believed ^vprf+++xvbnx+=believed
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
inherited ^vprf+++xvbnx+=inherited
his ^pp$+pp3+++=his
habit ^nn++++=habit.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
forgive ^vb++++=forgive
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
told ^vbd+vpub++xvbnx+=told
the ^ati++++=the
clock ^nn++++=clock.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
a ^at++++=a
bell ^nn++++=bell
rang ^vbd+++xvbn+=rang
beneath ^in+pl+++=beneath
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sound ^nn++++=sound
rolled ^vbd+++xvbn+=rolled
through ^in++++=through
the ^ati++++=the
village ^nn+nom+++=village
of ^in++++=of
Bellweather ^np+nom++??+=Bellweather,
, ^zz++++=EXTRAWORD
deep ^jj++++=deep
enough ^qlp++++=enough
to ^to++++=to
tremble ^vbi++++=tremble
in ^in++++=in
the ^ati++++=the
floorboards ^nns++++=floorboards.
. ^zz++++=EXTRAWORD
Cups ^nns++++=Cups
rattled ^vwbn+++xvbn+=rattled
on ^in++++=on
shelves ^nns++++=shelves.
. ^zz++++=EXTRAWORD
Dust ^nn++++=Dust
shook ^vbd+++xvbn+=shook
from ^in++++=from
the ^ati++++=the
beams ^nns++++=beams.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
gulls ^nns++++=gulls
rose ^vbd+++xvbn+=rose
in ^in++++=in
a ^at++++=a
white ^jj+atrb+++=white
cloud ^nn++++=cloud
above ^in+pl+++=above
the ^ati++++=the
harbor ^nn++++=harbor.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
set ^vbd+++xvbn+=set
down ^rb+phrv+++=down
her ^pp3o+pp3+++=her
screwdriver ^nn+nom+++=screwdriver
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
to ^in++++=to
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Everyone ^pn++++=Everyone
in ^in++++=in
the ^ati++++=the
street ^nn++++=street
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped.
. ^zz++++=EXTRAWORD
The ^ati++++=The
baker ^np++++=baker
stood ^vbd+++xvbn+=stood
in ^in++++=in
his ^pp$+pp3+++=his
doorway ^nn++++=doorway
with ^in++++=with
flour ^nn++++=flour
on ^in++++=on
his ^pp$+pp3+++=his
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
children ^nns++++=children
stared ^vbd+++xvbn+=stared
toward ^in++++=toward
the ^ati++++=the
cliffs ^nns++++=cliffs.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
Mistress ^nns+nom+++=Mistress
Vale ^npl++++=Vale
had ^vbd+hvd+aux++=had
dropped ^vprf+++xvbnx+=dropped
a ^at++++=a
basket ^nn++++=basket
of ^in++++=of
onions ^nns++++=onions,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
made ^vprf+++xvbn+=made
no ^at++++=no
effort ^nn++++=effort
to ^to+ncmp+++=to
gather ^vbi+vprv+++=gather
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bell ^nn++++=bell
rang ^vbd+++xvbn+=rang
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Bellweather ^np+nom++??+=Bellweather
had ^vb+hv+aux++=had
not ^xnot++not++=not
heard ^vprf+++xvbn+=heard
its ^pp$+it+++=its
drowned ^jj+atrb++xvbn+=drowned
bells ^nns++++=bells
for ^in++++=for
sixty ^cd++++=sixty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Long ^rb++++=Long
before ^cs+sub+++=before
Mara ^np+++??+=Mara
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
village ^nn+nom+++=village
had ^vbd+hvd+aux++=had
stood ^vprf+++xvbnx+=stood
in ^in++++=in
the ^ati++++=the
valley ^nn++++=valley
beyond ^in++++=beyond
the ^ati++++=the
cliffs ^nns++++=cliffs.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
possessed ^vprf+++xvbnx+=possessed
three ^cd++++=three
churches ^nns++++=churches,
, ^zz++++=EXTRAWORD
a ^at++++=a
schoolhouse ^nn+++??+=schoolhouse,
, ^zz++++=EXTRAWORD
orchards ^nns++++=orchards,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
square ^npl++++=square
paved ^vbd+++xvbn+=paved
with ^in++++=with
gray ^np++++=gray
stone ^nn++++=stone.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
king ^nn++++=king's
's ^$++++=EXTRAWORD
engineers ^nns+nom+++=engineers
built ^vbd+++xvbn+=built
the ^ati++++=the
great ^jj+atrb+++=great
dam ^nn++++=dam
across ^in+pl+++=across
the ^ati++++=the
River ^nn++++=River
Rill ^np+++??+=Rill.
. ^zz++++=EXTRAWORD
The ^ati++++=The
valley ^nn++++=valley
flooded ^jj++++=flooded,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
villagers ^nns+nom+++=villagers
carried ^vbd+++xvbn+=carried
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
could ^md+pos+++=could
to ^in++++=to
higher ^jjr+atrb+++=higher
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
brought ^vbd+++xvbnx+=brought
their ^pp$+pp3+++=their
doors ^nns++++=doors,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
spoons ^nns++++=spoons,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
family ^nn++++=family
portraits ^nns++++=portraits,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
dead ^jj++++=dead.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+aux++=did
not ^xnot++not++=not
bring ^vb++++=bring
the ^ati++++=the
church ^nn++++=church
bells ^nns++++=bells.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
remained ^jj+++xvbn+=remained
in ^in++++=in
their ^pp$+pp3+++=their
towers ^nns++++=towers
while ^cs+sub+++=while
the ^ati++++=the
water ^nn++++=water
rose ^vbd+++xvbn+=rose.
. ^zz++++=EXTRAWORD
People ^nns++++=People
said ^vbd+vpub+tht0+xvbn+=said
the ^ati++++=the
bells ^nns++++=bells
could ^md+pos+++=could
sometimes ^rb++++=sometimes
be ^vb+be+aux++=be
heard ^vpsv++agls+xvbnx+=heard
during ^in++++=during
storms ^nns++++=storms,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
Mara ^np+++??+=Mara
had ^vb+hv+aux++=had
always ^rb++splt++=always
dismissed ^vprf+++xvbnx+=dismissed
the ^ati++++=the
claim ^nn++++=claim
as ^ql++++=as
memory ^nn++++=memory
wearing ^vwbg+++xvbg+=wearing
a ^at++++=a
mask ^nn++++=mask.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
morning ^nn++++=morning
was ^vbd+bedz+vrb++=was
clear ^jj+pred+++=clear.
. ^zz++++=EXTRAWORD
Sunlight ^nn++++=Sunlight
lay ^vbd+++xvbn+=lay
bright ^jj++++=bright
on ^in++++=on
the ^ati++++=the
harbor ^nn++++=harbor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
reservoir ^nn++++=reservoir
beyond ^in++++=beyond
the ^ati++++=the
cliffs ^nns++++=cliffs
was ^vbd+bedz+vrb++=was
smooth ^jj+pred+++=smooth
as ^ql++++=as
polished ^jj+atrb+++=polished
slate ^nn++++=slate.
. ^zz++++=EXTRAWORD
A ^at++++=A
third ^od++++=third
bell ^nn++++=bell
sounded ^vbd+++xvbn+=sounded.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
time ^nn++++=time
Mara ^np+++??+=Mara
heard ^vbd+vprv++xvbn+=heard
something ^pn++++=something
beneath ^in+pl+++=beneath
the ^ati++++=the
note ^nn++++=note:
: ^zz++++=EXTRAWORD
not ^xnot++not++=not
words ^nns++++=words
exactly ^rb+cnj+++=exactly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
an ^at++++=an
invitation ^nn+nom+++=invitation.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
down ^rp++++=down.
. ^zz++++=EXTRAWORD
The ^ati++++=The
whole ^jj+atrb+++=whole
