The ^ati++++=The
Clockmaker ^np+nom++??+=Clockmaker
of ^in++++=of
Bellweather ^np+nom++??+=Bellweather
Street ^nn++++=Street
Every ^at++++=Every
morning ^nn++++=morning
at ^in++++=at
seven ^cd++++=seven,
, ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
Venn ^np+++??+=Venn
unlocked ^vbd+++xvbn+=unlocked
the ^ati++++=the
green ^jj+atrb+++=green
door ^nn++++=door
of ^in++++=of
his ^pp$+pp3+++=his
shop ^nn++++=shop
and ^cc++++=and
wound ^nn+++xvbn+=wound
the ^ati++++=the
clocks ^nns++++=clocks.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
six ^cd++++=six
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
no ^at++++=no
two ^cd++++=two
visitors ^nns++++=visitors
ever ^rb++++=ever
agreed ^vbd+vpub++xvbn+=agreed
on ^in++++=on
the ^ati++++=the
number ^nn++++=number.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
stood ^vbd+++xvbn+=stood
in ^in++++=in
walnut ^nn++++=walnut
cases ^nns++++=cases
as ^in++++=as
tall ^jj++++=tall
as ^ql++++=as
coffins ^nns+++??+=coffins.
. ^zz++++=EXTRAWORD
Others ^aps++++=Others
hung ^vbd+++xvbn+=hung
from ^in++++=from
brass ^nn++++=brass
hooks ^nns++++=hooks,
, ^zz++++=EXTRAWORD
rested ^j+++xvbn+=rested
beneath ^in+pl+++=beneath
glass ^nn++++=glass
domes ^nns+++??+=domes,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
crouched ^vpsv++agls+xvbn+=crouched
on ^in++++=on
shelves ^nns++++=shelves
between ^in++++=between
jars ^nns++++=jars
of ^in++++=of
screws ^nns++++=screws
and ^cc++++=and
cloudy ^jj+atrb+++=cloudy
bottles ^nns++++=bottles
of ^in++++=of
oil ^nn++++=oil.
. ^zz++++=EXTRAWORD
At ^rb++++=At
seven ^cd++++=seven
fifteen ^cd++++=fifteen,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Elias ^np+++??+=Elias
finished ^vbd+++xvbn+=finished
his ^pp$+pp3+++=his
rounds ^nns++++=rounds,
, ^zz++++=EXTRAWORD
the ^ati++++=the
shop ^nn++++=shop
became ^vbd+++xvbn+=became
a ^at++++=a
forest ^nn++++=forest
of ^in++++=of
ticking ^xvbg+++xvbg+=ticking.
. ^zz++++=EXTRAWORD
Bellweather ^np+nom++??+=Bellweather
Street ^nn++++=Street
woke ^vbd+++xvbn+=woke
around ^rp++++=around
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Bakers ^nns++++=Bakers
lifted ^vbd+++xvbn+=lifted
shutters ^nns+nom+++=shutters.
. ^zz++++=EXTRAWORD
Horses ^nns++++=Horses
dragged ^vbd+++xvbn+=dragged
milk ^nn++++=milk
carts ^nns+++??+=carts
over ^in++++=over
the ^ati++++=the
wet ^jj+atrb+++=wet
stones ^nns++++=stones.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
hurried ^vbd+++xvbn+=hurried
toward ^in++++=toward
school ^nn++++=school
with ^in++++=with
scarves ^nns++++=scarves
streaming ^vwbg+++xvbg+=streaming
behind ^rp+pl+++=behind
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Above ^in+pl+++=Above
the ^ati++++=the
roofs ^nns++++=roofs,
, ^zz++++=EXTRAWORD
the ^ati++++=the
city ^nn++++=city
bells ^nns++++=bells
announced ^vbd+vpub++xvbn+=announced
the ^ati++++=the
quarter ^nn++++=quarter
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
always ^rb++++=always
a ^rb++++=a
little ^rb"++++=little
later ^rbr+tm+++=later
than ^in++++=than
the ^ati++++=the
clocks ^nns++++=clocks
in ^in++++=in
Elias ^np++++=Elias's
's ^$++++=EXTRAWORD
shop ^nn++++=shop.
. ^zz++++=EXTRAWORD
" ^zz++++="Public
public ^jj+atrb+++=EXTRAWORD
clocks ^nns++++=clocks,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
liked ^vbd+++xvbn+=liked
to ^to+vcmp+++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="have
have ^vb+hv+vrb++=EXTRAWORD
committees ^nns+nom+++=committees.
. ^zz++++=EXTRAWORD
Mine ^nn++++=Mine
have ^vb+hv+aux++=have
springs ^vbz++++=springs."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
For ^in++++=For
forty ^cd++++=forty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
years ^nns++++=years,
