Every ^at++++=Every
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Venn ^np+++??+=Venn
climbed ^vbd+++xvbn+=climbed
the ^ati++++=the
bell ^nn++++=bell
tower ^nn++++=tower
to ^in++++=to
wind ^nn++++=wind
the ^ati++++=the
weather ^nn++++=weather.
. ^zz++++=EXTRAWORD
The ^ati++++=The
machinery ^nn+nom+++=machinery
occupied ^vbd+++xvbn+=occupied
the ^ati++++=the
highest ^jjt+atrb+++=highest
chamber ^nn++++=chamber
of ^in++++=of
the ^ati++++=the
tower ^nn++++=tower,
, ^zz++++=EXTRAWORD
above ^in+pl+++=above
the ^ati++++=the
clock ^nn++++=clock,
, ^zz++++=EXTRAWORD
above ^in+pl+++=above
the ^ati++++=the
bells ^nns++++=bells,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
stone ^nn++++=stone
walls ^nns++++=walls
narrowed ^vbd+++xvbn+=narrowed
and ^cc++++=and
the ^ati++++=the
windows ^nns++++=windows
were ^vbd+bed+vrb++=were
no ^at++++=no
wider ^nn++++=wider
than ^in++++=than
sword ^nn++++=sword
cuts ^nns++++=cuts.
. ^zz++++=EXTRAWORD
Gears ^nns++++=Gears
of ^in++++=of
brass ^nn++++=brass
and ^cc++++=and
iron ^nn++++=iron
turned ^vbd+++xvbn+=turned
behind ^in+pl+++=behind
glass ^nn++++=glass
panels ^nns++++=panels.
. ^zz++++=EXTRAWORD
Fine ^jj+atrb+++=Fine
chains ^nns++++=chains
ran ^vbd+++xvbn+=ran
through ^rb+phrv+++=through
holes ^nns++++=holes
in ^in++++=in
the ^ati++++=the
ceiling ^nn+nom+++=ceiling,
, ^zz++++=EXTRAWORD
vanishing ^vbg+++xvbg+=vanishing
into ^in++++=into
the ^ati++++=the
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
Along ^in++++=Along
one ^cd1++++=one
wall ^nn++++=wall
stood ^vbd+++xvbn+=stood
seven ^cd++++=seven
ivory ^nn++++=ivory
levers ^nns++++=levers
engraved ^vbd+++xvbn+=engraved
with ^in++++=with
the ^ati++++=the
names ^nns++++=names
of ^in++++=of
winds ^nns++++=winds
that ^tht+rel+obj++=that
no ^at++++=no
longer ^rbr++++=longer
existed ^vbd+++xvbn+=existed.
. ^zz++++=EXTRAWORD
Mara ^np++++=Mara's
's ^$++++=EXTRAWORD
father ^nn++++=father
had ^vbd+hvd+aux++=had
taught ^vprf+++xvbnx+=taught
her ^pp$+pp3+++=her
the ^ati++++=the
order ^nn++++=order.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
western ^jj+atrb+++=western
valve ^nn++++=valve
and ^cc++++=and
let ^vb+++xvbn+=let
yesterday ^nr+tm+++=yesterday's
's ^$++++=EXTRAWORD
pressure ^nn++++=pressure
sigh ^nn++++=sigh
into ^in++++=into
a ^at++++=a
copper ^nn++++=copper
jar ^nn++++=jar.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
checked ^vbd+++xvbnx+=checked
the ^ati++++=the
rain ^nn++++=rain
drum ^nn++++=drum,
, ^zz++++=EXTRAWORD
polished ^jj++++=polished
the ^ati++++=the
sun ^nn++++=sun
mirror ^nn++++=mirror,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
listened ^vpsv++agls+xvbn+=listened
to ^in++++=to
the ^ati++++=the
cloud ^nn++++=cloud
spring ^nn++++=spring
with ^in++++=with
a ^at++++=a
tuning ^jj+atrb++xvbg+=tuning
fork ^nn++++=fork.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
she ^pp3a+pp3+++=she
fitted ^vbd+++xvbnx+=fitted
the ^ati++++=the
great ^jj++++=great
key ^jjb++++=key
into ^in++++=into
the ^ati++++=the
central ^jj+atrb+++=central
shaft ^nn++++=shaft
and ^cc++++=and
walked ^vbd+++xvbn+=walked
it ^pp3+it+++=it
around ^in++++=around
the ^ati++++=the
room ^nn++++=room
until ^cs+sub+++=until
the ^ati++++=the
machinery ^nn+nom+++=machinery
began ^vbd+++xvbn+=began
to ^to++++=to
tick ^vbi+++??+=tick.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
dawn ^nn++++=dawn
spread ^vbd+++xvbn+=spread
over ^in++++=over
the ^ati++++=the
town ^nn++++=town
of ^in++++=of
Bellwether ^np+nom++??+=Bellwether.
. ^zz++++=EXTRAWORD
On ^in++++=On
Mondays ^nrs++++=Mondays,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sky ^nn++++=sky
was ^vbd+bedz+vrb++=was
clear ^jj+pred+++=clear.
. ^zz++++=EXTRAWORD
On ^in++++=On
Tuesdays ^nrs++++=Tuesdays,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
high ^jj+atrb+++=high
clouds ^nns++++=clouds.
. ^zz++++=EXTRAWORD
Wednesdays ^np+++??+=Wednesdays
brought ^vbd+++xvbn+=brought
a ^at++++=a
mild ^jj+atrb+++=mild
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
sufficient ^jj++++=sufficient
for ^in++++=for
gardens ^nns++++=gardens
and ^cc++++=and
cisterns ^nns++++=cisterns.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
week ^nn++++=week
followed ^vbd+vprv+tht0+xvbn+=followed
the ^ati++++=the
schedule ^nn++++=schedule
posted ^vbd+++xvbn+=posted
outside ^jjb++++=outside
the ^ati++++=the
mayor ^nn++++=mayor's
's ^$++++=EXTRAWORD
office ^nn++++=office.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
an ^at++++=an
unexpected ^jj+atrb+++=unexpected
storm ^nn++++=storm
in ^in++++=in
eighty ^cd++++=eighty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
years ^nns++++=years.
. ^zz++++=EXTRAWORD
People ^nns++++=People
liked ^vbd+++xvbn+=liked
it ^pp3+it+++=it
that ^dt+dem+++=that
way ^nn++++=way.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
arranged ^vbd+vsua++xvbnx+=arranged
weddings ^nns++++=weddings
six ^cd++++=six
months ^nns++++=months
in ^in++++=in
advance ^nn+nom+++=advance
and ^cc++++=and
never ^rb++++=never
hired ^vbd+++xvbn+=hired
tents ^nns++++=tents.
. ^zz++++=EXTRAWORD
Farmers ^nns+nom+++=Farmers
planted ^vwbn+++xvbn+=planted
according ^in+cmpx+++=according
to ^in++++=to
tables ^nns++++=tables
calculated ^vwbn+vprv++xvbn+=calculated
by ^in++++=by
Mara ^np++++=Mara's
's ^$++++=EXTRAWORD
grandfather ^nn+nom+++=grandfather.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
learned ^vbd+vprv+tht0+xvbn+=learned
the ^ati++++=the
weekly ^nn++++=weekly
forecast ^vbd+++xvbn+=forecast
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
learned ^vbd+vprv++xvbnx+=learned
the ^ati++++=the
alphabet ^nn++++=alphabet.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
birds ^nns++++=birds
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
understand ^vbi+vprv+++=understand.
. ^zz++++=EXTRAWORD
Swallows ^np+++??+=Swallows
descended ^vbd+++xvbn+=descended
on ^in++++=on
rainy ^jj+atrb+++=rainy
Wednesdays ^np+++??+=Wednesdays
and ^cc++++=and
disappeared ^vpsv++agls+xvbn+=disappeared
before ^in++++=before
the ^ati++++=the
Thursday ^nr++++=Thursday
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
Keeper ^nn++++=Keeper
of ^in++++=of
Weather ^nn++++=Weather
for ^in++++=for
eleven ^cd++++=eleven
years ^nns++++=years,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
the ^ati++++=the
day ^nn++++=day
her ^pp3o+pp3+++=her
father ^npt++++=father's
's ^$++++=EXTRAWORD
heart ^nn++++=heart
stopped ^vbd+++xvbn+=stopped
halfway ^rb++++=halfway
up ^rp++++=up
the ^ati++++=the
tower ^nn++++=tower
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
thirty ^cd++++=thirty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
quiet ^jj+atrb+++=quiet
repetition ^nn+nom+++=repetition
of ^in++++=of
her ^pp$+pp3+++=her
work ^nn++++=work
made ^vbd+++xvbn+=made
her ^pp$+pp3+++=her
feel ^vb+vprv+++=feel
both ^abx++++=both
younger ^jjr++++=younger
and ^cc++++=and
much ^ap++++=much
older ^jjr++++=older.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lived ^vbd+++xvbnx+=lived
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
cottage ^nn+nom+++=cottage
behind ^in+pl+++=behind
the ^ati++++=the
tower ^nn++++=tower.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
ate ^vbd+++xvbnx+=ate
supper ^nn++++=supper
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
read ^j+++xvbn+=read
beside ^in+pl+++=beside
the ^ati++++=the
same ^ap++++=same
lamp ^nn++++=lamp,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
woke ^vbd+++xvbn+=woke
every ^at++++=every
night ^nn++++=night
to ^in++++=to
the ^ati++++=the
clock ^nn++++=clock
striking ^vwbg+++xvbg+=striking
three ^cd++++=three.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
Tuesday ^nr++++=Tuesday
in ^in++++=in
March ^nn++++=March,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
found ^vbd+vprv++xvbnx+=found
a ^at++++=a
feather ^nn++++=feather
inside ^in+pl+++=inside
the ^ati++++=the
weather ^nn++++=weather
machine ^nn++++=machine.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
lay ^vbd+++xvbn+=lay
between ^in++++=between
two ^cd++++=two
gears ^nns++++=gears,
, ^zz++++=EXTRAWORD
trembling ^jj+++xvbg+=trembling
with ^in++++=with
each ^dt++++=each
turn ^nn++++=turn
of ^in++++=of
the ^ati++++=the
mechanism ^nn+nom+++=mechanism.
. ^zz++++=EXTRAWORD
The ^ati++++=The
feather ^nn++++=feather
was ^vbd+bedz+vrb++=was
long ^rb++++=long
and ^cc++++=and
silver ^nn++++=silver-gray,
- ^zz++++=EXTRAWORD
gray ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
unlike ^in++++=unlike
those ^dt+dem+++=those
of ^in++++=of
any ^dti++++=any
bird ^nn++++=bird
Mara ^np+++??+=Mara
knew ^vbd+vprv++xvbn+=knew.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
touched ^vbd+++xvbnx+=touched
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
a ^at++++=a
shock ^nn++++=shock
passed ^vbd+++xvbn+=passed
through ^in++++=through
her ^pp$+pp3+++=her
fingers ^nns+nom+++=fingers
not ^xnot++not++=not
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
exactly ^rb+cnj+++=exactly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
sudden ^jj+atrb+++=sudden
sensation ^nn+nom+++=sensation
of ^in++++=of
great ^jj+atrb+++=great
distance ^nn+nom+++=distance.
. ^zz++++=EXTRAWORD
For ^in++++=For
an ^at++++=an
instant ^nn+nom+++=instant,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
smelled ^vbd+++xvbnx+=smelled
salt ^jj++++=salt.
. ^zz++++=EXTRAWORD
Bellwether ^np+nom++??+=Bellwether
stood ^vbd+++xvbn+=stood
three ^cd++++=three
hundred ^cd++++=hundred
miles ^nns++++=miles
from ^in++++=from
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
pulled ^vbd+++xvbn+=pulled
the ^ati++++=the
emergency ^nn++++=emergency
brake ^nn++++=brake.
. ^zz++++=EXTRAWORD
The ^ati++++=The
machine ^nn++++=machine
groaned ^vbd+++xvbn+=groaned
to ^in++++=to
a ^at++++=a
stop ^nn++++=stop.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
the ^ati++++=the
town ^nn++++=town
clock ^nn++++=clock
ceased ^vbd+++xvbn+=ceased
at ^rb++++=at
seven ^cd++++=seven
minutes ^nns++++=minutes
past ^jjb++++=past
six ^cd++++=six.
. ^zz++++=EXTRAWORD
The ^ati++++=The
chains ^nns++++=chains
overhead ^jjb++++=overhead
slackened ^jj+++xvbn+=slackened.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
removed ^vbd+++xvbnx+=removed
the ^ati++++=the
feather ^nn++++=feather
with ^in++++=with
iron ^nn++++=iron
tongs ^nns+++??+=tongs
and ^cc++++=and
placed ^vbd+++xvbn+=placed
it ^pp3+it+++=it
on ^rp++++=on
her ^pp3o+pp3+++=her
workbench ^nn+++??+=workbench.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gear ^nn++++=gear
teeth ^nns++++=teeth
were ^vbd+bed+aux++=were
undamaged ^vpsv++agls+xvbnx+=undamaged,
, ^zz++++=EXTRAWORD
