By ^in++++=By
the ^ati++++=the
time ^nn++++=time
the ^ati++++=the
sea ^npl++++=sea
reached ^vbd+++xvbn+=reached
Bellwether ^np+nom++??+=Bellwether
Station ^nn+nom+++=Station,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
only ^rb+down+++=only
three ^cd++++=three
trains ^vbz++++=trains
left ^vbd+++xvbn+=left
on ^in++++=on
the ^ati++++=the
timetable ^nn++++=timetable.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
carried ^xvbn+++xvbn+=carried
workers ^nns+nom+++=workers
inland ^jjb++++=inland
at ^in++++=at
dawn ^nn++++=dawn.
. ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
brought ^xvbn+++xvbn+=brought
supplies ^nns++++=supplies
in ^in++++=in
the ^ati++++=the
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
The ^ati++++=The
third ^od++++=third
existed ^vprf+++xvbn+=existed
only ^rb+down+++=only
as ^ql++++=as
a ^at++++=a
thin ^jj+atrb+++=thin
gray ^np++++=gray
line ^nn++++=line
on ^in++++=on
the ^ati++++=the
board ^nn++++=board
above ^in+pl+++=above
the ^ati++++=the
ticket ^nn++++=ticket
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
with ^in++++=with
no ^at++++=no
destination ^nn+nom+++=destination
and ^cc++++=and
no ^at++++=no
hour ^nn++++=hour
of ^in++++=of
departure ^nn++++=departure.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Vale ^npl++++=Vale
climbed ^vbd+++xvbn+=climbed
a ^at++++=a
brass ^nn++++=brass
ladder ^nn++++=ladder
and ^cc++++=and
wiped ^vbd+++xvbn+=wiped
salt ^jj++++=salt
from ^in++++=from
that ^dt+dem+++=that
line ^nn++++=line.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
her ^pp$+pp3+++=her
to ^to++++=to
do ^vbi++++=do
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
her ^pp$+pp3+++=her
not ^xnot++not++=not
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
For ^in++++=For
seventy ^cd++++=seventy-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
years ^nns++++=years,
, ^zz++++=EXTRAWORD
Bellwether ^np+nom++??+=Bellwether
Station ^nn+nom+++=Station
had ^vbd+hvd+aux++=had
stood ^vprf+++xvbnx+=stood
on ^in++++=on
a ^at++++=a
cliff ^np++++=cliff
above ^jjb++++=above
the ^ati++++=the
town ^nn++++=town
of ^in++++=of
Lowhaven ^np+++??+=Lowhaven.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
water ^nn++++=water
climbed ^vbd+++xvbn+=climbed
the ^ati++++=the
seawall ^nn+++??+=seawall,
, ^zz++++=EXTRAWORD
crossed ^j+++xvbn+=crossed
the ^ati++++=the
market ^nn++++=market
square ^nn++++=square,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
swallowed ^vbd+++xvbn+=swallowed
the ^ati++++=the
lower ^jjr+atrb+++=lower
streets ^nns++++=streets.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
waves ^nns++++=waves
rolled ^vbd+++xvbn+=rolled
through ^in++++=through
the ^ati++++=the
abandoned ^jj+atrb++xvbn+=abandoned
post ^nn++++=post
office ^nn++++=office
and ^cc++++=and
struck ^vbd+++xvbn+=struck
the ^ati++++=the
station ^nn+nom+++=station
steps ^nns++++=steps
at ^rb++++=at
high ^jj++++=high
tide ^vb++++=tide.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
platform ^nn++++=platform,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
could ^md+pos+++=could
look ^vb++++=look
down ^rp++++=down
through ^rp++++=through
green ^npl++++=green
water ^nn++++=water
and ^cc++++=and
see ^vb+vprv+++=see
chimneys ^nns++++=chimneys,
, ^zz++++=EXTRAWORD
balconies ^nns++++=balconies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
pale ^jj+atrb+++=pale
dome ^nn++++=dome
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
courthouse ^nn+++??+=courthouse.
. ^zz++++=EXTRAWORD
The ^ati++++=The
station ^npl+nom+++=station
remained ^vbd+++xvbn+=remained
open ^jj++++=open
because ^cs+cos+++=because
the ^ati++++=the
railway ^nn++++=railway
company ^nn++++=company
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
decided ^vbd+vprv++xvbn+=decided
how ^wrb+who+whcl++=how
to ^to++++=to
close ^vbi++++=close
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
remained ^vbd+++xvbn+=remained
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
the ^ati++++=the
stationmaster ^nn+nom+++=stationmaster.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wore ^vbd+++xvbnx+=wore
the ^ati++++=the
same ^ap++++=same
navy ^nn++++=navy
uniform ^nn++++=uniform
each ^ppls++++=each
day ^np++++=day,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
cuffs ^nns++++=cuffs
had ^vb+hv+vrb++=had
frayed ^jj++++=frayed
and ^cc++++=and
the ^ati++++=the
silver ^nn++++=silver
buttons ^nns++++=buttons
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
black ^np++++=black.
. ^zz++++=EXTRAWORD
At ^in++++=At
sunrise ^nn++++=sunrise,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
unlocked ^vbd+++xvbnx+=unlocked
the ^ati++++=the
waiting ^jj+atrb++xvbg+=waiting
room ^nn++++=room.
. ^zz++++=EXTRAWORD
At ^in++++=At
noon ^nn++++=noon,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
wound ^vbd+++xvbnx+=wound
the ^ati++++=the
clock ^nn++++=clock.
. ^zz++++=EXTRAWORD
At ^in++++=At
dusk ^nn++++=dusk,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
lit ^vbd+++xvbnx+=lit
the ^ati++++=the
platform ^nn++++=platform
lamps ^nns++++=lamps.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sold ^vbd+++xvbnx+=sold
tickets ^nns++++=tickets,
, ^zz++++=EXTRAWORD
announced ^jj+atrb++xvbn+=announced
delays ^nns++++=delays,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
answered ^vbd+vpub++xvbn+=answered
questions ^nns+nom+++=questions
about ^in++++=about
destinations ^nns+nom+++=destinations
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
disappearing ^vbg+seem+tht0+xvbgx+=disappearing
one ^pn++++=one
by ^in++++=by
one ^pn++++=one.
. ^zz++++=EXTRAWORD
" ^zz++++="Two
two ^cd++++=EXTRAWORD
for ^in++++=for
Halden ^np+++??+=Halden,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
a ^at++++=a
fisherman ^nn+nom+++=fisherman
might ^md+pos+++=might
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
line ^nn++++=line
beyond ^in++++=beyond
Croft ^nn++++=Croft
is ^vbz+bez+vrb++=is
under ^in++++=under
repair ^nn++++=repair,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
would ^md+prd+++=would
reply ^vb++++=reply.
. ^zz++++=EXTRAWORD
" ^zz++++="Since
since ^in++++=EXTRAWORD
when ^wrb+who+++=when?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Since
since ^in++++=EXTRAWORD
yesterday ^nr+tm+++=yesterday."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
will ^md+prd+++=will
it ^pp3+it+++=it
reopen ^vb++++=reopen?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
the ^ati++++=the
water ^nn++++=water
goes ^vbz++++=goes
down ^rp++++=down."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
both ^abx++++=both
knew ^vbd+vprv+tht0+xvbn+=knew
it ^pp3+it+++=it
would ^md+prd+++=would
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
November ^nr+nom+++=November
afternoon ^nn++++=afternoon,
