# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
The ^ati++++=The
Cartographer ^np+nom++??+=Cartographer
of ^in++++=of
Lost ^xvbn+++xvbn+=Lost
Things ^nns++++=Things
Every ^at++++=Every
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
the ^ati++++=the
city ^nn++++=city
woke ^vbd+++xvbn+=woke,
, ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
Vale ^nn++++=Vale
drew ^vbd+++xvbn+=drew
a ^at++++=a
map ^nn++++=map
of ^in++++=of
something ^pn++++=something
that ^dt+pdem+++=that
had ^vbd+hvd+aux++=had
disappeared ^vprf+++xvbnx+=disappeared.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
worked ^vbd+++xvbnx+=worked
in ^in++++=in
a ^at++++=a
narrow ^jj+atrb+++=narrow
room ^nn++++=room
above ^in+pl+++=above
a ^at++++=a
bakery ^nn++++=bakery,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
heat ^nn++++=heat
from ^in++++=from
the ^ati++++=the
ovens ^nns++++=ovens
rose ^vbd+++xvbn+=rose
through ^in++++=through
the ^ati++++=the
floorboards ^nns++++=floorboards
and ^cc++++=and
softened ^vbd+++xvbn+=softened
the ^ati++++=the
winter ^nn++++=winter
air ^nn++++=air.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
desk ^nn++++=desk
stood ^vbd+++xvbn+=stood
beneath ^in+pl+++=beneath
a ^at++++=a
round ^jj+atrb+++=round
window ^nn++++=window.
. ^zz++++=EXTRAWORD
On ^in++++=On
it ^pp3+it+++=it
lay ^vbd+++xvbn+=lay
rulers ^nns++++=rulers,
, ^zz++++=EXTRAWORD
compasses ^nns+++??+=compasses,
, ^zz++++=EXTRAWORD
bottles ^nns++++=bottles
of ^in++++=of
ink ^nn++++=ink,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sheets ^nns++++=sheets
of ^in++++=of
thick ^jj+atrb+++=thick
cream ^nn++++=cream
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
had ^vbd+hvd+aux++=had
mapped ^vprf+++xvbnx+=mapped
the ^ati++++=the
old ^jj+atrb+++=old
northern ^jj+atrb+++=northern
railway ^nn++++=railway
before ^cs+sub+++=before
the ^ati++++=the
tracks ^nns++++=tracks
were ^vbd+bed+aux++=were
buried ^vpsv++agls+xvbnx+=buried
beneath ^in+pl+++=beneath
apartments ^nns+nom+++=apartments.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
mapped ^vprf+++xvbnx+=mapped
the ^ati++++=the
river ^nn++++=river's
's ^$++++=EXTRAWORD
original ^nn+nom+++=original
course ^nn++++=course,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
now ^rn+tm+++=now
ran ^vbd+++xvbn+=ran
through ^rb+phrv+++=through
iron ^nn++++=iron
pipes ^nns++++=pipes
under ^in++++=under
the ^ati++++=the
streets ^nns++++=streets.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
mapped ^vprf+++xvbnx+=mapped
forgotten ^vbn+vprv++xvbn+=forgotten
gardens ^nns++++=gardens,
, ^zz++++=EXTRAWORD
demolished ^xvbn+++xvbn+=demolished
theaters ^nns+nom+++=theaters,
, ^zz++++=EXTRAWORD
vanished ^jj+atrb++xvbn+=vanished
footpaths ^nns++++=footpaths,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
locations ^nns+nom+++=locations
of ^in++++=of
public ^jj+atrb+++=public
fountains ^nns++++=fountains
melted ^vbd+++xvbn+=melted
down ^rb+phrv+++=down
during ^in++++=during
the ^ati++++=the
war ^nn++++=war.
. ^zz++++=EXTRAWORD
People ^nns++++=People
came ^vbd+++xvbn+=came
to ^in++++=to
him ^pp3o+pp3+++=him
carrying ^jj+atrb++xvbg+=carrying
scraps ^nns++++=scraps
of ^in++++=of
