At ^rb++++=At
the ^ati++++=the
farthest ^jjt+atrb+++=farthest
edge ^nn++++=edge
of ^in++++=of
Bellweather ^np+nom++??+=Bellweather
stood ^vbd+++xvbn+=stood
a ^at++++=a
narrow ^jj+atrb+++=narrow
shop ^nn++++=shop
with ^in++++=with
no ^at++++=no
sign ^vb++++=sign
above ^rb++++=above
its ^pp$+it+++=its
door ^nn++++=door.
. ^zz++++=EXTRAWORD
The ^ati++++=The
windows ^nns++++=windows
were ^vbd+bed+aux++=were
always ^rb++splt++=always
fogged ^vpsv++agls+xvbnx+=fogged
from ^in++++=from
within ^in+strn+++=within,
, ^zz++++=EXTRAWORD
even ^rb++++=even
in ^in++++=in
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
evening ^nn++++=evening
at ^in++++=at
six ^cd++++=six
a ^at++++=a
brass ^nn++++=brass
lamp ^nn++++=lamp
came ^vbd+++xvbn+=came
alive ^jj++++=alive
behind ^in+pl+++=behind
the ^ati++++=the
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
People ^nns++++=People
called ^vbd+++xvbn+=called
it ^pp3+it+++=it
the ^ati++++=the
Lost ^jj+atrb++xvbn+=Lost
Hour ^nn++++=Hour.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
remembered ^vbd+vprv++xvbn+=remembered
when ^wrb+who+whcl++=when
the ^ati++++=the
shop ^nn++++=shop
had ^vbd+hvd+aux++=had
opened ^vprf+++xvbnx+=opened.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
Mara ^np+++??+=Mara
Venn ^np+++??+=Venn,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
in ^in++++=in
Bellweather ^np+nom++??+=Bellweather
for ^in++++=for
eighty ^cd++++=eighty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
years ^nns++++=years,
, ^zz++++=EXTRAWORD
claimed ^j+++xvbn+=claimed
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
there ^rn+pl+++=there
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
a ^at++++=a
child ^nn++++=child.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
grandfather ^nn+nom+++=grandfather,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
told ^vprf+++xvbnx+=told
her ^pp$+pp3+++=her
that ^cs+sub+++=that
the ^ati++++=the
building ^jj+++xvbg+=building
had ^vbd+hvd+aux++=had
appeared ^vprf+++xvbnx+=appeared
overnight ^jjb++++=overnight,
, ^zz++++=EXTRAWORD
fitted ^xvbn+++xvbn+=fitted
neatly ^rb++++=neatly
between ^in++++=between
the ^ati++++=the
bakery ^nn++++=bakery
and ^cc++++=and
the ^ati++++=the
wall ^nn++++=wall
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
cemetery ^nn+nom+++=cemetery.
. ^zz++++=EXTRAWORD
Inside ^jjb++++=Inside,
, ^zz++++=EXTRAWORD
clocks ^nns++++=clocks
covered ^vbd+++xvbn+=covered
every ^at++++=every
surface ^nn++++=surface.
. ^zz++++=EXTRAWORD
Tall ^jj+atrb+++=Tall
clocks ^nns++++=clocks,
, ^zz++++=EXTRAWORD
small ^jj+atrb+++=small
clocks ^nns++++=clocks,
, ^zz++++=EXTRAWORD
watches ^vbz++++=watches
in ^in++++=in
velvet ^nn++++=velvet
boxes ^nns++++=boxes,
, ^zz++++=EXTRAWORD
sundials ^nns+nom+++=sundials
that ^tht+rel+subj++=that
somehow ^rb++++=somehow
worked ^vbd+++xvbn+=worked
in ^in++++=in
