At ^rb++++=At
3:17 ^cd++++=3:17
every ^at++++=every
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
the ^ati++++=the
telephone ^nn++++=telephone
rang ^vbd+++xvbn+=rang
in ^in++++=in
the ^ati++++=the
abandoned ^jj+atrb++xvbn+=abandoned
stationmaster ^nn+nom+++=stationmaster's
's ^$++++=EXTRAWORD
office ^nn++++=office.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
had ^vbd+hvd+aux++=had
worked ^vprf+++xvbnx+=worked
there ^rn+pl+++=there
for ^in++++=for
twenty ^cd++++=twenty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
years ^nns++++=years.
. ^zz++++=EXTRAWORD
The ^ati++++=The
railway ^nn++++=railway
through ^in++++=through
Bellwether ^np+nom++??+=Bellwether
Valley ^nn++++=Valley
had ^vbd+hvd+aux++=had
closed ^vprf+++xvbnx+=closed
after ^cs+sub+++=after
a ^at++++=a
landslide ^nn++++=landslide
buried ^vwbn+++xvbn+=buried
the ^ati++++=the
northern ^jj+atrb+++=northern
tunnel ^nn++++=tunnel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
final ^jj+atrb+++=final
passenger ^nn+nom+++=passenger
train ^nn++++=train
had ^vbd+hvd+aux++=had
departed ^vprf+++xvbnx+=departed
under ^in++++=under
a ^at++++=a
hard ^jj+atrb+++=hard
November ^nr+nom+++=November
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
Since ^in++++=Since
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
weeds ^nns++++=weeds
had ^vbd+hvd+aux++=had
split ^vprf+++xvbnx+=split
the ^ati++++=the
platform ^nn++++=platform,
, ^zz++++=EXTRAWORD
swallows ^nns+++??+=swallows
had ^vbd+hvd+aux++=had
nested ^vprf+++xvbnx+=nested
above ^jjb++++=above
the ^ati++++=the
ticket ^nn++++=ticket
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
rails ^nns++++=rails
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
the ^ati++++=the
color ^nn++++=color
of ^in++++=of
old ^jj+atrb+++=old
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
The ^ati++++=The
station ^nn+nom+++=station
clock ^nn++++=clock
remained ^vbd+++xvbn+=remained
fixed ^vbd+++xvbn+=fixed
at ^rb++++=at
3:17 ^cd++++=3:17,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
hands ^nns++++=hands
thin ^jj++++=thin
and ^cc++++=and
