On ^in++++=On
the ^ati++++=the
morning ^nn++++=morning
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
the ^ati++++=the
church ^npl++++=church
bell ^nn++++=bell,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Venn ^np+++??+=Venn
was ^vbd+bedz+aux++=was
repairing ^vbg+++xvbgx+=repairing
a ^at++++=a
clock ^nn++++=clock
that ^tht+rel+subj++=that
had ^vb+hv+aux++=had
not ^xnot++not++=not
worked ^vbd+++xvbn+=worked
for ^in++++=for
thirty ^cd++++=thirty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
years ^nns++++=years.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clock ^nn++++=clock
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Vale ^np++++=Vale,
, ^zz++++=EXTRAWORD
the ^ati++++=the
village ^nn+nom+++=village
postmaster ^nn+nom+++=postmaster,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
inherited ^vprf+++xvbnx+=inherited
it ^pp3+it+++=it
from ^in++++=from
an ^at++++=an
aunt ^nn++++=aunt
he ^pp3a+pp3+++=he
disliked ^vbd+++xvbnx+=disliked
and ^cc+phrs+++=and
kept ^vbd+++xvbn+=kept
it ^pp3+it+++=it
out ^rp+pl+++=out
of ^in++++=of
obligation ^nn+nom+++=obligation.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
narrow ^jj+atrb+++=narrow
thing ^nn++++=thing
of ^in++++=of
black ^jj+atrb+++=black
wood ^nn++++=wood,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
silver ^nn++++=silver
moon ^np++++=moon
painted ^vbd+++xvbn+=painted
above ^jjb++++=above
the ^ati++++=the
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
the ^ati++++=the
moon ^nn++++=moon
was ^vbd+bedz+aux++=was
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
turn ^vb++++=turn
from ^in++++=from
pale ^jj+atrb+++=pale
crescent ^npl++++=crescent
to ^in++++=to
full ^jj++++=full
and ^cc+phrs+++=and
back ^jjb++++=back
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
never ^rb++++=never
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
" ^zz++++="Salt,"
salt ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
up ^rp++++=up
a ^at++++=a
corroded ^nn++++=corroded
spring ^vb++++=spring
with ^in++++=with
her ^pp$+pp3+++=her
tweezers ^nns+nom+++=tweezers.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
gets ^vbz++++=gets
into ^in+ppvb+++=into
everything ^pn++++=everything."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Vale ^np++++=Vale
leaned ^vbd+++xvbn+=leaned
on ^rp++++=on
her ^pp3o+pp3+++=her
counter ^nn++++=counter.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
rain ^nn++++=rain
pressed ^vbd+++xvbn+=pressed
against ^in++++=against
the ^ati++++=the
windows ^nns++++=windows
of ^in++++=of
the ^ati++++=the
shop ^nn++++=shop.
. ^zz++++=EXTRAWORD
" ^zz++++="We're
we ^pp1a+pp1+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
three ^cd++++=three
streets ^nns++++=streets
from ^in++++=from
the ^ati++++=the
harbor ^nn++++=harbor."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Salt
salt ^jj++++=EXTRAWORD
does ^vbz+doz+vrb++=doesn't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^cs+sub+++=As
if ^cs+cnd+++=if
to ^to++++=to
prove ^vbi+vprv+++=prove
her ^pp$+pp3+++=her
point ^nn++++=point,
, ^zz++++=EXTRAWORD
a ^at++++=a
gust ^nn++++=gust
rattled ^vwbn+++xvbn+=rattled
the ^ati++++=the
sign ^nn++++=sign
above ^jjb++++=above
the ^ati++++=the
door ^nn++++=door:
: ^zz++++=EXTRAWORD
Venn ^np+++??+=VENN
& ^zz++++=&
Daughter ^nn+nom+++=DAUGHTER,
, ^zz++++=EXTRAWORD
Clocks ^nns++++=CLOCKS
Repaired ^vbd+++xvbn+=REPAIRED.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sign ^nn++++=sign
was ^vbd+bedz+vrb++=was
older ^jjr+pred+++=older
than ^in++++=than
Mara ^np+++??+=Mara.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
no ^at++++=no
Venn ^np+++??+=Venn
to ^to++++=to
stand ^vbi++++=stand
beside ^in+pl+++=beside
her ^pp$+pp3+++=her
for ^in++++=for
eleven ^cd++++=eleven
years ^nns++++=years,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
never ^rb++splt++=never
painted ^vprf+++xvbnx+=painted
out ^rp+pl+++=out
the ^ati++++=the
final ^jj++++=final
two ^cd++++=two
words ^nns++++=words.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Vale ^np++++=Vale
frowned ^vbd+++xvbn+=frowned
at ^in++++=at
the ^ati++++=the
clock ^nn++++=clock's
's ^$++++=EXTRAWORD
scattered ^vpsv++agls+xvbnx+=scattered
organs ^nns++++=organs.
. ^zz++++=EXTRAWORD
" ^zz++++="Can
can ^md+pos+++=EXTRAWORD
you ^pp2+pp2+++=you
fix ^vb++++=fix
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
always ^rb++++=always
say ^vb+vpub+tht0++=say
that ^tht+vcmp+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
nearly ^rb+down+++=nearly
always ^rb++++=always
right ^jj++++=right."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
door ^nn++++=door
flew ^vbd+++xvbn+=flew
open ^jj++++=open
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
could ^md+pos+++=could
answer ^vb++++=answer.
. ^zz++++=EXTRAWORD
Tomas ^np+++??+=Tomas
Reed ^nn++++=Reed
stood ^vbd+++xvbn+=stood
on ^in++++=on
the ^ati++++=the
threshold ^nn++++=threshold,
, ^zz++++=EXTRAWORD
drenched ^xvbn+++xvbn+=drenched
to ^in++++=to
the ^ati++++=the
skin ^nn++++=skin,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
red ^jj+atrb+++=red
scarf ^nn++++=scarf
hanging ^vwbg+++xvbg+=hanging
like ^in++++=like
a ^at++++=a
wounded ^jj+atrb++xvbn+=wounded
flag ^nn++++=flag.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
found ^vbd+vprv+tht0+xvbnx+=found
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
looked ^vbd+++xvbn+=looked
down ^rp++++=down
at ^rb++++=at
the ^ati++++=the
tiny ^jj+atrb+++=tiny
spring ^nn++++=spring
in ^in++++=in
her ^pp$+pp3+++=her
tweezers ^nns+nom+++=tweezers.
. ^zz++++=EXTRAWORD
" ^zz++++="Found
found ^vbd+vprv++xvbn+=EXTRAWORD
what ^wdt+who+whcl++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
bell ^nn++++=bell."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
thunder ^nn++++=thunder
rolled ^vbd+++xvbn+=rolled
over ^in++++=over
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Everyone ^pn++++=Everyone
in ^in++++=in
Bellweather ^np+nom++??+=Bellweather
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
story ^nn++++=story.
. ^zz++++=EXTRAWORD
A ^at++++=A
hundred ^cd++++=hundred
and ^cc++++=and
nine ^cd++++=nine
years ^nns++++=years
earlier ^jjr++++=earlier,
, ^zz++++=EXTRAWORD
before ^in++++=before
the ^ati++++=the
stone ^nn++++=stone
harbor ^nn++++=harbor
wall ^nn++++=wall
and ^cc++++=and
the ^ati++++=the
lighthouse ^nn++++=lighthouse
and ^cc++++=and
the ^ati++++=the
white ^jj+atrb+++=white
hotels ^nns++++=hotels
on ^in++++=on
the ^ati++++=the
cliffs ^nns++++=cliffs,
, ^zz++++=EXTRAWORD
the ^ati++++=the
village ^nn+nom+++=village
church ^npl++++=church
had ^vbd+hvd+aux++=had
stood ^vprf+++xvbnx+=stood
on ^in++++=on
a ^at++++=a
hill ^npl++++=hill
above ^jjb++++=above
the ^ati++++=the
eastern ^jj+atrb+++=eastern
shore ^nn++++=shore.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
Great ^jj+atrb+++=Great
Storm ^nn++++=Storm,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hill ^npl++++=hill
collapsed ^vbd+++xvbn+=collapsed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
church ^nn++++=church
went ^vbd+++xvbn+=went
into ^in++++=into
the ^ati++++=the
sea ^nn++++=sea
with ^in++++=with
twenty ^cd++++=twenty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
people ^nns++++=people
sheltering ^vwbg+++xvbg+=sheltering
inside ^jjb++++=inside
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bodies ^nns++++=bodies
were ^vbd+bed+aux++=were
recovered ^vpsv++agls+xvbnx+=recovered
over ^in++++=over
the ^ati++++=the
following ^jj+atrb++xvbg+=following
weeks ^nns++++=weeks,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
bell ^nn++++=bell
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Fishermen ^nns++++=Fishermen
claimed ^vbd+vpub+tht0+xvbn+=claimed
they ^pp3a+pp3+++=they
could ^md+pos+++=could
hear ^vb+vprv+tht0++=hear
it ^pp3+it+++=it
beneath ^rb++++=beneath
their ^pp$+pp3+++=their
boats ^nns++++=boats
before ^in++++=before
bad ^jj+atrb+++=bad
weather ^nn++++=weather.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
dared ^vbd+++xvbn+=dared
one ^cd1++++=one
another ^dt++++=another
to ^to++++=to
swim ^vbi++++=swim
over ^in++++=over
the ^ati++++=the
drowned ^jj+++xvbn+=drowned
hill ^npl++++=hill
at ^rb++++=at
midnight ^nn++++=midnight.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Cale ^np++++=Cale
insisted ^vbd+vpub+tht0+xvbn+=insisted
it ^pp3+it+++=it
rang ^vbd+++xvbn+=rang
on ^in++++=on
