When ^wrb+who+++=When
the ^ati++++=the
sea ^nn++++=sea
withdrew ^vbd+++xvbn+=withdrew
from ^in++++=from
Bellweather ^np+nom++??+=Bellweather
Bay ^nn++++=Bay,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
left ^vbd+++xvbn+=left
the ^ati++++=the
boats ^nns++++=boats
standing ^vwbg+++xvbg+=standing
upright ^jj++++=upright
in ^in++++=in
the ^ati++++=the
mud ^nn++++=mud.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
was ^vbd+bedz+aux++=was
alarmed ^vpsv++agls+xvbnx+=alarmed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tide ^vb++++=tide
had ^vb+hv+aux++=had
always ^rb++splt++=always
gone ^vprf+++xvbnx+=gone
out ^rp+pl+++=out
farther ^rbr++++=farther
in ^in++++=in
autumn ^nn++++=autumn,
, ^zz++++=EXTRAWORD
revealing ^vbg+nom++xvbg+=revealing
black ^jj+atrb+++=black
sand ^nn++++=sand,
, ^zz++++=EXTRAWORD
tangled ^jj+atrb+++=tangled
ropes ^nns++++=ropes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ribs ^nns++++=ribs
of ^in++++=of
ships ^nns++++=ships
too ^rb++++=too
old ^jj++++=old
for ^in++++=for
anyone ^pn++++=anyone
to ^to++++=to
remember ^nn+nom+++=remember.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
ran ^vbd+++xvbn+=ran
between ^in++++=between
the ^ati++++=the
stranded ^jj+atrb+++=stranded
fishing ^jj+atrb++xvbg+=fishing
boats ^nns++++=boats,
, ^zz++++=EXTRAWORD
collecting ^nvbg+++xvbg+=collecting
coins ^nns++++=coins,
, ^zz++++=EXTRAWORD
buckles ^nns++++=buckles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
green ^jj+atrb+++=green
fragments ^nns+nom+++=fragments
of ^in++++=of
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
Gulls ^nns++++=Gulls
stabbed ^vbd+++xvbn+=stabbed
at ^rb++++=at
silver ^nn++++=silver
fish ^nns++++=fish
trapped ^vbd+++xvbn+=trapped
in ^in++++=in
shallow ^jj+atrb+++=shallow
pools ^nns++++=pools.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
by ^in++++=by
sunset ^nn++++=sunset,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^nn++++=sea
had ^vb+hv+aux++=had
not ^xnot++not++=not
returned ^vbd+++xvbn+=returned.
. ^zz++++=EXTRAWORD
The ^ati++++=The
people ^nn++++=people
of ^in++++=of
Bellweather ^np+nom++??+=Bellweather
gathered ^vbd+++xvbn+=gathered
along ^in++++=along
the ^ati++++=the
harbor ^nn++++=harbor
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
Lanterns ^np+++??+=Lanterns
appeared ^vbd+seem++xvbn+=appeared
in ^in++++=in
windows ^nns++++=windows.
. ^zz++++=EXTRAWORD
Fishermen ^nns++++=Fishermen
stared ^vbd+++xvbn+=stared
toward ^in++++=toward
the ^ati++++=the
dark ^jj+atrb+++=dark
horizon ^nn++++=horizon,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
last ^rb++++=last
strip ^vb++++=strip
of ^in++++=of
water ^nn++++=water
shone ^vbd+++xvbn+=shone
beneath ^in+pl+++=beneath
the ^ati++++=the
sky ^nn++++=sky
like ^in++++=like
a ^at++++=a
blade ^nn++++=blade.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Venn ^np+++??+=Venn
stood ^vbd+++xvbn+=stood
among ^in++++=among
them ^pp3o+pp3+++=them
with ^in++++=with
her ^pp$+pp3+++=her
hands ^nns++++=hands
in ^in++++=in
her ^pp$+pp3+++=her
coat ^nn++++=coat
pockets ^nns++++=pockets.
. ^zz++++=EXTRAWORD
At ^rb++++=At
seventeen ^cd++++=seventeen,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
the ^ati++++=the
youngest ^jjt+atrb+++=youngest
apprentice ^nn++++=apprentice
in ^in++++=in
the ^ati++++=the
lighthouse ^nn++++=lighthouse,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
no ^at++++=no
official ^jj+atrb+++=official
keeper ^nn++++=keeper
since ^cs+sub+++=since
her ^pp$+pp3+++=her
grandfather ^nn+nom+++=grandfather
died ^vbd+++xvbn+=died.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
polished ^jj++++=polished
the ^ati++++=the
lens ^nn++++=lens,
, ^zz++++=EXTRAWORD
trimmed ^j+++xvbn+=trimmed
the ^ati++++=the
wick ^np++++=wick,
, ^zz++++=EXTRAWORD
recorded ^j+++xvbn+=recorded
the ^ati++++=the
weather ^nn++++=weather,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lit ^rb+++xvbn+=lit
the ^ati++++=the
lamp ^nn++++=lamp
each ^dt++++=each
evening ^nn++++=evening
because ^cs+cos+++=because
someone ^pn++++=someone
had ^vb+hv+vrb++=had
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
" ^zz++++="Has
has ^vbz+hvz+aux++=EXTRAWORD
this ^dt+pdem+++=this
ever ^rb++++=ever
happened ^vbd+++xvbn+=happened
before ^in++++=before?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
a ^at++++=a
boy ^nn++++=boy
beside ^in+pl+++=beside
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^nn++++=father
pulled ^vbd+++xvbn+=pulled
him ^pp3o+pp3+++=him
away ^rp+pl+++=away
before ^cs+sub+++=before
Mara ^np+++??+=Mara
could ^md+pos+++=could
answer ^vb++++=answer.
. ^zz++++=EXTRAWORD
Everyone ^pn++++=Everyone
in ^in++++=in
Bellweather ^np+nom++??+=Bellweather
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
story ^nn++++=story
of ^in++++=of
Mara ^np++++=Mara's
's ^$++++=EXTRAWORD
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
walked ^vprf+++xvbnx+=walked
into ^in+ppvb+++=into
the ^ati++++=the
sea ^nn++++=sea
twelve ^cd++++=twelve
years ^nns++++=years
earlier ^jjr++++=earlier
and ^cc++++=and
never ^rb++++=never
returned ^vbd+++xvbn+=returned.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
said ^vbd+vpub+tht0+xvbn+=said
grief ^nn++++=grief
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Others ^aps++++=Others
said ^vbd+vpub+tht0+xvbn+=said
madness ^nns+nom+++=madness
ran ^vbd+++xvbn+=ran
through ^rb+phrv+++=through
the ^ati++++=the
Venn ^np+++??+=Venn
family ^nn++++=family
like ^in++++=like
a ^at++++=a
crack ^nn++++=crack
through ^in++++=through
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
looked ^vbd+++xvbn+=looked
past ^jjb++++=past
the ^ati++++=the
abandoned ^jj+atrb++xvbn+=abandoned
boats ^nns++++=boats.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
exposed ^nn++++=exposed
seabed ^vbd+++xvbn+=seabed,
, ^zz++++=EXTRAWORD
something ^pn++++=something
flashed ^vbd+++xvbn+=flashed.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once.
. ^zz++++=EXTRAWORD
Twice ^rb++++=Twice.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
darkness ^nns+nom+++=darkness
swallowed ^vbd+++xvbn+=swallowed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
climbed ^vbd+++xvbnx+=climbed
the ^ati++++=the
lighthouse ^nn++++=lighthouse
hill ^nn++++=hill
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
The ^ati++++=The
