When ^wrb+who+++=When
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
the ^ati++++=the
lighthouse ^nn++++=lighthouse,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Vale ^nn++++=Vale
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^od++++=first
person ^nn++++=person
in ^in++++=in
Bellweather ^np+nom++??+=Bellweather
to ^in++++=to
notice ^nn++++=notice.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
appeared ^vbd+seem++xvbn+=appeared
at ^rb++++=at
dawn ^nn++++=dawn
beyond ^in++++=beyond
the ^ati++++=the
eastern ^jj+atrb+++=eastern
cliffs ^nns++++=cliffs,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
no ^at++++=no
lighthouse ^nn++++=lighthouse
had ^vbd+hvd+aux++=had
stood ^vprf+++xvbnx+=stood
for ^in+ppvb+++=for
eighty ^cd++++=eighty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
years ^nns++++=years.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
thought ^vbd+++xvbn+=thought
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
mast ^nn++++=mast
rising ^vwbg+++xvbg+=rising
through ^in++++=through
the ^ati++++=the
mist ^nn++++=mist.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
fog ^nn++++=fog
thinned ^vbd+++xvbn+=thinned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
dark ^jj+atrb+++=dark
tower ^nn++++=tower
emerged ^vbd+++xvbn+=emerged
whole ^jj++++=whole:
: ^zz++++=EXTRAWORD
black ^jj+atrb+++=black
stones ^nns++++=stones,
, ^zz++++=EXTRAWORD
narrow ^jj+atrb+++=narrow
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
glass ^nn++++=glass
lantern ^nn++++=lantern
room ^nn++++=room
burning ^vwbg+++xvbg+=burning
with ^in++++=with
a ^at++++=a
pale ^nn++++=pale
