When ^wrb+who+++=When
Mara ^np+++??+=Mara
Vale ^npl++++=Vale
inherited ^vbd+++xvbn+=inherited
the ^ati++++=the
lighthouse ^nn++++=lighthouse,
, ^zz++++=EXTRAWORD
everyone ^pn++++=everyone
in ^in++++=in
Bellweather ^np+nom++??+=Bellweather
told ^vbd+vpub++xvbn+=told
her ^pp$+pp3+++=her
the ^ati++++=the
same ^ap++++=same
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
light ^nn++++=light
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
bakery ^nn++++=bakery
while ^cs+sub+++=while
wrapping ^jj+++xvbg+=wrapping
her ^pp3o+pp3+++=her
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
pier ^nn++++=pier
while ^cs+sub+++=while
mending ^vbg+++xvbg+=mending
nets ^nns++++=nets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
outside ^jjb++++=outside
the ^ati++++=the
church ^npl++++=church
beneath ^in+pl+++=beneath
a ^at++++=a
sky ^nn++++=sky
the ^ati++++=the
color ^nn++++=color
of ^in++++=of
old ^jj++++=old
pewter ^jjr++++=pewter.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
offered ^jj+atrb++xvbn+=offered
explanations ^nns+nom+++=explanations.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lamp ^nn++++=lamp
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
dark ^jj++++=dark
for ^in++++=for
thirty ^cd++++=thirty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Ships ^nns++++=Ships
now ^rn+tm+++=now
followed ^vbd+vprv++xvbn+=followed
electric ^jj++++=electric
beacons ^vbz+++??+=beacons
anchored ^vbd+++xvbn+=anchored
beyond ^in++++=beyond
the ^ati++++=the
bay ^nn++++=bay.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stairs ^nns++++=stairs
were ^vbd+bed+vrb++=were
unsafe ^nn+++??+=unsafe.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cliff ^nn++++=cliff
was ^vbd+bedz+aux++=was
crumbling ^nvbg+++xvbg+=crumbling.
. ^zz++++=EXTRAWORD
The ^ati++++=The
oil ^nn++++=oil
tanks ^nns++++=tanks
were ^vbd+bed+vrb++=were
empty ^jj+pred+++=empty.
. ^zz++++=EXTRAWORD
Others ^aps++++=Others
simply ^rb++++=simply
looked ^vbd+++xvbn+=looked
toward ^in++++=toward
the ^ati++++=the
narrow ^jj+atrb+++=narrow
tower ^nn++++=tower
on ^in++++=on
Widow ^np++++=Widow's
's ^$++++=EXTRAWORD
Point ^nn++++=Point
and ^cc++++=and
crossed ^vbd+++xvbn+=crossed
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
thanked ^vbd+++xvbn+=thanked
them ^pp3o+pp3+++=them
and ^cc++++=and
climbed ^vbd+++xvbn+=climbed
the ^ati++++=the
hill ^nn++++=hill
anyway ^rb++++=anyway.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
not ^xnot++not++=not
come ^vb++++=come
to ^in++++=to
Bellweather ^np+nom++??+=Bellweather
for ^in++++=for
the ^ati++++=the
lighthouse ^nn++++=lighthouse.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
