Every ^at++++=Every
morning ^nn++++=morning
at ^in++++=at
six ^cd++++=six,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
something ^pn++++=something
to ^in++++=to
Bellweather ^np+nom++??+=Bellweather.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
days ^nns++++=days
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
ordinary ^jj+atrb+++=ordinary
wreckage ^nn+nom+++=wreckage:
: ^zz++++=EXTRAWORD
a ^at++++=a
sandal ^nn++++=sandal
without ^in++++=without
its ^pp$+it+++=its
pair ^nn++++=pair,
, ^zz++++=EXTRAWORD
a ^at++++=a
length ^nn++++=length
of ^in++++=of
green ^jj+atrb+++=green
rope ^nn++++=rope,
, ^zz++++=EXTRAWORD
a ^at++++=a
bottle ^nn++++=bottle
clouded ^vwbn+++xvbn+=clouded
by ^in++++=by
salt ^nn++++=salt.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tide ^nn++++=tide
delivered ^vwbn+++xvbn+=delivered
a ^at++++=a
carved ^jj+atrb++xvbn+=carved
wooden ^jj+atrb+++=wooden
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
time ^nn++++=time,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
left ^vbd+++xvbn+=left
a ^at++++=a
silver ^nn++++=silver
spoon ^nn++++=spoon
standing ^vwbg+++xvbg+=standing
upright ^jj++++=upright
in ^in++++=in
the ^ati++++=the
sand ^nn++++=sand,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
an ^at++++=an
invisible ^jj+atrb+++=invisible
guest ^nn++++=guest
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
finished ^vprf+++xvbnx+=finished
breakfast ^nn++++=breakfast.
. ^zz++++=EXTRAWORD
The ^ati++++=The
villagers ^nns+nom+++=villagers
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
surprised ^vpsv++agls+xvbnx+=surprised.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
walked ^vbd+++xvbnx+=walked
the ^ati++++=the
shore ^nn++++=shore
at ^rb++++=at
dawn ^nn++++=dawn
with ^in++++=with
baskets ^nns++++=baskets
and ^cc++++=and
hooks ^nns++++=hooks,
, ^zz++++=EXTRAWORD
collecting ^nvbg+++xvbg+=collecting
whatever ^nn+nom+++=whatever
might ^md+pos+++=might
be ^vb+be+vrb++=be
useful ^jj+pred+++=useful.
. ^zz++++=EXTRAWORD
Driftwood ^np+++??+=Driftwood
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
communal ^jj+atrb+++=communal
stove ^nn++++=stove.
. ^zz++++=EXTRAWORD
Glass ^nn++++=Glass
was ^vbd+bedz+aux++=was
washed ^vpsv++agls+xvbnx+=washed
and ^cc+phrs+++=and
sold ^vpsv++agls+xvbn+=sold
to ^in++++=to
traders ^nns+nom+++=traders
inland ^jjb++++=inland.
. ^zz++++=EXTRAWORD
Coins ^nns++++=Coins,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
anyone ^pn++++=anyone
found ^vbd+vprv++xvbn+=found
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
belonged ^j+++xvbn+=belonged
to ^in++++=to
the ^ati++++=the
finder ^nn++++=finder.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
else ^rb+cnj+++=else
was ^vbd+bedz+aux++=was
placed ^vpsv++agls+xvbnx+=placed
in ^in++++=in
the ^ati++++=the
blue ^nn++++=blue
shed ^vbd+++xvbn+=shed
beside ^in+pl+++=beside
the ^ati++++=the
lighthouse ^nn++++=lighthouse,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
Miss ^npt++++=Miss
Arden ^np++++=Arden
kept ^vbd+++xvbn+=kept
a ^at++++=a
careful ^jj+atrb+++=careful
record ^nn++++=record.
. ^zz++++=EXTRAWORD
" ^zz++++="Object
object ^nn++++=EXTRAWORD
eighty ^cd++++=eighty-six,"
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
peering ^vbg+++xvbg+=peering
over ^rp++++=over
her ^pp3o+pp3+++=her
spectacles ^nns++++=spectacles.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^cd1++++=EXTRAWORD
child ^nn++++=child's
's ^$++++=EXTRAWORD
mitten ^np++++=mitten,
, ^zz++++=EXTRAWORD
red ^jj+atrb+++=red,
, ^zz++++=EXTRAWORD
right ^jj+atrb+++=right
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
brass ^nn++++=brass
