type,_NAME_,loading,table
primary,wrlengh,-0.851186877,f1neg
primary,whiz_vbn,-0.713424861,f1neg
primary,concrtn,-0.578264987,f1neg
primary,ttr,-0.569977873,f1neg
primary,placen,-0.533438893,f1neg
primary,colorj,-0.466009286,f1neg
primary,tccncrt,-0.427746089,f1neg
primary,advs,0.6713740265,f1pos
primary,gen_emph,0.6673319484,f1pos
primary,prd_mod,0.6637939273,f1pos
primary,pro1,0.6128665139,f1pos
primary,conjncts,0.6043646847,f1pos
primary,o_and,0.5903648516,f1pos
primary,contrac,0.5834193715,f1pos
primary,finlprep,0.5614727304,f1pos
primary,sub_cnd,0.5285679343,f1pos
primary,amplifr,0.5073911433,f1pos
primary,aspectpv,0.489606373,f1pos
primary,evalj,0.4804076467,f1pos
primary,fctadvl,0.3903228799,f1pos
primary,nec_mod,0.3829791834,f1pos
primary,lkly_vth,0.3649907096,f1pos
primary,pos_mod,0.3474688213,f1pos
primary,prtcle,0.3176819919,f1pos
secondary,pl_adv,-0.350934126,f1neg
secondary,n_nom,-0.340768121,f1neg
secondary,allverb,-0.334555615,f1neg
secondary,all_jto,0.431921537,f1pos
secondary,pro2,0.3935832869,f1pos
secondary,att_jth,0.3800874997,f1pos
secondary,sizej,0.3305962749,f1pos
secondary,p_and,0.3292493869,f1pos
secondary,vcmp,0.3259993541,f1pos
primary,pl_adv,-0.623038281,f2neg
primary,vcmp,0.6543840696,f2pos
primary,rel_obj,0.6118524573,f2pos
primary,n_nom,0.608381587,f2pos
primary,abstrcn,0.5985259342,f2pos
primary,cognitn,0.5880456992,f2pos
primary,rel_pipe,0.5871364573,f2pos
primary,rel_subj,0.5620122768,f2pos
primary,spl_aux,0.529806022,f2pos
primary,prcessn,0.520755056,f2pos
primary,all_jto,0.5095855765,f2pos
primary,jcmp,0.4749909567,f2pos
primary,by_pasv,0.4722115978,f2pos
primary,all_nto,0.4652665957,f2pos
primary,topicj,0.4201883634,f2pos
primary,agls_psv,0.4101720579,f2pos
primary,att_vth,0.40635425,f2pos
primary,fact_jth,0.392590682,f2pos
primary,att_jth,0.3900202322,f2pos
primary,fct_nth,0.3706626758,f2pos
primary,lkly_jth,0.3256475551,f2pos
primary,nonfadvl,0.3133860569,f2pos
primary,lkly_nth,0.3010443717,f2pos
secondary,concrtn,-0.522482483,f2neg
secondary,allverb,-0.489229138,f2neg
secondary,colorj,-0.464862137,f2neg
secondary,whiz_vbn,-0.343204074,f2neg
secondary,it,-0.30830851,f2neg
secondary,prep,0.4861823653,f2pos
secondary,amplifr,0.4789248151,f2pos
secondary,lkly_vth,0.3622658088,f2pos
secondary,gen_emph,0.351724083,f2pos
secondary,adj_attr,0.3358815372,f2pos
secondary,evalj,0.3222380782,f2pos
secondary,fctadvl,0.3172428156,f2pos
secondary,nec_mod,0.3158510026,f2pos
secondary,advs,0.3051364027,f2pos
primary,prep,-0.714641841,f3neg
primary,adj_attr,-0.54492393,f3neg
primary,p_and,-0.453943865,f3neg
primary,sizej,-0.40578363,f3neg
primary,allverb,0.7087034874,f3pos
primary,it,0.4662759441,f3pos
primary,pro2,0.4596563461,f3pos
primary,pany,0.448569656,f3pos
primary,wh_ques,0.3822566563,f3pos
primary,pdem,0.3796803885,f3pos
primary,wh_cl,0.3734113951,f3pos
primary,sub_cos,0.3720157907,f3pos
primary,dsre_vto,0.3180927779,f3pos
primary,tm_adv,0.3156636745,f3pos
secondary,o_and,-0.467547226,f3neg
secondary,rel_obj,-0.398383013,f3neg
secondary,rel_subj,-0.394871087,f3neg
secondary,by_pasv,-0.367766847,f3neg
secondary,agls_psv,-0.366504159,f3neg
secondary,rel_pipe,-0.365330661,f3neg
secondary,that_del,0.434986836,f3pos
secondary,pos_mod,0.3455619947,f3pos
secondary,fact_vth,0.3275971492,f3pos
primary,nonf_vth,0.6543526649,f4pos
primary,that_del,0.6524631256,f4pos
primary,pro3,0.5304930594,f4pos
primary,fact_vth,0.4233673567,f4pos
secondary,adj_attr,-0.326963993,f4neg
secondary,wrlengh,-0.322380476,f4neg
