prompt,source,filename,f1,f2,f3,f4
llm,ai,4000_story_0004_llm.txt,-6.075384675,4.0296537549,5.3125716274,1.069974051
llm,ai,4000_story_0005_llm.txt,-13.58898036,-7.336246339,-7.372271324,-0.909762605
llm,ai,4000_story_0007_llm.txt,-9.039732832,-14.42867103,-6.396552942,-0.728513632
llm,ai,4000_story_0008_llm.txt,-2.639273414,-3.839222829,3.7125612257,-0.837076199
llm,ai,4000_story_0009_llm.txt,-13.10545569,16.677295272,-6.856296433,-1.011553237
llm,ai,4000_story_0010_llm.txt,-4.935726247,40.636639236,1.8314365635,-0.058686144
llm,ai,4000_story_0013_llm.txt,-13.38172692,-3.359181785,-8.242956008,-3.512033457
llm,ai,4000_story_0014_llm.txt,2.5594923614,-5.053824623,6.4264090395,1.0428731917
llm,ai,4000_story_0016_llm.txt,-3.037346337,1.905061126,5.1996793494,-0.210722321
llm,ai,4000_story_0018_llm.txt,-7.942828858,20.116441864,0.743293143,-0.273247727
llm,ai,4000_story_0019_llm.txt,1.916867356,-11.88629933,6.7219037752,-0.134008184
llm,ai,4000_story_0020_llm.txt,-13.45432493,2.6540913111,-7.98973005,-2.783959836
llm,ai,4000_story_0022_llm.txt,-10.55168475,-0.645549761,-11.32189744,-1.346444343
llm,ai,4000_story_0188_llm.txt,-0.405973975,-6.746927687,2.831902007,-1.083778412
llm,ai,4000_story_0190_llm.txt,2.5938810556,2.9401785853,-2.293534726,-0.087354611
llm,ai,4000_story_0198_llm.txt,-0.206088015,9.6831511355,0.7727181133,-1.668906663
llm,ai,4000_story_0199_llm.txt,-2.572847727,-1.358131422,2.2380189745,-0.597633292
llm,ai,4000_story_0201_llm.txt,10.411765396,6.2673283412,-0.294919955,-1.370430317
llm,ai,4000_story_0203_llm.txt,-1.560484441,3.8872884228,1.0537955695,-3.095391946
llm,ai,4000_story_0205_llm.txt,4.3324676038,3.5270874146,-1.829749146,-2.278551368
llm,ai,4000_story_0208_llm.txt,6.5916821026,0.4737802681,6.3101228551,0.0959767361
llm,ai,4000_story_0209_llm.txt,-3.243715053,-14.32552824,-8.246516261,-2.837232997
llm,ai,4000_story_0213_llm.txt,-2.925885061,1.3126185972,1.0876978727,-2.726686866
llm,ai,4000_story_0215_llm.txt,3.9427105409,8.8855809884,0.5315265056,0.7420378408
