prompt,source,filename,f2
human,human,4000_story_1420.txt,29.127292672
human,human,4000_story_1262.txt,29.146630787
llm,ai,4000_story_3626_llm.txt,29.148233553
llm,ai,4000_story_1369_llm.txt,29.175176343
llm,ai,4000_story_1797_llm.txt,29.356326939
human,human,4000_story_2644.txt,29.44863918
llm,ai,4000_story_3172_llm.txt,29.500877589
human,human,4000_story_0361.txt,29.839171275
llm,ai,4000_story_1764_llm.txt,29.900614671
human,human,4000_story_1764.txt,29.915577407
human,human,4000_story_1856.txt,29.946717241
human,human,4000_story_3441.txt,30.13388607
human,human,4000_story_0666.txt,30.171611051
human,human,4000_story_1337.txt,30.191984898
human,human,4000_story_3552.txt,30.244455639
human,human,4000_story_3403.txt,30.337789468
human,human,4000_story_1130.txt,30.405080614
human,human,4000_story_2373.txt,30.462124153
human,human,4000_story_2034.txt,30.479585196
human,human,4000_story_1812.txt,30.706765244
llm,ai,4000_story_3140_llm.txt,30.713838247
llm,ai,4000_story_2897_llm.txt,30.797439538
human,human,4000_story_4057.txt,30.926546117
human,human,4000_story_3416.txt,30.965528239
human,human,4000_story_3089.txt,30.971698343
llm,ai,4000_story_0825_llm.txt,31.328157631
human,human,4000_story_2026.txt,31.372402278
llm,ai,4000_story_2387_llm.txt,31.404083939
human,human,4000_story_0647.txt,31.406214645
human,human,4000_story_2178.txt,31.418602284
llm,ai,4000_story_4057_llm.txt,31.540184003
human,human,4000_story_0936.txt,31.564589002
human,human,4000_story_0454.txt,31.647628882
human,human,4000_story_0010.txt,31.926874261
human,human,4000_story_2934.txt,31.987901767
human,human,4000_story_0924.txt,32.078264568
llm,ai,4000_story_2370_llm.txt,32.110221572
human,human,4000_story_1369.txt,32.259538432
human,human,4000_story_1032.txt,32.311063629
human,human,4000_story_1028.txt,32.342682456
human,human,4000_story_1271.txt,32.360715923
human,human,4000_story_1354.txt,32.397605482
human,human,4000_story_0602.txt,32.745360521
human,human,4000_story_1285.txt,32.800262959
llm,ai,4000_story_0879_llm.txt,32.923321388
llm,ai,4000_story_2056_llm.txt,32.967436508
human,human,4000_story_3415.txt,33.046350198
human,human,4000_story_2950.txt,33.168952942
human,human,4000_story_0879.txt,33.448461007
llm,ai,4000_story_3052_llm.txt,33.597011259
llm,ai,4000_story_3641_llm.txt,33.666315147
human,human,4000_story_0319.txt,33.728194875
human,human,4000_story_3237.txt,33.930396976
human,human,4000_story_2939.txt,33.940686036
human,human,4000_story_2402.txt,33.962732182
llm,ai,4000_story_1055_llm.txt,34.07638172
llm,ai,4000_story_2950_llm.txt,34.116498654
human,human,4000_story_0696.txt,34.233531132
human,human,4000_story_0425.txt,34.279406134
human,human,4000_story_2102.txt,34.410810258
human,human,4000_story_1399.txt,34.430536158
human,human,4000_story_3476.txt,34.642487712
llm,ai,4000_story_3054_llm.txt,34.723844695
human,human,4000_story_2935.txt,35.356333584
human,human,4000_story_0922.txt,35.895174323
human,human,4000_story_2094.txt,35.916311372
llm,ai,4000_story_3338_llm.txt,36.036338361
human,human,4000_story_1847.txt,36.148731782
human,human,4000_story_2092.txt,36.269491616
llm,ai,4000_story_3638_llm.txt,36.563830811
human,human,4000_story_2599.txt,36.840603538
human,human,4000_story_0009.txt,36.943807658
human,human,4000_story_1479.txt,37.156891908
human,human,4000_story_2611.txt,37.74218691
human,human,4000_story_2027.txt,37.771916033
human,human,4000_story_2903.txt,37.772683024
human,human,4000_story_0344.txt,37.999124845
human,human,4000_story_0440.txt,38.366807277
human,human,4000_story_3140.txt,38.45531147
human,human,4000_story_1055.txt,38.925578807
llm,ai,4000_story_2979_llm.txt,39.152328391
llm,ai,4000_story_1017_llm.txt,39.224662021
llm,ai,4000_story_3554_llm.txt,39.3450891
human,human,4000_story_2965.txt,39.487347238
llm,ai,4000_story_2965_llm.txt,39.677675798
llm,ai,4000_story_0735_llm.txt,39.749832021
human,human,4000_story_2387.txt,40.234230487
llm,ai,4000_story_4042_llm.txt,40.264330015
llm,ai,4000_story_0010_llm.txt,40.636639236
human,human,4000_story_0295.txt,40.763351051
llm,ai,4000_story_2102_llm.txt,40.775218234
llm,ai,4000_story_2133_llm.txt,40.851524123
llm,ai,4000_story_0319_llm.txt,41.067107853
llm,ai,4000_story_0344_llm.txt,41.620111327
llm,ai,4000_story_1856_llm.txt,41.701942673
human,human,4000_story_3479.txt,41.72092939
llm,ai,4000_story_2098_llm.txt,42.394429792
human,human,4000_story_2370.txt,43.445346798
llm,ai,4000_story_4041_llm.txt,43.934799964
llm,ai,4000_story_3419_llm.txt,44.091557962
human,human,4000_story_3419.txt,44.864314186
llm,ai,4000_story_3069_llm.txt,45.585221761
llm,ai,4000_story_4049_llm.txt,46.887975642
human,human,4000_story_0736.txt,47.610593124
human,human,4000_story_1031.txt,48.284377763
human,human,4000_story_2098.txt,51.581528463
llm,ai,4000_story_1031_llm.txt,52.435557592
llm,ai,4000_story_3479_llm.txt,53.847055406
human,human,4000_story_3190.txt,54.785161304
human,human,4000_story_3172.txt,54.966435184
human,human,4000_story_3554.txt,60.100714304
human,human,4000_story_1017.txt,60.585208168
human,human,4000_story_2654.txt,61.333832768
llm,ai,4000_story_2654_llm.txt,77.695238793
