prompt,source,filename,ttr,wrlengh,wcount,that_del,contrac,pres,pro2,pro_do,pdem,gen_emph,pro1,it,be_state,sub_cos,prtcle,pany,gen_hdg,amplifr,wh_ques,pos_mod,o_and,wh_cl,finlprep,n,prep,adj_attr,pasttnse,pro3,perfects,rel_obj,rel_subj,rel_pipe,p_and,n_nom,tm_adv,pl_adv,advs,inf,prd_mod,sua_vb,sub_cnd,nec_mod,spl_aux,conjncts,agls_psv,by_pasv,whiz_vbn,sub_othr,vcmp,downtone,pred_adj,allmodal,allconj,allpasv,allwh,allwhrel,alladj,allpro,have,allverb,vprogrsv,that_rel,jcmp,nonf_vth,att_vth,fact_vth,lkly_vth,att_jth,fact_jth,lkly_jth,nfct_nth,att_nth,fct_nth,lkly_nth,spch_vto,mntl_vto,dsre_vto,efrt_vto,prob_vto,x1_jto,x2_jto,x3_jto,x4_jto,x5_jto,all_nto,nonfadvl,atadvl,fctadvl,lklydvl,all_vth,all_jth,all_nth,all_th,all_vto,all_jto,all_to,all_advl,act_ipv,act_tpv,mentalpv,commpv,occurpv,copulapv,aspectpv,humann,prcessn,cognitn,abstrcn,concrtn,tccncrt,quann,placen,groupn,sizej,timej,colorj,evalj,relatnj,topicj,actv,commv,mentalv,causev,occurv,existv,aspectv
llm,ai,4000_story_0004_llm.txt,39.3,4.7,5472,4.2,0.9,63.2,16.8,1.1,4,0.9,23.2,12.2,0.4,3.7,0.2,1.6,0,0.7,0.7,4.6,14.4,0.7,0.7,282,83.9,31.1,96.5,66.3,10.4,0.9,2.2,2,0.9,50.3,7.5,5.7,30.2,5.8,5.8,2.7,2.6,3.1,0.9,6.2,6.2,0.7,4,3.8,1.1,2.7,5.8,13.5,25.4,11,1.5,5.1,57.7,106.4,1.8,171.2,2.4,1.1,0,3.3,1.3,1.6,0.9,0,0,0,0,0,0,0,0.9,0.7,0.9,0.2,0.4,0,0.2,0,0,0,0.5,0.2,0,2.9,0.9,7.1,0,0,7.1,3.1,0.2,3.8,4,0,0,0,0,0,0,0,9.9,4.4,2.9,8.6,19.7,3.3,2.4,6.8,0.5,0.4,0.5,2.7,0.2,0,0.5,32.3,20.5,17.2,1.5,10.2,6.9,3.5
llm,ai,4000_story_0005_llm.txt,37.5,4.7,3386,2.7,6.2,35.1,10,1.2,1.8,0,11.5,14.5,0.6,1.8,0.3,1.8,1.2,0,0.3,3,7.7,0,0.6,286.8,89.8,47.3,109.6,54,14.2,0.9,1.5,0.9,2.4,26.6,9.5,12.7,30.4,3,6.2,0.6,1.2,2.4,1.2,2.7,6.5,0,4.7,3.8,1.8,2.1,4.1,11.5,16.8,11.2,0.3,3.2,86.2,75.6,1.8,159.8,5.6,1.5,0,2.4,0.3,0.9,1.8,0,0,0,0,0,0,0,0,0.3,0.6,0.6,0.9,0,0,0,0,0,0,0,0,1.2,0.3,5.3,0,0,5.3,2.4,0,2.4,1.5,0,0.3,0,0,0,0,0,4.4,3.2,1.8,6.5,25.1,2.4,4.1,11.8,0.3,2.4,0.9,3.5,0,0.6,0.6,27.2,16.2,15.7,1.2,6.5,7.7,4.1
llm,ai,4000_story_0007_llm.txt,37,4.5,3123,1.6,3.2,33.3,7.4,0,1,0.6,8.6,9.6,1,0.3,0,4.2,0.3,0,0.6,4.2,14.4,0.6,0.6,273.1,96.7,39.4,112.7,77.5,13.8,0.3,1.6,0.3,2.2,20.8,10.6,13.8,32.3,3.5,4.5,1,3.5,0.3,0.6,3.5,3.2,0,4.2,7,1.6,1.9,3.2,9,27.5,7.4,1.3,2.2,71.1,93.5,1,165.9,6.7,1.9,0,1,0.6,1.9,0.3,0,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0,0,0,0,0,0,0.3,0,0,1,3.8,0,0,3.8,1.6,0,1.6,1.3,0,0.3,0,0,0,0,0,10.2,2.2,0.6,5.1,16,2.2,5.4,6.7,0.3,1.9,0.6,2.2,1,0.3,0.3,30.1,10.2,9.9,1,5.1,8,4.8
llm,ai,4000_story_0008_llm.txt,36,4.3,4003,6.5,7,41.2,10.2,0.2,3.5,1.2,62.2,20.2,0.2,1.7,0.7,7.7,0.5,0.5,0.2,3.2,15.2,0.2,1,252.8,83.7,34.2,97.4,21,14,0.5,1,0.2,1,24.5,11,13.7,33.7,6.7,3.2,0.2,2,1.5,1.2,3.7,1.7,1.2,3,5.7,2.5,1,6,8,25.7,6,0.5,1.7,69.9,93.4,2.2,154.9,7.7,1.2,0,3.2,0.7,3.2,2.7,0,0,0,0,0,0.2,0,0.7,0,0.7,1,1,0,0,0,0,0,1.2,0,0,1.7,0.7,10,0,0.2,10.2,3.5,0,4.7,2.5,0.2,0,0,0,0,0,0.2,9.5,2.5,1.5,7.2,23.2,2,3.5,12.5,4.2,2,0.5,2.5,0,1.2,0.2,30.5,10.5,21.2,0.7,4.2,8.7,6.2
llm,ai,4000_story_0009_llm.txt,35.8,4.8,4916,1.6,0.6,31.7,3.9,0.2,1,0.4,3.9,10,1,0,0.2,1.6,0,0.6,0.2,5.5,23.6,1.2,0.6,287,104.6,41.3,91.3,53.7,13.4,3.3,2.8,1.6,0.8,50.4,5.1,10.4,28.9,8.3,2.4,3.5,0.4,1.2,2.2,2,9.4,1,5.5,6.3,5.7,1.8,6.7,9.2,31.1,15.9,1.4,7.7,72.8,61.4,0.4,146.1,3.7,0.2,0,3.1,1,2.2,2,0,0,0,0,0,0,0.2,0.2,0.2,1.2,1.4,0.2,0,0.2,0,0.2,0,0.2,0.6,0,1,0.6,8.3,0,0.2,8.5,3.3,0.4,3.9,2.2,0.2,0.2,0.2,0,0,0,0,13.6,4.1,2.2,14,15.9,2.4,6.7,10.4,3.9,1.8,2,1,0.2,1.6,0,26.4,17.3,20.5,2.8,7.3,11.8,3.1
llm,ai,4000_story_0010_llm.txt,35.8,4.7,2363,3,4.2,38.9,4.7,0.4,3.4,0,5.1,13.1,1.3,2.1,0,1.7,0,1.3,0,8,22,0.4,0.8,247.6,89.3,37.2,92.7,48.7,19.9,1.3,3.8,2.1,1.7,44.4,3,8.5,35.5,13.1,6.3,3,3,0.8,4.2,4.7,14.4,0.4,4.7,6.8,7.6,2.5,6.3,15.2,35.5,19.5,0.4,7.2,72.4,58.4,4.2,151.9,6.3,0.4,0.4,4.2,1.3,3.8,1.7,0.4,0.4,0.4,0,0,0.4,0.4,0,0,1.3,1.3,0.4,0.4,0.8,0,0,0.4,1.3,0,0,1.3,1.3,11,1.3,0.8,13.1,3,1.7,5.9,2.5,0.4,0.4,0,0,0,0,0,8.9,5.1,4.7,8.9,5.9,2.1,4.2,11.4,2.1,1.3,2.1,0,0.4,0.4,4.2,32.2,16.9,15.7,4.2,3,8,7.6
llm,ai,4000_story_0013_llm.txt,36.3,4.7,4169,1.7,2.9,26.4,5.5,0.5,1.7,0.5,7,10.3,0,0.2,0,3.4,0,0.2,0.7,2.4,18.7,0.5,1.2,288.3,98.8,30.7,110.3,29.3,11.3,0.7,1,0.2,2.9,29,4.8,16.8,25.2,7.4,4.3,2.2,1.2,0.5,1.4,1.9,9.8,0.5,7.7,6.5,1.7,3.1,1.4,7.2,29.5,18,1.2,1.9,64.8,41.7,1.9,161.2,7,2.2,0,1.4,0.5,2.2,0.5,0.7,0,0,0,0,0,0,0.2,0,0.5,0.7,0.5,0.2,0.5,0,0,0.2,0.5,0.2,0,0.5,0.5,4.6,0.7,0,5.3,1.9,1,3.4,1.2,0.7,0.2,0,0,0,0,0,10.8,3.8,0.2,7.2,9.8,3.8,5.3,8.9,1.2,3.1,0.5,0.5,0.7,0.2,0.7,30,13.7,11.5,1.9,6,9.6,5.3
llm,ai,4000_story_0014_llm.txt,33.8,4.4,3977,5.8,13.8,63.4,14.6,1.3,3.3,1,29.9,11.6,0.5,1.8,0.3,5.3,0,0,0.8,6.8,19.9,0.8,2.3,242.1,75.7,28.7,93.5,54.6,8.3,0.3,1.5,0,1,20.6,8.5,13.3,24.9,9.6,9.8,3,3.8,1.5,0.8,3.5,4,0.5,4,7.3,0.5,2,4.3,18.1,33.7,8.5,1.5,1.8,82.2,99.1,4.5,174.3,9.3,1.8,0,3.3,0.3,2,1.8,0,0,0,0,0,0,0,0.8,0,1.5,1.5,0.5,0.5,0,0.3,0,0,0.5,1,0,2.8,0.3,7.3,0,0,7.3,4.3,0.8,5.5,4,0.5,1.3,0,0,0,0,0.3,7.8,3.3,1.5,7,15.6,2.3,7,11.3,3.5,1.5,1.3,1.5,1.3,1,0,39.5,26.2,19.1,3.3,1.3,7.3,4.3
llm,ai,4000_story_0016_llm.txt,32.5,4.3,6246,4.8,6.4,39.5,4.2,0.2,3.4,1.4,23.4,9.4,0.2,1.4,0.2,6.9,0,0,0.6,8.2,17.6,1.8,1.3,273.8,89.3,28.8,111.3,45.6,13.8,1.3,2.2,0.3,1.8,19.2,5.1,11.4,29,10.6,2.6,2.9,3.5,0.8,2.1,1.9,5.6,0.5,4.2,10.4,1.3,2.2,2.7,11.5,34.7,10.2,2.4,3.8,54.3,73.2,3.7,171.6,6.9,2.4,0,2.9,0.5,1.6,1.9,0,0,0.3,0,0,0,0.2,1.3,0.3,1.4,1.6,1.1,0.3,0.5,0,0,0,0.2,0.8,0,2.7,0.2,6.9,0.3,0.2,7.4,5.8,0.8,6.7,3.7,0.3,0.2,0,0,0.2,0,0.3,10.2,3.2,1.1,9.6,20.8,1.3,6.4,10.7,2.1,1.4,3.4,1.6,0.5,0.2,0.3,39.7,20.3,18.4,3.2,4.2,10.2,8.6
llm,ai,4000_story_0018_llm.txt,36.3,4.9,7106,3.5,6.3,62.5,9,1.7,3.8,1.3,18,10.3,1.3,1.3,0,4.2,0.3,0.3,0.7,7.3,14.8,0.6,0.4,284,78.5,35.9,82.9,41.8,12.7,1.1,3,0.6,1.3,58.1,4.6,5.9,27.2,8.6,6.6,3.5,2.8,3.2,2.7,3.1,9.3,1.4,5.5,3.7,3.1,2.4,4.2,17.2,23.8,16.2,1.3,4.6,70.5,68.8,2.7,162.7,6.3,1.1,0.1,4.2,0.1,1.3,0.4,0,0.1,0,0,0,0.3,0.1,0.4,0.1,0.6,1.8,0.4,0,0.6,0,0.3,0,0.6,0.3,0,2.8,0.6,6.1,0.1,0.4,6.6,3.4,0.8,4.8,3.7,0.1,0.3,0,0,0,0,0,9.7,5.6,2.4,12.7,16.3,3.7,4.5,13.1,5.5,1.8,0.7,1,0.6,1,3,34.8,25.9,15.5,2.7,3.8,8.3,5.2
