prompt,source,filename,f1,f2,f3,f4
human,human,4000_story_0004.txt,-7.701417859,0.7083650618,-14.13246823,-5.36252594
human,human,4000_story_0009.txt,2.3429037474,34.151348496,-8.529448552,-0.586367526
human,human,4000_story_0010.txt,5.9074552203,30.40795564,-10.00061618,0.1853453595
llm,ai,4000_story_0010_llm.txt,-3.038535353,41.186129635,-4.589174626,1.1764663352
llm_free,ai,4000_story_0018_llm_free.txt,-6.772422782,-5.371065734,10.382445303,6.4690267364
human,human,4000_story_0020.txt,-7.627911036,22.954246912,-14.39190754,-3.776548115
human,human,4000_story_0190.txt,2.3639143859,15.912791152,-21.02311665,-3.576460541
human,human,4000_story_0201.txt,27.344844442,8.8593544865,-6.856720184,-1.785552173
human,human,4000_story_0209.txt,31.913705679,-5.317211516,-8.929272175,-0.296121902
human,human,4000_story_0218.txt,31.085429373,3.3887452844,-2.644352391,3.767556412
llm,ai,4000_story_0224_llm.txt,7.1970509748,13.910268142,1.0459576631,7.6939027809
human,human,4000_story_0226.txt,28.819102919,-4.125091192,4.1132926933,-1.178716291
llm,ai,4000_story_0242_llm.txt,-7.592668488,-11.03434833,-6.560766271,-7.194343166
human,human,4000_story_0256.txt,33.615082777,7.541774283,9.8701096565,2.9215710571
llm,ai,4000_story_0276_llm.txt,-6.733496547,-2.403371106,-0.312362673,6.2790614505
llm,ai,4000_story_0277_llm.txt,-8.578921535,-3.424431444,5.5128651147,5.8291061963
human,human,4000_story_0278.txt,-9.36777397,9.8418160994,-15.78545127,-3.464801907
llm,ai,4000_story_0279_llm.txt,19.121333004,-4.223577674,15.851532418,2.6474289571
llm,ai,4000_story_0280_llm.txt,5.5066903144,-7.980957142,12.564928703,5.3168256017
llm,ai,4000_story_0282_llm.txt,-4.123681841,-1.436868523,12.826984996,4.8177789391
llm,ai,4000_story_0284_llm.txt,-5.879410457,-6.538224197,7.583613725,4.7464232298
llm_free,ai,4000_story_0284_llm_free.txt,0.1510154421,5.8575621263,13.874531392,6.6404684806
llm,ai,4000_story_0290_llm.txt,-0.041929129,4.0251632423,10.737089008,8.661125555
