prompt,source,filename,ttr,wrlengh,wcount,that_del,contrac,pres,pro2,pro_do,pdem,gen_emph,pro1,it,be_state,sub_cos,prtcle,pany,gen_hdg,amplifr,wh_ques,pos_mod,o_and,wh_cl,finlprep,n,prep,adj_attr,pasttnse,pro3,perfects,rel_obj,rel_subj,rel_pipe,p_and,n_nom,tm_adv,pl_adv,advs,inf,prd_mod,sua_vb,sub_cnd,nec_mod,spl_aux,conjncts,agls_psv,by_pasv,whiz_vbn,sub_othr,vcmp,downtone,pred_adj,allmodal,allconj,allpasv,allwh,allwhrel,alladj,allpro,have,allverb,vprogrsv,that_rel,jcmp,nonf_vth,att_vth,fact_vth,lkly_vth,att_jth,fact_jth,lkly_jth,nfct_nth,att_nth,fct_nth,lkly_nth,spch_vto,mntl_vto,dsre_vto,efrt_vto,prob_vto,x1_jto,x2_jto,x3_jto,x4_jto,x5_jto,all_nto,nonfadvl,atadvl,fctadvl,lklydvl,all_vth,all_jth,all_nth,all_th,all_vto,all_jto,all_to,all_advl,act_ipv,act_tpv,mentalpv,commpv,occurpv,copulapv,aspectpv,humann,prcessn,cognitn,abstrcn,concrtn,tccncrt,quann,placen,groupn,sizej,timej,colorj,evalj,relatnj,topicj,actv,commv,mentalv,causev,occurv,existv,aspectv
human,human,4000_story_0004.txt,32.8,4.3,4461,0,1.1,50.7,15.2,0.7,3.6,0.2,18.8,6.5,1.8,1.3,0,2.7,0,0.2,0.2,4,15,0.2,0.7,292.5,132.3,49.5,36.5,44.8,9.2,1.8,5.4,0.7,3.6,27.8,3.4,7.8,21.5,1.3,8.1,1.6,0.7,0.7,1.3,4,4,0.9,1.8,4.7,2,0.7,2.2,12.8,25.3,6.7,0.4,7.8,86.5,78.9,0.4,98.6,6.5,3.6,0,0.4,0.2,0.7,0.2,0,0,0,0,0,0.2,0,0,0,0.2,0.4,0.2,0,0.2,0,0,0,0,0,0,4.5,1.6,1.6,0,0.2,1.8,0.9,0.2,1.1,6.1,0,0.2,0,0,0,0,0.2,16.1,4.3,2.5,10.8,22.9,2.2,4.7,6.9,1.8,1.8,2.9,4,0.2,0.2,0,17.5,8.5,8.5,1.1,2,3.1,1.6
human,human,4000_story_0005.txt,37.3,4.5,3509,2.3,10.8,41,8.3,1.1,2.8,3.4,9.4,12,1.7,0,0.3,4.3,0.3,2.6,0.3,0.9,14.5,0.9,1.7,245.1,104,57.6,66.7,51.3,35.9,2.6,5.4,0.3,3.7,22.8,5.1,7.1,34.2,4,9.1,0.3,1.4,1.7,1.7,9.4,4.3,1.1,1.4,6,6,1.4,2.6,11.7,25.6,6.8,1.1,8.3,97.2,69,2,121.1,7.7,3.1,0.3,1.4,0.3,5.1,1.1,0.3,0.3,0,0,0,0.3,0,0,0.3,0.3,0.6,0.9,0,0.3,0,0,0,0.3,0.6,0,1.1,0,8,0.6,0.3,8.8,2,0.3,2.6,1.7,0.3,0.6,0.3,0,0,0,0.6,3.7,4.6,2.6,12,11.1,4.3,4.8,6,1.1,3.1,0.9,1.4,0.6,1.7,1.4,21.9,7.1,18,1.4,4.6,5.7,4
human,human,4000_story_0007.txt,35,4.3,2999,2,3.3,26,1.7,0.7,0.3,0.7,2,10.3,2.3,1.7,0.3,2.3,0,0.3,1,3,18.3,0.3,2.3,266.1,100,47.7,82,80.4,9.7,0.7,3.3,0,6.7,17.3,9,14,39,7.7,4.7,0,1.7,2,0.7,6.3,3,0.3,2,8.3,2.3,1,4.7,9.7,36.7,5.3,1.3,4,96,84,1,131.4,14.3,1.3,0,1.7,0.3,2.3,1.3,0,0,0,0,0,0,0,0,0,0.7,1.3,1.3,0,0.7,0,0,0,0,0.3,0.7,1,0,5.7,0,0,5.7,3.3,0.7,4,2,0.7,1,0,0,0,0,0,13,0.7,1,10.7,21.3,2.7,5,9,1,3.3,0,1.7,1.3,0.3,0,26.7,6.7,12.3,1.3,5.7,5,4
human,human,4000_story_0008.txt,33.8,4.2,4144,3.6,8.7,39.3,9.2,1.2,2.7,3.4,77.7,10.4,0.5,1.2,0.7,2.7,0.7,1.2,1,5.1,26.5,1.4,3.4,217.4,98.9,44.2,62.7,24.1,7.5,0.5,1.4,0,4.1,19.5,6.5,11.8,41.7,8.9,5.6,0.2,4.8,2.2,0.7,12.5,2.9,0.7,1.2,8,5.3,2.7,4.1,12.8,44.6,4.8,2.4,1.9,90.7,111,1.7,121.9,9.2,3.1,0,2.9,0.5,4.1,1.4,0,0,0,0,0.2,0.2,0,0,0,1.4,1,1,0,1,0,0,0,0.5,0,0,2.7,0.7,8.9,0,0.5,9.4,3.4,1,4.8,3.4,1,0.5,0.5,0,0,0,0,5.1,3.1,2.4,11.6,14.7,1.9,8,7.2,4.8,1.9,0.7,1.9,1,1.4,0.5,26.8,4.6,22,1.7,3.6,4.8,1.9
human,human,4000_story_0009.txt,35.3,4.5,4395,2.3,2,28.7,3,0.2,1.1,2,3.9,11.1,0.7,0.2,1.8,3.2,0.2,3.4,0.5,5.2,16.4,0.5,0.9,244.4,117.2,47.1,82.1,64.6,9.3,2,3.4,2,3,38.9,8,9.3,31.9,13.7,4.3,0.7,2.3,0.7,5.9,3.2,10,1.6,1.6,7.1,3,2,5.5,10.2,28.9,13.2,0.9,7.5,71.4,71.4,3.6,134.9,7.5,1.6,0.2,2.7,2,2,1.1,1.1,0.2,0,0,0,0.2,0,0.9,0.7,2.5,1.6,0,0,1.4,0.2,0,0.7,1.6,0.7,0,1.8,0.2,8,1.4,0.2,9.6,5.7,2.3,9.6,2.7,0,0.5,0,0.2,0,0.2,0,18.4,4.1,3.9,19.1,11.4,1.4,7.5,8.6,3,0.9,8.6,0.5,1.4,3,0.9,28.9,12.1,16.4,1.1,2.3,4.6,2.7
human,human,4000_story_0010.txt,32,4.3,2347,3.8,1.3,40.9,8.9,0,2.6,0.9,7.2,11.5,0.9,0,0,3.8,0,0,0.4,8.1,16.6,0.4,1.7,241.2,124,38.8,79.7,58.8,10.2,1.7,2.1,0.9,2.6,35.4,4.7,7.2,23.4,12.4,7.2,1.7,4.7,1.7,3.8,3,14.5,0.9,2.1,7.7,5.1,3.4,6,17,31.5,17.5,0.9,4.7,63.9,75,5.1,136.3,4.7,3.4,0.4,2.6,1.7,2.6,3,0,0.4,0,0,0,0.4,0.4,0.4,0.9,1.3,1.3,0.4,0.9,0.4,0,0,0,0.4,0.4,0,0.4,1.3,9.8,0.4,0.9,11.1,4.3,1.3,6,2.1,0.9,0,0,0,0,0.9,0.4,11.9,6.8,5.1,15.8,6.4,3,8.1,8.1,2.6,2.6,4.7,0,2.6,0.9,1.7,30.3,8.5,17.9,2.6,3,6,3
human,human,4000_story_0013.txt,33.5,4.4,4006,0,3.2,28,3.5,0,1.5,2,5,7.7,2,0.2,0.2,4,0.2,1,0.2,2.2,19.5,0.2,1.5,256.6,121.1,32.5,68.9,36.4,8.7,0.7,2,0.5,3.7,28,4.5,7.2,29.5,15.5,7,0.2,0.7,0,2,1.5,15.5,2,1.5,9,2.5,2.2,2.5,9.2,33.2,19,0.5,3.2,66.2,44.9,2.2,124.8,13,1.2,0.2,1.2,0.2,1.2,0.2,0.2,0.5,0,0,0,0,0.2,0.2,0.7,0.7,2,0,0.2,0,0,0.2,0.2,1.2,0,0,0,1.2,3,0.7,0.2,4,3.7,0.7,5.7,1.2,0.2,0,0,0,0,0,0,6.2,5.5,1.5,9.5,13.2,3.2,10.7,9,3.7,0.7,1.2,0.2,0.7,0.7,0,30.7,7,9,4.7,2.5,3.7,1.7
human,human,4000_story_0014.txt,31,4,3879,2.8,23.2,70.9,29.6,0.8,3.9,2.6,48.5,11.3,1.5,0.3,0.8,4.9,0,0.5,1,6.4,18,0.8,2.3,217.6,104.4,22.9,59.8,36.6,7,0,0.8,0,1.5,15.2,4.1,12.6,34,15.2,12.1,1.8,4.1,2.8,1,5.2,3.9,0.8,0.8,9,3.4,1,2.3,21.4,33,5.4,1.8,0.8,54.1,114.7,4.6,147.2,6.2,2.8,0.3,3.4,1.5,2.1,1.5,1.3,0,0,0,0.3,0,0,0.5,0.8,1.8,1.5,0.8,0,0.3,1,0.5,0,0.5,0.3,0,2.3,0.3,8.5,1.3,0.3,10.1,5.4,1.8,7.7,2.8,0.8,0.8,0.5,0,0,0,0,9.8,3.9,3.9,7.5,10.6,2.3,10.3,7.5,1.8,1.8,1.5,0,1.8,1.5,0.3,38.2,16,22.7,3.4,1.3,5.2,3.1
human,human,4000_story_0016.txt,32.5,4.1,4950,3.6,12.7,47.7,9.3,0.8,2,2,41.8,10.1,2.4,0,0,6.7,0,0,0.2,5.1,12.3,0.8,3.2,231.9,110.1,24.8,80.2,40.4,9.1,1.6,2.2,0.6,1,18,4,12.3,33.5,14.5,8.5,1.6,3.4,2,1.4,3.2,8.3,0.6,2.6,9.5,2.4,2,2.4,15.6,26.3,11.5,1,4.4,52.7,91.5,3,152.9,10.7,2.6,0.2,2.8,1.4,1.4,1.6,0.2,0,0,0,0,0,0,1,1,2.2,2,0.4,0,0,0,0,0.2,1.4,0,0,2.2,0.4,7.3,0.2,0,7.5,6.7,0.2,8.3,2.6,0.2,0,0.2,0.2,0,0,0.2,8.3,7.1,2,11.3,9.3,3.4,9.9,5.5,3.6,1.6,2,0.8,1.6,0.4,0,43.2,15.2,16,2.2,1.6,6.3,2.6
human,human,4000_story_0018.txt,30.5,4.1,5396,3.5,17.4,80.2,22.2,1.3,3.3,0.9,41.3,10.9,4.4,0,1.9,3.3,0.2,1.9,0.9,8.3,14.6,0.9,1.9,237.2,101.2,28.5,48.7,33.9,10.6,1.5,2.8,0.2,0.7,31.9,5.9,9.3,30,17.2,14.8,1.9,3.5,3.2,1.7,4.6,6.9,0.4,1.5,6.3,4.3,2,3.5,26.3,25.2,8.7,1.9,4.4,54.9,97.5,3.2,149.9,6.9,3.2,0.4,3.5,1.3,2,2.4,0.9,0.4,0.4,0,0,0.2,0.4,0.7,0.4,3,1.5,0.7,0.2,1.3,0.4,0.6,0.6,0.6,0.4,0,3.5,0.4,9.3,1.7,0.6,11.5,6.3,3,9.8,4.3,0.9,0.7,0,0,0.4,0,0.2,11.7,3.3,3.3,14.3,10.7,3.2,9.6,11.5,3.7,1.9,0.7,0.4,1.5,1.5,1.1,37.2,19.1,16.1,3.7,1.7,4.3,3.7
