_NAME_,Factor1,Factor2,Factor3,Factor4,loaded,factor5,factor6,factor7,factor8,factor9,factor,pole
ttr,-0.569977873,-0.250870907,0.2430082467,-0.156644434,1,,,,,,f1,-1
wrlengh,-0.851186877,0.0564366514,0.0156397468,-0.322380476,1,,,,,,f1,-1
that_del,0.1328754206,-0.140420151,0.434986836,0.6524631256,1,,,,,,f4,1
contrac,0.5834193715,-0.243469121,0.1653383974,0.1259886835,1,,,,,,f1,1
pro2,0.3935832869,-0.049437786,0.4596563461,0.1288248819,1,,,,,,f3,1
pdem,0.2811383098,0.1378883146,0.3796803885,0.010102479,1,,,,,,f3,1
gen_emph,0.6673319484,0.351724083,-0.01421383,0.0320012293,1,,,,,,f1,1
pro1,0.6128665139,0.2167892949,0.1863918658,-0.007110963,1,,,,,,f1,1
it,-0.170218256,-0.30830851,0.4662759441,-0.046382343,1,,,,,,f3,1
sub_cos,-0.238637012,-0.107625024,0.3720157907,0.1355746819,1,,,,,,f3,1
prtcle,0.3176819919,0.0417087241,0.0288419409,-0.06319619,1,,,,,,f1,1
pany,-0.025856279,-0.084201058,0.448569656,0.009702805,1,,,,,,f3,1
amplifr,0.5073911433,0.4789248151,-0.143439516,0.0142910783,1,,,,,,f1,1
wh_ques,0.0084225388,-0.106287158,0.3822566563,-0.034984252,1,,,,,,f3,1
pos_mod,0.3474688213,0.2678793661,0.3455619947,0.1108607702,1,,,,,,f1,1
o_and,0.5903648516,0.2667747795,-0.467547226,0.148682541,1,,,,,,f1,1
wh_cl,0.0880079776,-0.05059533,0.3734113951,0.2095276842,1,,,,,,f3,1
finlprep,0.5614727304,-0.172766428,-0.034453919,-0.04076331,1,,,,,,f1,1
prep,0.1229141674,0.4861823653,-0.714641841,-0.161301064,1,,,,,,f3,-1
adj_attr,-0.121875954,0.3358815372,-0.54492393,-0.326963993,1,,,,,,f3,-1
pro3,-0.02194454,-0.094853465,-0.000427802,0.5304930594,1,,,,,,f4,1
rel_obj,0.1372793569,0.6118524573,-0.398383013,-0.015214055,1,,,,,,f2,1
rel_subj,0.197321375,0.5620122768,-0.394871087,0.0382896008,1,,,,,,f2,1
rel_pipe,0.1140971451,0.5871364573,-0.365330661,-0.023402244,1,,,,,,f2,1
p_and,0.3292493869,0.2205449022,-0.453943865,-0.055824466,1,,,,,,f3,-1
n_nom,-0.340768121,0.608381587,-0.218008632,-0.258115447,1,,,,,,f2,1
tm_adv,-0.072110141,-0.294205257,0.3156636745,-0.020576425,1,,,,,,f3,1
pl_adv,-0.350934126,-0.623038281,0.2235239824,-0.075120511,1,,,,,,f2,-1
advs,0.6713740265,0.3051364027,-0.089726818,-0.075447093,1,,,,,,f1,1
prd_mod,0.6637939273,0.2317420865,0.1289167044,0.1326463939,1,,,,,,f1,1
sub_cnd,0.5285679343,0.1827241187,0.1991393327,0.1328989254,1,,,,,,f1,1
nec_mod,0.3829791834,0.3158510026,0.1412197528,0.0957277939,1,,,,,,f1,1
spl_aux,0.0938219454,0.529806022,-0.053559039,-0.006850026,1,,,,,,f2,1
conjncts,0.6043646847,0.2940238473,-0.132005689,-0.022351755,1,,,,,,f1,1
agls_psv,-0.051130548,0.4101720579,-0.366504159,-0.001455348,1,,,,,,f2,1
by_pasv,-0.033449914,0.4722115978,-0.367766847,-0.068755756,1,,,,,,f2,1
whiz_vbn,-0.713424861,-0.343204074,0.2677603222,-0.097171951,1,,,,,,f1,-1
sub_othr,0.2288322964,0.1034463217,-0.075558707,0.2403896508,0,,,,,,,
vcmp,0.3259993541,0.6543840696,-0.154549923,0.2723708741,1,,,,,,f2,1
allverb,-0.334555615,-0.489229138,0.7087034874,0.1733079274,1,,,,,,f3,1
that_rel,0.1784546359,0.2226980548,-0.276157366,0.1093731019,0,,,,,,,
jcmp,0.2592041143,0.4749909567,-0.061131177,0.1352989253,1,,,,,,f2,1
nonf_vth,0.1507174301,0.0087415374,0.0829573686,0.6543526649,1,,,,,,f4,1
att_vth,0.2611771849,0.40635425,0.133524426,0.2419099595,1,,,,,,f2,1
fact_vth,0.0963238724,0.1596402469,0.3275971492,0.4233673567,1,,,,,,f4,1
