By ^in++++=By
seven ^cd++++=seven
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
the ^ati++++=the
wall ^nn++++=wall
of ^in++++=of
the ^ati++++=the
American ^jj+atrb+++=American
embassy ^np++++=embassy
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
give ^vbi++++=give
back ^rb+phrv+++=back
the ^ati++++=the
sun ^nn++++=sun.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
high ^jj+atrb+++=high
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
cream ^nn++++=cream-colored,
- ^zz++++=EXTRAWORD
colored ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
clean ^jj++++=clean
in ^in++++=in
a ^at++++=a
way ^nn++++=way
that ^tht+rel+subj++=that
made ^vprf+++xvbn+=made
the ^ati++++=the
road ^nn++++=road
beside ^in+pl+++=beside
it ^pp3+it+++=it
look ^vb++++=look
dirtier ^jjr++++=dirtier.
. ^zz++++=EXTRAWORD
The ^ati++++=The
people ^nn++++=people
in ^in++++=in
the ^ati++++=the
visa ^nn++++=visa
queue ^nn++++=queue
stood ^vbd+++xvbn+=stood
along ^in++++=along
that ^dt+dem+++=that
road ^npl++++=road
with ^in++++=with
their ^pp$+pp3+++=their
folders ^nns+nom+++=folders
pressed ^vbd+++xvbn+=pressed
to ^in++++=to
their ^pp$+pp3+++=their
chests ^nns++++=chests
and ^cc++++=and
their ^pp$+pp3+++=their
shoes ^nns++++=shoes
whitening ^vwbg+++xvbg+=whitening
from ^in++++=from
dust ^nn++++=dust.
. ^zz++++=EXTRAWORD
A ^at++++=A
woman ^nn++++=woman
sold ^vwbn+++xvbn+=sold
sachets ^nns+++??+=sachets
of ^in++++=of
water ^nn++++=water
from ^in++++=from
a ^at++++=a
blue ^jj+atrb+++=blue
basin ^nn++++=basin.
. ^zz++++=EXTRAWORD
A ^at++++=A
boy ^nn++++=boy
carried ^vbd+++xvbn+=carried
passport ^nn++++=passport
photographs ^nns++++=photographs
in ^in++++=in
a ^at++++=a
transparent ^jj+atrb+++=transparent
envelope ^nn++++=envelope
and ^cc++++=and
called ^vbd+++xvbn+=called
out ^rp+pl+++=out
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
correct ^jj+atrb+++=correct
size ^nn++++=size,
, ^zz++++=EXTRAWORD
the ^ati++++=the
American ^jj+atrb+++=American
size ^nn++++=size,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
nonsense ^nn++++=nonsense
size ^nn++++=size
they ^pp3a+pp3+++=they
would ^md+prd+++=would
reject ^vb++++=reject
inside ^jjb++++=inside.
. ^zz++++=EXTRAWORD
Farther ^rbr++++=Farther
down ^rp++++=down,
, ^zz++++=EXTRAWORD
beneath ^in+pl+++=beneath
an ^at++++=an
almond ^nn++++=almond
tree ^nn++++=tree
that ^tht+rel+subj++=that
gave ^vbd+++xvbn+=gave
almost ^rb+hdg+++=almost
no ^at++++=no
