By ^in++++=By
the ^ati++++=the
time ^nn++++=time
Bibi ^np+++??+=Bibi
Haldar ^np+++??+=Haldar
was ^vbd+bedz+vrb++=was
twenty ^cd++++=twenty-nine,
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
illness ^nns+nom+++=illness
had ^vbd+hvd+aux++=had
acquired ^vprf+++xvbnx+=acquired
more ^ql++++=more
names ^nns++++=names
than ^cs+sub+++=than
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
saris ^vbz+++??+=saris.
. ^zz++++=EXTRAWORD
The ^ati++++=The
doctors ^nns++++=doctors
called ^vbd+++xvbn+=called
it ^pp3+it+++=it
epilepsy ^nn++++=epilepsy,
, ^zz++++=EXTRAWORD
hysteria ^nn++++=hysteria,
, ^zz++++=EXTRAWORD
nervous ^jj+atrb+++=nervous
collapse ^nn++++=collapse,
, ^zz++++=EXTRAWORD
uterine ^nn+++??+=uterine
agitation ^nn+nom+++=agitation,
, ^zz++++=EXTRAWORD
hereditary ^jj+atrb+++=hereditary
weakness ^nns+nom+++=weakness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
on ^in++++=on
one ^cd1++++=one
memorable ^jj+atrb+++=memorable
occasion ^nn++++=occasion,
, ^zz++++=EXTRAWORD
a ^at++++=a
vaporous ^jj+atrb+++=vaporous
disposition ^nn+nom+++=disposition.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rest ^nn++++=rest
of ^in++++=of
us ^pp1o+pp1+++=us
called ^vbd+++xvbn+=called
it ^pp3+it+++=it
Bibi ^np++++=Bibi's
's ^$++++=EXTRAWORD
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
announced ^vbd+vpub++xvbn+=announced
itself ^ppl++++=itself
without ^in++++=without
courtesy ^nn++++=courtesy.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
ration ^nn++++=ration
queue ^nn++++=queue
she ^pp3a+pp3+++=she
would ^md+prd+++=would
stiffen ^vb++++=stiffen
with ^in++++=with
a ^at++++=a
packet ^nn++++=packet
of ^in++++=of
lentils ^nns++++=lentils
pressed ^vbd+++xvbn+=pressed
to ^in++++=to
her ^pp$+pp3+++=her
chest ^nn++++=chest.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
among ^in++++=among
our ^pp$+pp1+++=our
bleaching ^nn++++=bleaching
sheets ^nns++++=sheets
and ^cc++++=and
petticoats ^nns++++=petticoats,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
drop ^vb++++=drop
the ^ati++++=the
bundle ^nn++++=bundle
of ^in++++=of
Haldar ^np++++=Haldar's
's ^$++++=EXTRAWORD
invoices ^nns+++??+=invoices
and ^cc++++=and
begin ^vb++++=begin
clawing ^jj++++=clawing
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
she ^pp3a+pp3+++=she
fell ^vbd+++xvbnx+=fell
beside ^in+pl+++=beside
the ^ati++++=the
fish ^nn++++=fish
seller ^nn++++=seller
and ^cc++++=and
sent ^vbd+++xvbn+=sent
a ^at++++=a
basin ^nn++++=basin
of ^in++++=of
carp ^nn+++??+=carp
sliding ^vwbg+++xvbg+=sliding
into ^in++++=into
the ^ati++++=the
gutter ^nn++++=gutter.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
time ^nn++++=time,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
evening ^nn++++=evening
prayer ^nn++++=prayer,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
rolled ^vbd+++xvbnx+=rolled
beneath ^in+pl+++=beneath
the ^ati++++=the
hibiscus ^nn++++=hibiscus
shrubs ^nns++++=shrubs
and ^cc++++=and
remained ^vbd+++xvbn+=remained
there ^rn+pl+++=there
until ^cs+sub+++=until
the ^ati++++=the
mosquitoes ^nns+++??+=mosquitoes
had ^vbd+hvd+aux++=had
gathered ^vprf+++xvbnx+=gathered
on ^in++++=on
her ^pp$+pp3+++=her
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
learned ^vbd+vprv++xvbn+=learned
the ^ati++++=the
signs ^nns++++=signs.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
left ^vbd+++xvbn+=left
eyelid ^nn+++??+=eyelid
flickered ^vbd+++xvbn+=flickered.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
breath ^nn++++=breath
shortened ^jj++++=shortened.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
complained ^vbd+vpub++xvbnx+=complained
of ^in++++=of
a ^at++++=a
penny ^nn++++=penny
taste ^nn++++=taste
in ^in++++=in
her ^pp$+pp3+++=her
mouth ^nn++++=mouth
and ^cc++++=and
a ^at++++=a
hammering ^jj+++xvbg+=hammering
behind ^in+pl+++=behind
her ^pp$+pp3+++=her
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
" ^zz++++="Hold
hold ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
coming ^vbg+++xvbgx+=coming.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
not ^xnot++not++=not
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
die ^vb++++=die
alone ^jj++++=alone."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
held ^vbd+vprv++xvbn+=held
her ^pp$+pp3+++=her
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
could ^md+pos+++=could.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
loosened ^vbd+++xvbn+=loosened
her ^pp$+pp3+++=her
blouse ^nn++++=blouse,
, ^zz++++=EXTRAWORD
removed ^xvbn+++xvbn+=removed
the ^ati++++=the
pins ^nns++++=pins
from ^in++++=from
her ^pp$+pp3+++=her
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
wedged ^xvbn+++xvbn+=wedged
a ^at++++=a
folded ^jj+atrb++xvbn+=folded
handkerchief ^nn++++=handkerchief
between ^in++++=between
her ^pp$+pp3+++=her
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
shook ^vbd+++xvbnx+=shook.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
spat ^vbd+++xvbnx+=spat.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
heels ^nns++++=heels
beat ^vbd+++xvbn+=beat
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
Afterward ^rb++++=Afterward
she ^pp3a+pp3+++=she
slept ^vbd+++xvbnx+=slept
as ^cs+sub+++=as
if ^cs+cnd+++=if
punished ^vbd+++xvbn+=punished,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
face ^nn++++=face
gray ^np++++=gray,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
hair ^nn++++=hair
pasted ^vbd+++xvbn+=pasted
to ^in++++=to
her ^pp$+pp3+++=her
cheeks ^nns++++=cheeks.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
knew ^vbd+vprv++xvbn+=knew
what ^wdt+who+whcl++=what
to ^to++++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
For ^in++++=For
years ^nns++++=years
every ^at++++=every
known ^nn++++=known
remedy ^vb++++=remedy
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
tried ^vpsv++agls+xvbnx+=tried.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
late ^jj+atrb+++=late
father ^nn++++=father,
, ^zz++++=EXTRAWORD
a ^at++++=a
clerk ^nn++++=clerk
in ^in++++=in
the ^ati++++=the
Land ^nn++++=Land
Records ^nns++++=Records
Office ^nn++++=Office,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
her ^pp$+pp3+++=her
to ^in++++=to
charitable ^jj+atrb+++=charitable
hospitals ^nns+nom+++=hospitals,
, ^zz++++=EXTRAWORD
private ^jj+atrb+++=private
chambers ^nns+nom+++=chambers,
, ^zz++++=EXTRAWORD
homeopathic ^jj+atrb+++=homeopathic
dispensaries ^nns++++=dispensaries,
, ^zz++++=EXTRAWORD
saints ^nns++++=saints'
' ^zz++++=EXTRAWORD
tombs ^nns++++=tombs,
, ^zz++++=EXTRAWORD
riverside ^nn+++??+=riverside
shrines ^nns++++=shrines,
, ^zz++++=EXTRAWORD
