**what ^nn+++??+=**What
the ^ati++++=the
Throat ^nn++++=Throat
Keeps** ^np+++??+=Keeps**
The ^ati++++=The
envelope ^nn++++=envelope
came ^vbd+++xvbn+=came
on ^in++++=on
a ^at++++=a
Tuesday ^nr++++=Tuesday,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
the ^ati++++=the
rain ^nn++++=rain
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
the ^ati++++=the
road ^nn++++=road
outside ^jjb++++=outside
your ^pp$+pp2+++=your
compound ^nn++++=compound
the ^ati++++=the
color ^nn++++=color
of ^in++++=of
ground ^nn++++=ground
pepper ^nn++++=pepper.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
mother ^npt++++=mother
held ^vbd+vprv++xvbn+=held
it ^pp3+it+++=it
by ^in++++=by
one ^cd1++++=one
corner ^npl++++=corner
because ^cs+cos+++=because
the ^ati++++=the
paper ^nn++++=paper
looked ^vbd+++xvbn+=looked
expensive ^jj++++=expensive
and ^cc+cls+++=and
because ^cs+cos+++=because
anything ^pn++++=anything
from ^in++++=from
America ^np++++=America
deserved ^vbd+++xvbn+=deserved
care ^nn++++=care.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
father ^npt++++=father
wiped ^vbd+++xvbn+=wiped
his ^pp$+pp3+++=his
hands ^nns++++=hands
on ^in++++=on
his ^pp$+pp3+++=his
trousers ^nns+nom+++=trousers
before ^in++++=before
opening ^xvbg+++xvbg+=opening
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
By ^in++++=By
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
neighbors ^nns++++=neighbors
you ^pp2+pp2+++=you
had ^vb+hv+aux++=had
not ^xnot++not++=not
spoken ^vprf+++xvbn+=spoken
to ^in++++=to
in ^in++++=in
months ^nns++++=months
were ^vbd+bed+aux++=were
calling ^nvbg+++xvbg+=calling
you ^pp2+pp2+++=you
nwanne ^nn+++??+=nwanne
and ^cc++++=and
saying ^nvbg+++xvbg+=saying
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
always ^rb++splt++=always
known ^vprf++tht0+xvbnx+=known
you ^pp2+pp2+++=you
would ^md+prd+++=would
go ^vb++++=go
far ^rb+pl+++=far.
. ^zz++++=EXTRAWORD
America ^np++++=America
entered ^vbd+++xvbn+=entered
the ^ati++++=the
room ^nn++++=room
before ^cs+sub+++=before
you ^pp2+pp2+++=you
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
arrived ^vbd+++xvbn+=arrived
as ^ql++++=as
a ^at++++=a
wide ^jj+atrb+++=wide
house ^nn++++=house
with ^in++++=with
white ^jj+atrb+++=white
pillars ^nns++++=pillars,
, ^zz++++=EXTRAWORD
a ^at++++=a
silver ^nn++++=silver
car ^nn++++=car,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
refrigerator ^nn++++=refrigerator
that ^tht+rel+subj++=that
made ^vprf+++xvbn+=made
ice ^nn++++=ice
without ^in++++=without
plastic ^nn++++=plastic
trays ^nns++++=trays.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
youngest ^jjt++++=youngest
brother ^npt++++=brother
asked ^vbd+vsua++xvbn+=asked
for ^in+ppvb+++=for
a ^at++++=a
basketball ^nn+++??+=basketball
jersey ^np++++=jersey.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
mother ^npt++++=mother
wanted ^vbd+++xvbn+=wanted
a ^at++++=a
handbag ^nn++++=handbag
with ^in++++=with
a ^at++++=a
real ^jj+atrb+++=real
designer ^nn+nom+++=designer
name ^nn++++=name,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
one ^cd1++++=one
spelled ^jj+++xvbn+=spelled
wrongly ^rb++++=wrongly.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
father ^npt++++=father
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
meant ^vbd+vprv+tht0+xvbn+=meant
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
something ^pn++++=something
useful ^jj++++=useful:
: ^zz++++=EXTRAWORD
a ^at++++=a
blood ^nn++++=blood-pressure
- ^zz++++=EXTRAWORD
pressure ^nn++++=EXTRAWORD
machine ^nn++++=machine,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
enough ^dt++++=enough
money ^nn++++=money
to ^to++++=to
repair ^vbi++++=repair
the ^ati++++=the
rust ^nn++++=rust-eaten
- ^zz++++=EXTRAWORD
eaten ^vbd+++xvbn+=EXTRAWORD
roof ^nn++++=roof
of ^in++++=of
his ^pp$+pp3+++=his
Peugeot ^np+++??+=Peugeot.
. ^zz++++=EXTRAWORD
The ^ati++++=The
night ^nn++++=night
before ^cs+sub+++=before
you ^pp2+pp2+++=you
left ^vbd+++xvbn+=left,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
aunties ^nns+++??+=aunties
sang ^vbd+++xvbn+=sang
too ^ql++++=too
loudly ^rb++++=loudly
and ^cc++++=and
pressed ^vbd+++xvbn+=pressed
folded ^vwbn+++xvbn+=folded
notes ^nns++++=notes
into ^in++++=into
your ^pp$+pp2+++=your
palm ^nn++++=palm.
. ^zz++++=EXTRAWORD
Crisp ^jj++++=Crisp
hundreds ^cds++++=hundreds,
, ^zz++++=EXTRAWORD
tired ^j+++xvbn+=tired
twenties ^cds++++=twenties,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
five ^cd++++=five-naira
- ^zz++++=EXTRAWORD
naira ^nn+++??+=EXTRAWORD
note ^nn++++=note
soft ^jj++++=soft
as ^in++++=as
cloth ^nn++++=cloth.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
mother ^npt++++=mother
told ^vbd+vpub++xvbn+=told
you ^pp2+pp2+++=you
not ^xnot++not++=not
to ^to++++=to
eat ^vbi++++=eat
food ^nn++++=food
from ^in++++=from
strangers ^nns+nom+++=strangers
on ^in++++=on
the ^ati++++=the
plane ^nn++++=plane.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
father ^npt++++=father
