Dear ^jj+atrb+++=Dear
Robbie ^np++++=Robbie,
, ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
grandmother ^nn+nom+++=grandmother
says ^vbz+vpub+tht0++=says
the ^ati++++=the
deer ^nn++++=deer
have ^vb+hv+aux++=have
eaten ^vprf+++xvbnx+=eaten
the ^ati++++=the
last ^ap++++=last
of ^in++++=of
the ^ati++++=the
tulips ^nns++++=tulips,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
red ^jj+atrb+++=red
ones ^cd1s++++=ones
she ^pp3a+pp3+++=she
planted ^vbd+++xvbnx+=planted
around ^rp++++=around
the ^ati++++=the
mailbox ^nn+++??+=mailbox
after ^cs+sub+++=after
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
her ^pp$+pp3+++=her
correctly ^rb+cnj+++=correctly,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
this ^dt+dem+++=this
fact ^nn++++=fact
has ^vbz+hvz+vrb++=has
not ^xnot++not++=not
improved ^jj+++xvbn+=improved
my ^pp$+pp1+++=my
standing ^vbg+++xvbg+=standing
that ^dt+pdem+++=that
deer ^vbz++++=deer
do ^vb+do+vrb++=do
not ^xnot++not++=not
generally ^rb+down+++=generally
care ^vb++++=care
for ^in+ppvb+++=for
tulips ^nns++++=tulips.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
care ^vb+vprv+++=care
for ^in+ppvb+++=for
these ^dt+pdem+++=these.
. ^zz++++=EXTRAWORD
Yesterday ^nr+tm+++=Yesterday
morning ^nn++++=morning
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
three ^cd++++=three
of ^in++++=of
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
a ^at++++=a
doe ^np++++=doe
and ^cc++++=and
two ^cd++++=two
nearly ^rb+down+++=nearly
grown ^xvbn+++xvbn+=grown
fawns ^nns+++??+=fawns,
, ^zz++++=EXTRAWORD
all ^abn++++=all
chewing ^jj+++xvbg+=chewing
with ^in++++=with
the ^ati++++=the
solemn ^jj+atrb+++=solemn
concentration ^nn+nom+++=concentration
of ^in++++=of
people ^nns++++=people
reading ^vwbg+++xvbg+=reading
legal ^jj+atrb+++=legal
documents ^nns+nom+++=documents.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
waved ^vbd+++xvbnx+=waved
my ^pp$+pp1+++=my
blue ^jj+atrb+++=blue
mug ^nn++++=mug
at ^in++++=at
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me
as ^cs+sub+++=as
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
were ^vbd+bed+vrb++=were
the ^ati++++=the
trespasser ^nn++++=trespasser.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
the ^ati++++=the
answer ^nn++++=answer
to ^in++++=to
your ^pp$+pp2+++=your
message ^nn+nom+++=message.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
grandmother ^nn+nom+++=grandmother
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I
begin ^vb++++=begin
with ^in++++=with
the ^ati++++=the
weather ^nn++++=weather
or ^cc++++=or
the ^ati++++=the
animals ^nns+nom+++=animals
whenever ^nn+nom+++=whenever
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
avoiding ^vbg+++xvbgx+=avoiding
something ^pn++++=something,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
would ^md+prd+++=would
mean ^vb+vprv+tht0++=mean
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
avoided ^vprf+++xvbnx+=avoided
most ^ql+emph+++=most
things ^nns++++=things
for ^in++++=for
fifty ^cd++++=fifty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
years ^nns++++=years.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+vrb++=is
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
pretending ^vbg+++xvbg+=pretending
not ^xnot++not++=not
to ^to++++=to
listen ^vbi++++=listen
to ^in++++=to
the ^ati++++=the
scratch ^nn++++=scratch
of ^in++++=of
this ^dt+dem+++=this
pen ^nn++++=pen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
blue ^jj+atrb+++=blue
mug ^nn++++=mug,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
one ^cd1++++=one
you ^pp2+pp2+++=you
made ^vbd+++xvbn+=made
in ^in++++=in
sixth ^od++++=sixth
grade ^nn++++=grade,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
handle ^vb++++=handle
too ^ql++++=too
small ^jj++++=small
for ^in++++=for
a ^at++++=a
human ^jj+atrb+++=human
finger ^nn++++=finger.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
still ^rb++++=still
use ^vb++++=use
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
may ^md+pos+++=may
count ^vb++++=count
as ^ql++++=as
loyalty ^nn++++=loyalty
under ^in++++=under
the ^ati++++=the
old ^jj+atrb+++=old
definition ^nn+nom+++=definition.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
read ^vbd+vprv++xvbnx+=read
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
wrote ^vbd+vprv++xvbn+=wrote
about ^rp++++=about
J ^zz++++=J.
. ^zz++++=EXTRAWORD
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
burned ^vbd+++xvbn+=burned
the ^ati++++=the
second ^od++++=second
page ^nn++++=page
in ^in++++=in
the ^ati++++=the
grill ^nn++++=grill,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
burned ^vbd+++xvbnx+=burned
the ^ati++++=the
first ^rb++++=first
as ^rb++++=as
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=did
not ^xnot++not++=not
ask ^vb++++=ask,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stirred ^vbd+++xvbn+=stirred
the ^ati++++=the
ashes ^nns++++=ashes
with ^in++++=with
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
long ^jj+atrb+++=long
metal ^nn++++=metal
skewers ^nns+nom+++=skewers.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
sure ^jj++++=sure
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
necessary ^jj+pred+++=necessary.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
sure ^jj++++=sure
anything ^pn++++=anything
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
until ^in+strn+++=until,
, ^zz++++=EXTRAWORD
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
From ^in++++=From
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
understand ^vb+vprv+++=understand
and ^cc++++=and
I ^pp1a+pp1+++=I
understand ^vb+vprv+++=understand
only ^ap+down+++=only
what ^wdt+who+++=what
you ^pp2+pp2+++=you
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
J ^zz++++=J.
. ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
in ^rb+phrv+++=in
to ^in++++=to
answer ^nn++++=answer
a ^at++++=a
" ^zz++++="simple
simple ^jj+atrb+++=EXTRAWORD
question ^nn+nom+++=question"
" ^zz++++=EXTRAWORD
about ^rp++++=about
G ^zz++++=G.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
whether ^cs+who+++=whether
G ^zz++++=G.
. ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
proper ^jj+atrb+++=proper
paperwork ^nn+++??+=paperwork
and ^cc+cls+++=and
whether ^cs+who+++=whether
M ^zz++++=M.
. ^zz++++=EXTRAWORD
knew ^vb+++xvbn+=knew
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
not ^xnot++not++=not.
