# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
What ^wdt+who+++=What
the ^ati++++=the
Tree ^nn++++=Tree
Kept ^vbd+++xvbn+=Kept
The ^ati++++=The
first ^od++++=first
thing ^nn++++=thing
you ^pp2+pp2+++=you
notice ^nn++++=notice
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
the ^ati++++=the
avocado ^nn+++??+=avocado
tree ^nn++++=tree
is ^vbz+bez+vrb++=is
smaller ^jjr+pred+++=smaller.
. ^zz++++=EXTRAWORD
For ^in++++=For
eighteen ^cd++++=eighteen
years ^nns++++=years
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
lived ^vprf+++xvbnx+=lived
in ^in++++=in
your ^pp$+pp2+++=your
mind ^nn++++=mind
as ^ql++++=as
a ^at++++=a
green ^jj+atrb+++=green
country ^nn++++=country
of ^in++++=of
its ^pp$+it+++=its
own ^ap++++=own,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
branches ^nns++++=branches
shouldering ^vwbg+++xvbg+=shouldering
the ^ati++++=the
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
roots ^nns++++=roots
spreading ^vwbg+++xvbg+=spreading
beneath ^in+pl+++=beneath
Grandmama ^np++++=Grandmama's
's ^$++++=EXTRAWORD
yard ^nn++++=yard
and ^cc++++=and
under ^in++++=under
the ^ati++++=the
walls ^nns++++=walls
and ^cc++++=and
perhaps ^rb++++=perhaps
beneath ^in+pl+++=beneath
the ^ati++++=the
red ^jj+atrb+++=red
road ^npl++++=road
outside ^jjb++++=outside.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
the ^ati++++=the
highest ^jjt+atrb+++=highest
branch ^nn++++=branch
barely ^rb+down+++=barely
reaches ^vbz++++=reaches
the ^ati++++=the
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
Lichen ^np+++??+=Lichen
powders ^nns+nom+++=powders
the ^ati++++=the
trunk ^nn++++=trunk.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
limb ^nn++++=limb
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
cut ^vpsv++agls+xvbnx+=cut
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
a ^at++++=a
pale ^nn++++=pale
circular ^jj+atrb+++=circular
scar ^nn++++=scar
in ^in++++=in
the ^ati++++=the
wood ^nn++++=wood.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
stand ^vb++++=stand
beneath ^in+pl+++=beneath
it ^pp3+it+++=it
with ^in++++=with
your ^pp$+pp2+++=your
suitcase ^nn++++=suitcase
still ^rb++++=still
in ^in++++=in
the ^ati++++=the
car ^nn++++=car
and ^cc++++=and
think ^vb+vprv+++=think:
: ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
cannot ^md+pos+not++=cannot
be ^vb+be+vrb++=be
the ^ati++++=the
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Dozie ^np+++??+=Dozie
says ^vbz+vpub+++=says
your ^pp$+pp2+++=your
name ^nn++++=name.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
comes ^vbz++++=comes
around ^in++++=around
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
wearing ^vwbg+++xvbg+=wearing
rubber ^nn++++=rubber
slippers ^nns+nom+++=slippers
and ^cc++++=and
a ^at++++=a
white ^jj+atrb+++=white
shirt ^nn++++=shirt
gone ^vbd+++xvbn+=gone
yellow ^jj++++=yellow
at ^rb++++=at
the ^ati++++=the
collar ^nn++++=collar.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
taller ^jjr+pred+++=taller
than ^in++++=than
you ^pp2+pp2+++=you
remember ^nn+nom+++=remember,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
a ^at++++=a
foolish ^jj+atrb+++=foolish
thought ^nn+++xvbn+=thought.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
taller ^jjr+pred+++=taller.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
eleven ^cd++++=eleven
when ^wrb+who+++=when
you ^pp2+pp2+++=you
last ^rb++++=last
saw ^vbd+vprv++xvbn+=saw
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
were ^vbd+bed+vrb++=were
ten ^cd++++=ten.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
become ^vb++++=become
adults ^nns++++=adults
even ^rb++++=even
when ^wrb+who+++=when
you ^pp2+pp2+++=you
stop ^vb++++=stop
looking ^vbg+++xvbg+=looking
at ^rb++++=at
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
hugs ^vbz++++=hugs
you ^pp2+pp2+++=you
carefully ^rb+cnj+++=carefully,
, ^zz++++=EXTRAWORD
touching ^jj+++xvbg+=touching
only ^rb+down+++=only
your ^pp$+pp2+++=your
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
body ^nn++++=body
smells ^nns++++=smells
of ^in++++=of
sun ^nn++++=sun
and ^cc++++=and
soap ^nn++++=soap.
. ^zz++++=EXTRAWORD
" ^zz++++="Nwadiana,"
nwadiana ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
Cousin ^nn++++=Cousin,
, ^zz++++=EXTRAWORD
daughter ^nn+nom+++=daughter
of ^in++++=of
our ^pp$+pp1+++=our
daughter ^nn+nom+++=daughter.
. ^zz++++=EXTRAWORD
The ^ati++++=The
word ^nn++++=word
enters ^vbz++++=enters
you ^pp2+pp2+++=you
more ^rbr++++=more
easily ^rb++++=easily
than ^in++++=than
you ^pp2+pp2+++=you
expect ^vb+vprv+++=expect.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
not ^xnot++not++=not
heard ^vprf++tht0+xvbn+=heard
it ^pp3+it+++=it
spoken ^vbd+++xvbn+=spoken
to ^in++++=to
you ^pp2+pp2+++=you
since ^in++++=since
Grandmama ^np++++=Grandmama's
's ^$++++=EXTRAWORD
funeral ^nn++++=funeral,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
women ^nns++++=women
wrapped ^vbd+++xvbn+=wrapped
in ^in++++=in
black ^jj+atrb+++=black
cloth ^nn++++=cloth
held ^vbd+vprv++xvbn+=held
your ^pp$+pp2+++=your
face ^nn++++=face
between ^in++++=between
their ^pp$+pp3+++=their
palms ^nns++++=palms
and ^cc++++=and
called ^vwbn+++xvbn+=called
you ^pp2+pp2+++=you
poor ^jj+atrb+++=poor
child ^nn++++=child,
, ^zz++++=EXTRAWORD
poor ^jj+atrb+++=poor
motherless ^jj+atrb+++=motherless
child ^nn++++=child,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
your ^pp$+pp2+++=your
mother ^nn++++=mother
was ^vbd+bedz+vrb++=was
alive ^jj+pred+++=alive
and ^cc+phrs+++=and
standing ^jj+++xvbg+=standing
nearby ^jjb++++=nearby.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
you ^pp2+pp2+++=you
might ^md+pos+++=might
not ^xnot++not++=not
come ^vb++++=come,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Dozie ^np+++??+=Dozie
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
tell ^vb++++=tell
him ^pp3o+pp3+++=him
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
promised ^vprf+++xvbnx+=promised.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looks ^nns++++=looks
at ^rb++++=at
the ^ati++++=the
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
perhaps ^rb++++=perhaps
you ^pp2+pp2+++=you
only ^rb+down+++=only
imagine ^vb+vprv+++=imagine
this ^dt+dem+++=this
because ^cs+cos+++=because
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
looking ^vbg+++xvbgx+=looking
at ^rb++++=at
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
summer ^nn++++=summer
Nonso ^np+++??+=Nonso
died ^vbd+++xvbn+=died
was ^vbd+bedz+vrb++=was
the ^ati++++=the
summer ^nn++++=summer
Grandmama ^np+++??+=Grandmama
taught ^vwbn+vsua++xvbn+=taught
you ^pp2+pp2+++=you
how ^wrb+who+++=how
to ^in++++=to
test ^nn++++=test
mangoes ^nns++++=mangoes
with ^in++++=with
your ^pp$+pp2+++=your
thumbs ^nns++++=thumbs.
. ^zz++++=EXTRAWORD
Too ^ql++++=Too
firm ^jj++++=firm
meant ^vbd+vprv++xvbn+=meant
sourness ^nns+nom+++=sourness
that ^tht+rel+subj++=that
tightened ^vbd+++xvbn+=tightened
your ^pp$+pp2+++=your
jaw ^nn++++=jaw.
. ^zz++++=EXTRAWORD
Too ^ql++++=Too
soft ^jj++++=soft
meant ^vbd+vprv++xvbn+=meant
worms ^nns++++=worms
or ^cc++++=or
brown ^jj+atrb+++=brown
rot ^nn++++=rot.
. ^zz++++=EXTRAWORD
The ^ati++++=The
right ^jj+atrb+++=right
mango ^nn+++??+=mango
gave ^vbd+++xvbn+=gave
a ^rb++++=a
little ^rb"++++=little
beneath ^in+pl+++=beneath
the ^ati++++=the
skin ^nn++++=skin,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
waiting ^vbg+++xvbgx+=waiting
for ^in++++=for
your ^pp$+pp2+++=your
touch ^nn++++=touch.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
