What ^wdt+who+++=What
makes ^vbz++++=makes
a ^at++++=a
man ^nn++++=man
fall ^nn++++=fall
in ^in++++=in
love ^nn++++=love
with ^in++++=with
a ^at++++=a
house ^nn++++=house?
? ^zz++++=EXTRAWORD
Loneliness ^nns+nom+++=Loneliness,
, ^zz++++=EXTRAWORD
probably ^rb++++=probably.
. ^zz++++=EXTRAWORD
Money ^nn++++=Money
helps ^vbz++++=helps.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
both ^abx++++=both.
. ^zz++++=EXTRAWORD
The ^ati++++=The
agent ^nn++++=agent
telephoned ^vbd+vpub++xvbn+=telephoned
on ^in++++=on
a ^at++++=a
wet ^jj+atrb+++=wet
Tuesday ^nr++++=Tuesday
in ^in++++=in
January ^nr+nom+++=January
and ^cc++++=and
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
something ^pn++++=something
unusual ^jj++++=unusual,
, ^zz++++=EXTRAWORD
by ^in++++=by
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
generally ^rb+down+++=generally
meant ^vbd+vprv+tht0+xvbn+=meant
something ^pn++++=something
with ^in++++=with
bad ^jj+atrb+++=bad
wiring ^nn++++=wiring.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Harrowgate ^np+nom++??+=Harrowgate
was ^vbd+bedz+vrb++=was
unusual ^jj+pred+++=unusual.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
sat ^vbd+++xvbn+=sat
above ^jjb++++=above
the ^ati++++=the
river ^nn++++=river
on ^in++++=on
two ^cd++++=two
hundred ^cd++++=hundred
acres ^nns++++=acres
of ^in++++=of
folded ^nn++++=folded
pasture ^vb++++=pasture
and ^cc++++=and
exhausted ^jj+atrb++xvbn+=exhausted
orchard ^nn++++=orchard,
, ^zz++++=EXTRAWORD
a ^at++++=a
gray ^np++++=gray
stone ^nn++++=stone
house ^npl++++=house
built ^vbd+++xvbn+=built
in ^in++++=in
1791 ^cd+date+++=1791,
, ^zz++++=EXTRAWORD
with ^in++++=with
chimneys ^nns++++=chimneys
like ^in++++=like
raised ^xvbn+++xvbn+=raised
fingers ^nns+nom+++=fingers
and ^cc++++=and
thirteen ^cd++++=thirteen
windows ^nns++++=windows
across ^in+pl+++=across
the ^ati++++=the
front ^nn++++=front.
. ^zz++++=EXTRAWORD
Thirteen ^cd++++=Thirteen
exactly ^rb++++=exactly.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
counted ^vbd+++xvbnx+=counted
them ^pp3o+pp3+++=them
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
out ^rb+phrv+++=out
of ^in++++=of
the ^ati++++=the
car ^nn++++=car.
. ^zz++++=EXTRAWORD
Mel ^np++++=Mel
Hays ^np+++??+=Hays
was ^vbd+bedz+aux++=was
waiting ^vbg+++xvbgx+=waiting
under ^in++++=under
the ^ati++++=the
portico ^nn+++??+=portico.
. ^zz++++=EXTRAWORD
A ^at++++=A
narrow ^jj++++=narrow
old ^jj++++=old
fellow ^jjb++++=fellow
in ^in++++=in
a ^at++++=a
green ^jj+atrb+++=green
cardigan ^nn+nom+++=cardigan,
, ^zz++++=EXTRAWORD
no ^at++++=no
coat ^nn++++=coat
despite ^in++++=despite
the ^ati++++=the
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
white ^jj+atrb+++=white
hair ^nn++++=hair
combed ^vbd+++xvbn+=combed
straight ^rb++++=straight
back ^jjb++++=back
and ^cc++++=and
a ^at++++=a
face ^nn++++=face
so ^ql++++=so
thoroughly ^rb+amp+++=thoroughly
lined ^vbd+++xvbn+=lined
it ^pp3+it+++=it
looked ^vbd+++xvbn+=looked
engraved ^vbd+++xvbn+=engraved.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Vale ^np++++=Vale,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub+tht0+xvbnx+=said
I ^pp1a+pp1+++=I
hoped ^vbd+vprv++xvbnx+=hoped
so ^ql++++=so.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
liked ^vbd+++xvbn+=liked
each ^ppls++++=each
other ^ap++++=other
immediately ^rb+tm+++=immediately.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
the ^ati++++=the
first ^od++++=first
vanity ^nn++++=vanity
in ^in++++=in
this ^dt+dem+++=this
account ^nn++++=account
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
can ^md+pos+++=can
identify ^vb++++=identify
the ^ati++++=the
moment ^nn++++=moment
another ^dt++++=another
person ^nn++++=person
comes ^vbz++++=comes
to ^to++++=to
like ^vbi++++=like
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
always ^rb++splt++=always
considered ^vprf++tht0+xvbnx+=considered
myself ^ppl+pp1+++=myself
perceptive ^jj++++=perceptive.
. ^zz++++=EXTRAWORD
Often ^rb++++=Often
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
perceived ^vbd+vprv++xvbnx+=perceived
was ^vbd+bedz+vrb++=was
merely ^rb+down+++=merely
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted.
. ^zz++++=EXTRAWORD
Mel ^np++++=Mel's
's ^$++++=EXTRAWORD
wife ^nn++++=wife
was ^vbd+bedz+vrb++=was
upstairs ^jjb+pred+++=upstairs.
. ^zz++++=EXTRAWORD
Cancer ^nn++++=Cancer,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me
quietly ^rb+cnj+++=quietly,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
agent ^nn++++=agent
shook ^vbd+++xvbn+=shook
rain ^nn++++=rain
from ^in++++=from
her ^pp$+pp3+++=her
umbrella ^nn++++=umbrella
in ^in++++=in
the ^ati++++=the
hall ^nn++++=hall.
. ^zz++++=EXTRAWORD
The ^ati++++=The
medical ^jj+atrb+++=medical
expenses ^nns++++=expenses
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
considerable ^jj++++=considerable.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
dwell ^vb++++=dwell
on ^in+ppvb+++=on
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
touched ^vbd+++xvbnx+=touched
the ^ati++++=the
banister ^nn+nom+++=banister
with ^in++++=with
two ^cd++++=two
fingers ^nns+nom+++=fingers
and ^cc++++=and
said ^vbd+vpub+tht0+xvbn+=said
the ^ati++++=the
walnut ^nn++++=walnut
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
from ^in+ppvb+++=from
the ^ati++++=the
property ^nn++++=property,
, ^zz++++=EXTRAWORD
probably ^rb++++=probably
the ^ati++++=the
north ^nr+pl+++=north
woods ^nns++++=woods,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
papers ^nns++++=papers
were ^vbd+bed+vrb++=were
unclear ^nn+++??+=unclear.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
how ^wrb+who+++=how
we ^pp1a+pp1+++=we
began ^vbd+++xvbn+=began:
: ^zz++++=EXTRAWORD
not ^xnot++not++=not
with ^in++++=with
money ^nn++++=money,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
walnut ^nn++++=walnut.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
me ^pp1o+pp1+++=me
through ^in++++=through
every ^at++++=every
room ^nn++++=room.
. ^zz++++=EXTRAWORD
The ^ati++++=The
agent ^nn++++=agent
followed ^vbd+vprv++xvbn+=followed
for ^in++++=for
a ^at++++=a
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
gave ^vbd+++xvbn+=gave
up ^rb+phrv+++=up
and ^cc++++=and
sat ^vpsv++agls+xvbn+=sat
in ^in++++=in
the ^ati++++=the
library ^nn+nom+++=library
tapping ^vwbg+++xvbg+=tapping
at ^rb++++=at
her ^pp3o+pp3+++=her
telephone ^nn++++=telephone.
. ^zz++++=EXTRAWORD
Mel ^np++++=Mel
showed ^vbd+vprv++xvbn+=showed
me ^pp1o+pp1+++=me
musket ^nn+++??+=musket
scoring ^vwbg+++xvbg+=scoring
beside ^in+pl+++=beside
the ^ati++++=the
pantry ^nn++++=pantry
door ^nn++++=door,
, ^zz++++=EXTRAWORD
an ^at++++=an
iron ^nn++++=iron
trivet ^vb+++??+=trivet
made ^vpsv++by+xvbn+=made
by ^in++++=by
a ^at++++=a
local ^jj+atrb+++=local
blacksmith ^nn++++=blacksmith,
, ^zz++++=EXTRAWORD
a ^at++++=a
cupboard ^nn++++=cupboard
where ^wrb+who+++=where
traveling ^nn+nom+++=traveling
clergy ^nns++++=clergy
were ^vbd+bed+aux++=were
said ^vpsv++agls+xvbnx+=said
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
hidden ^vprf+++xvbnx+=hidden
communion ^nn++++=communion
silver ^nn++++=silver
during ^in++++=during
the ^ati++++=the
troubles ^nns++++=troubles.
. ^zz++++=EXTRAWORD
Which ^whp+who+++=Which
troubles ^nns++++=troubles?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
always ^rb++++=always
troubles ^nns++++=troubles
if ^cs+cnd+++=if
a ^at++++=a
house ^npl++++=house
stands ^vbz++++=stands
long ^rb++++=long
enough ^qlp++++=enough.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside
were ^vbd+bed+vrb++=were
two ^cd++++=two
limestone ^nn++++=limestone
hitching ^nn++++=hitching
posts ^nns++++=posts,
, ^zz++++=EXTRAWORD
a ^at++++=a
smokehouse ^nn+++??+=smokehouse
leaning ^vwbg+++xvbg+=leaning
gallantly ^rb++++=gallantly
toward ^in++++=toward
collapse ^nn++++=collapse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
execution ^nn+nom+++=execution
oak ^nn++++=oak.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
one ^cd1++++=one
hanging ^nvbg+++xvbg+=hanging,
, ^zz++++=EXTRAWORD
Mel ^np++++=Mel
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
People ^nns++++=People
call ^vb++++=call
it ^pp3+it+++=it
the ^ati++++=the
execution ^nn+nom+++=execution
oak ^nn++++=oak
because ^cs+cos+++=because
it ^pp3+it+++=it
sounds ^nns++++=sounds
better ^jjr++++=better
than ^in++++=than
the ^ati++++=the
tree ^nn++++=tree
where ^wrb+who+++=where
a ^at++++=a
horse ^nn++++=horse
thief ^nn++++=thief
was ^vbd+bedz+aux++=was
hanged ^vpsv++agls+xvbnx+=hanged
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
admired ^vbd+++xvbnx+=admired
him ^pp3o+pp3+++=him
for ^in++++=for
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
climbed ^vbd+++xvbn+=climbed
the ^ati++++=the
back ^jjb+atrb+++=back
stairs ^nns++++=stairs,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
wound ^xvbn+++xvbn+=wound
so ^pn++++=so
tightly ^rb++++=tightly
I ^pp1a+pp1+++=I
had ^md"++pmd"++=had
to ^md+nec+++=to
turn ^vb++++=turn
my ^pp$+pp1+++=my
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
entered ^vbd+++xvbn+=entered
the ^ati++++=the
servants ^nns+nom+++=servants'
' ^zz++++=EXTRAWORD
rooms ^nns++++=rooms
beneath ^in+pl+++=beneath
the ^ati++++=the
eaves ^nns++++=eaves.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
children ^nns++++=children's
's ^$++++=EXTRAWORD
initials ^nns+nom+++=initials
cut ^vbd+++xvbn+=cut
into ^in++++=into
one ^cd1++++=one
sill ^nn++++=sill,
, ^zz++++=EXTRAWORD
a ^at++++=a
wooden ^jj+atrb+++=wooden
soldier ^nn++++=soldier
without ^in++++=without
an ^at++++=an
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
three ^cd++++=three
dead ^jj+atrb+++=dead
flies ^nns++++=flies
in ^in++++=in
a ^at++++=a
blue ^jj+atrb+++=blue
glass ^nn++++=glass
bottle ^nn++++=bottle.
. ^zz++++=EXTRAWORD
The ^ati++++=The
roof ^nn++++=roof
sighed ^vbd+++xvbn+=sighed
in ^in++++=in
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
hear ^vb+vprv+++=hear
rain ^nn++++=rain
ticking ^vwbg+++xvbg+=ticking
over ^rp++++=over
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
how ^wrb+who+++=how
can ^md+pos+++=can
I ^pp1a+pp1+++=I
say ^vb+vpub+tht0++=say
it ^pp3+it+++=it
without ^in++++=without
sounding ^nn++++=sounding
like ^in++++=like
a ^at++++=a
fool ^nn++++=fool?
? ^zz++++=EXTRAWORD
received ^j+++xvbn+=received.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes.
. ^zz++++=EXTRAWORD
Received ^xvbn+++xvbn+=Received
by ^in++++=by
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Already ^rb++++=Already
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
myself ^ppl+pp1+++=myself
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
repair ^vb++++=repair
the ^ati++++=the
orchard ^nn++++=orchard,
, ^zz++++=EXTRAWORD
catalog ^nn+++??+=catalog
the ^ati++++=the
letters ^nns+nom+++=letters
in ^in++++=in
the ^ati++++=the
library ^nn+nom+++=library,
, ^zz++++=EXTRAWORD
restore ^vb++++=restore
the ^ati++++=the
smokehouse ^nn+++??+=smokehouse
but ^cc++++=but
not ^xnot++not++=not
too ^ql++++=too
much ^ap++++=much.
. ^zz++++=EXTRAWORD
Restoration ^nn+nom+++=Restoration
can ^md+pos+++=can
be ^vb+be+aux++=be
murder ^vb++++=murder
conducted ^vbd+++xvbn+=conducted
with ^in++++=with
excellent ^jj+atrb+++=excellent
taste ^nn++++=taste.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
lead ^vb++++=lead
guests ^nns++++=guests
through ^in++++=through
the ^ati++++=the
passage ^nn+nom+++=passage
behind ^in+pl+++=behind
the ^ati++++=the
dining ^jj+atrb++xvbg+=dining
room ^nn++++=room
and ^cc++++=and
casually ^rb++++=casually
mention ^nn+nom+++=mention
that ^tht+vcmp+++=that
a ^at++++=a
governor ^npt++++=governor
had ^vbd+hvd+aux++=had
slept ^vprf+++xvbnx+=slept
there ^rn+pl+++=there
in ^in++++=in
1814 ^cd+date+++=1814.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
become ^vb++++=become,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
owner ^nn++++=owner
exactly ^rb+cnj+++=exactly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
steward ^nn++++=steward.
. ^zz++++=EXTRAWORD
The ^ati++++=The
distinction ^nn+nom+++=distinction
pleased ^vbd+++xvbn+=pleased
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
also ^rb++++=also
nonsense ^nn++++=nonsense.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
own ^vbi++++=own
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
At ^rb++++=At
lunch ^vb++++=lunch
Mel ^np++++=Mel
and ^cc++++=and
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
at ^in++++=at
a ^at++++=a
scrubbed ^jj+atrb++xvbn+=scrubbed
pine ^nn++++=pine
table ^nn++++=table
while ^cs+sub+++=while
the ^ati++++=the
agent ^nn++++=agent
discussed ^vwbn+++xvbn+=discussed
acreage ^nn+nom+++=acreage
