We ^pp1a+pp1+++=We
called ^vbd+++xvbn+=called
Gloria ^np++++=Gloria
Finch ^np++++=Finch
" ^zz++++="the
the ^ati++++=EXTRAWORD
Finch ^np++++=Finch,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^whp+who+++=which
shows ^vbz+vprv+++=shows
you ^pp2+pp2+++=you
what ^wdt+who+++=what
kind ^rb++++=kind
of ^rb"++++=of
town ^nn++++=town
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
last ^rb++++=last
name ^nn++++=name
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
Finch ^np++++=Finch.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Bell ^nn++++=Bell.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
about ^in++++=about
the ^ati++++=the
nickname ^nn++++=nickname
until ^in++++=until
years ^nns++++=years
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
only ^ap+down+++=only
said ^vprf+++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
birds ^nns++++=birds
are ^vb+ber+vrb++=are
nice ^jj+pred+++=nice,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^whp+who+++=which
made ^vprf+++xvbn+=made
some ^dti++++=some
of ^in++++=of
us ^pp1o+pp1+++=us
feel ^vb+vprv+++=feel
worse ^jjr++++=worse
and ^cc++++=and
others ^aps++++=others
feel ^vb+vprv+++=feel
vindicated ^np++++=vindicated,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
exactly ^rb++++=exactly
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
thing ^nn++++=thing
Gloria ^np++++=Gloria
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
a ^at++++=a
way ^nn++++=way
of ^in++++=of
entering ^xvbg+++xvbg+=entering
a ^at++++=a
room ^nn++++=room
in ^in++++=in
three ^cd++++=three
quick ^jj+atrb+++=quick
movements ^nns+nom+++=movements
head ^jjb++++=head
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
shoulders ^nns+nom+++=shoulders
second ^rb+cnj+++=second,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
her ^pp$+pp3+++=her
catching ^vbg+++xvbg+=catching
up ^rp++++=up
and ^cc++++=and
a ^at++++=a
way ^nn++++=way
of ^in++++=of
pecking ^xvbg+++xvbg+=pecking
at ^rb++++=at
her ^pp$+pp3+++=her
lunch ^vb++++=lunch
with ^in++++=with
the ^ati++++=the
tines ^nns+++??+=tines
of ^in++++=of
a ^at++++=a
plastic ^nn++++=plastic
fork ^nn++++=fork.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
hair ^nn++++=hair
was ^vbd+bedz+vrb++=was
the ^ati++++=the
color ^nn++++=color
of ^in++++=of
old ^jj+atrb+++=old
straw ^nn++++=straw.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
nose ^nn++++=nose
came ^vbd+++xvbn+=came
to ^in++++=to
a ^at++++=a
determined ^jj+atrb++xvbn+=determined
point ^nn++++=point.
. ^zz++++=EXTRAWORD
Behind ^rp+pl+++=Behind
her ^pp3o+pp3+++=her
large ^jj+atrb+++=large
brown ^jj+atrb+++=brown
glasses ^nns++++=glasses,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
made ^vbd+++xvbn+=made
nervous ^jj+atrb+++=nervous
trips ^nns++++=trips
from ^in++++=from
face ^nn++++=face
to ^to++++=to
face ^vbi++++=face,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
checking ^nvbg+++xvbg+=checking
whether ^cs+who+++=whether
everyone ^pn++++=everyone
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
fed ^vpsv++agls+xvbnx+=fed.
. ^zz++++=EXTRAWORD
" ^zz++++="Cold
cold ^jj+atrb+++=EXTRAWORD
one ^pn++++=one,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
somebody ^pn++++=somebody
would ^md+prd+++=would
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
cold ^jj+pred+++=cold,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gloria ^np++++=Gloria
would ^md+prd+++=would
answer ^vb++++=answer.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
someone ^pn++++=someone
would ^md+prd+++=would
look ^vb++++=look
out ^rp+pl+++=out
the ^ati++++=the
window ^nn++++=window
of ^in++++=of
Harlow ^np++++=Harlow's
's ^$++++=EXTRAWORD
Home ^nr++++=Home
and ^cc++++=and
Feed ^nn++++=Feed
and ^cc++++=and
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Coming
coming ^vbg+++xvbg+=EXTRAWORD
down ^rp++++=down
hard ^jj++++=hard."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Raining
raining ^vbg+++xvbg+=EXTRAWORD
cats ^nns++++=cats
and ^cc++++=and
dogs ^nns++++=dogs,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gloria ^np++++=Gloria
would ^md+prd+++=would
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
seem ^vb+seem+++=seem
empty ^jj++++=empty,
, ^zz++++=EXTRAWORD
exactly ^rb++++=exactly.
. ^zz++++=EXTRAWORD
Empty ^jj+atrb+++=Empty
things ^nns++++=things
echo ^nn++++=echo.
. ^zz++++=EXTRAWORD
Gloria ^np++++=Gloria
absorbed ^vbd+++xvbn+=absorbed
whatever ^nn+nom+++=whatever
was ^vbd+bedz+aux++=was
said ^vpsv++agls+xvbnx+=said
to ^to+vcmp+++=to
her ^pp$+pp3+++=her
and ^cc++++=and
returned ^vbd+++xvbn+=returned
it ^pp3+it+++=it
in ^in++++=in
a ^at++++=a
smaller ^jjr+atrb+++=smaller,
, ^zz++++=EXTRAWORD
smoother ^jjr+atrb+++=smoother
form ^nn++++=form,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
machine ^nn++++=machine
that ^tht+rel+subj++=that
took ^vbd+++xvbn+=took
in ^rb+phrv+++=in
rocks ^nns++++=rocks
and ^cc++++=and
gave ^vbd+++xvbn+=gave
back ^rb+phrv+++=back
driveway ^nn++++=driveway
gravel ^nn++++=gravel.
. ^zz++++=EXTRAWORD
Harlow ^np++++=Harlow's
's ^$++++=EXTRAWORD
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Harlow ^np++++=Harlow,
, ^zz++++=EXTRAWORD
Randy ^np++++=Randy's
's ^$++++=EXTRAWORD
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
most ^ql+emph+++=most
of ^in++++=of
us ^pp1o+pp1+++=us
still ^rb++++=still
called ^vbd+++xvbn+=called
it ^pp3+it+++=it
Harlow ^np++++=Harlow's
's ^vbz+bez+vrb++0=EXTRAWORD
after ^in++++=after
Randy ^np++++=Randy's
's ^$++++=EXTRAWORD
father ^nn++++=father,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
dead ^jj++++=dead
eleven ^cd++++=eleven
years ^nns++++=years
and ^cc++++=and
had ^vb+hv+vrb++=had
never ^rb+cnj+++=never,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
alive ^jj++++=alive,
, ^zz++++=EXTRAWORD
spent ^j+++xvbn+=spent
as ^ql++++=as
many ^ap++++=many
hours ^nns++++=hours
in ^in++++=in
the ^ati++++=the
place ^nn++++=place
as ^in++++=as
his ^pp$+pp3+++=his
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
sold ^vbd+++xvbnx+=sold
paint ^nn++++=paint,
, ^zz++++=EXTRAWORD
chicken ^nn++++=chicken
wire ^nn++++=wire,
, ^zz++++=EXTRAWORD
work ^nn++++=work
gloves ^nns++++=gloves,
, ^zz++++=EXTRAWORD
birdseed ^j+++xvbn+=birdseed,
, ^zz++++=EXTRAWORD
rat ^nn++++=rat
poison ^nn++++=poison,
, ^zz++++=EXTRAWORD
ceramic ^jj+atrb+++=ceramic
flowerpots ^nns+++??+=flowerpots,
, ^zz++++=EXTRAWORD
keys ^nns++++=keys
cut ^vbd+++xvbn+=cut
while ^cs+sub+++=while
you ^pp2+pp2+++=you
waited ^vbd+++xvbn+=waited,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
groceries ^nns+nom+++=groceries
for ^in++++=for
people ^nns++++=people
who ^whp+rel+subj++=who
did ^vbd+dod+aux++=did
not ^xnot++not++=not
care ^vb+vprv+++=care
to ^to+vcmp+++=to
drive ^vbi++++=drive
out ^rp+pl+++=out
to ^in++++=to
the ^ati++++=the
highway ^nn++++=highway.
. ^zz++++=EXTRAWORD
Gloria ^np++++=Gloria
worked ^vbd+++xvbn+=worked
the ^ati++++=the
register ^nn+nom+++=register
and ^cc++++=and
stocked ^vbd+++xvbn+=stocked
the ^ati++++=the
shelves ^nns++++=shelves.
. ^zz++++=EXTRAWORD
Randy ^np+++??+=Randy
handled ^vbd+++xvbn+=handled
deliveries ^nns+nom+++=deliveries,
, ^zz++++=EXTRAWORD
lumber ^vb++++=lumber
orders ^nns++++=orders,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
anything ^pn++++=anything
requiring ^vbg+vsua++xvbg+=requiring
a ^at++++=a
ladder ^nn++++=ladder.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mother ^npt++++=mother
handled ^vbd+++xvbn+=handled
everything ^pn++++=everything
else ^rb+cnj+++=else,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Harlow ^np++++=Harlow
believed ^vbd+vprv++xvbn+=believed
in ^in++++=in
honesty ^nn++++=honesty
the ^ati++++=the
way ^nn++++=way
other ^ap++++=other
people ^nns++++=people
believe ^vb+vprv+++=believe
in ^in++++=in
baptism ^nn+nom+++=baptism.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wore ^vbd+++xvbnx+=wore
her ^pp$+pp3+++=her
dead ^jj+atrb+++=dead
husband ^nn++++=husband's
's ^vbz+bez+vrb++0=EXTRAWORD
heavy ^jj+atrb+++=heavy
black ^jj+atrb+++=black
glasses ^nns++++=glasses,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
prescription ^nn+nom+++=prescription
gave ^vbd+++xvbn+=gave
her ^pp$+pp3+++=her
headaches ^nns++++=headaches,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
modern ^jj++++=modern
frames ^vbz++++=frames
made ^vbd+++xvbn+=made
a ^at++++=a
woman ^nn++++=woman
look ^vb++++=look
" ^zz++++="frivolous."
frivolous ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face
was ^vbd+bedz+aux++=was
tanned ^vpsv++agls+xvbnx+=tanned
and ^cc++++=and
folded ^jj+++xvbn+=folded.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
voice ^nn++++=voice
sounded ^vbd+++xvbn+=sounded
as ^cs+sub+++=as
though ^cs+sub+++=though
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
stored ^vpsv++agls+xvbnx+=stored
overnight ^jjb++++=overnight
in ^in++++=in
a ^at++++=a
whiskey ^nn+++??+=whiskey
barrel ^nn++++=barrel.
. ^zz++++=EXTRAWORD
" ^zz++++="People
people ^nns++++=EXTRAWORD
appreciate ^nn+nom+++=appreciate
candor ^nn++++=candor,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
People ^nns++++=People
did ^vbd+dod+vrb++=did
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
appreciated ^vbd+vprv++xvbnx+=appreciated
knowing ^vbg+vprv++xvbg+=knowing
where ^wrb+who+whcl++=where
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Randy ^np+++??+=Randy
was ^vbd+bedz+vrb++=was
thirty ^cd++++=thirty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
broad ^jj++++=broad
through ^in++++=through
the ^ati++++=the
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
soft ^jj++++=soft
through ^in++++=through
the ^ati++++=the
middle ^jjb++++=middle,
, ^zz++++=EXTRAWORD
with ^in++++=with
blond ^jj+atrb+++=blond
hair ^nn++++=hair
he ^pp3a+pp3+++=he
combed ^vbd+++xvbnx+=combed
straight ^rb++++=straight
back ^jjb++++=back
while ^cs+sub+++=while
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
wet ^jj+pred+++=wet.
. ^zz++++=EXTRAWORD
On ^in++++=On
Friday ^nr++++=Friday
evenings ^nns++++=evenings
he ^pp3a+pp3+++=he
washed ^vbd+++xvbnx+=washed
his ^pp$+pp3+++=his
red ^jj+atrb+++=red
truck ^nn++++=truck
beside ^in+pl+++=beside
the ^ati++++=the
store ^nn++++=store,
, ^zz++++=EXTRAWORD
even ^rb++++=even
in ^in++++=in
winter ^nn++++=winter,
, ^zz++++=EXTRAWORD
letting ^vbg+++xvbg+=letting
gray ^np++++=gray
rivers ^nns++++=rivers
run ^vbd+++xvbn+=run
across ^in+ppvb+++=across
the ^ati++++=the
parking ^jj+atrb++xvbg+=parking
lot ^nn++++=lot.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed
at ^in+ppvb+++=at
his ^pp$+pp3+++=his
own ^ap++++=own
dirty ^jj+atrb+++=dirty
jokes ^nns++++=jokes
and ^cc++++=and
ate ^vbd+++xvbn+=ate
snack ^nn++++=snack
cakes ^nns++++=cakes
two ^cd++++=two
at ^in++++=at
a ^at++++=a
time ^nn++++=time.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
peculiar ^jj+atrb+++=peculiar
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
rough ^jj++++=rough
and ^cc+phrs+++=and
bright ^jj++++=bright,
, ^zz++++=EXTRAWORD
like ^in++++=like
an ^at++++=an
orange ^np++++=orange
rolled ^vbd+++xvbn+=rolled
over ^in++++=over
broken ^vbd+++xvbn+=broken
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
Gloria ^np++++=Gloria
loved ^vbd+++xvbn+=loved
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
at ^rb++++=at
first ^rb"++++=first.
. ^zz++++=EXTRAWORD
