# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
A ^at++++=A
Considerate ^jj+atrb+++=Considerate
Proposal ^nn+nom+++=Proposal
for ^in++++=for
Relieving ^xvbg+++xvbg+=Relieving
the ^ati++++=the
Kingdom ^nn+nom+++=Kingdom
of ^in++++=of
Its ^pp$+it+++=Its
Superfluous ^jj+atrb+++=Superfluous
Infants ^nns+nom+++=Infants,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
Rendering ^nn++++=Rendering
the ^ati++++=the
Poor ^jj++++=Poor
Profitable ^jj++++=Profitable
to ^in++++=to
Their ^pp$+pp3+++=Their
Country ^nn++++=Country
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
spectacle ^nn++++=spectacle
capable ^jj++++=capable
of ^in++++=of
disturbing ^xvbg+++xvbg+=disturbing
the ^ati++++=the
most ^ql+emph+++=most
composed ^jj+atrb++xvbn+=composed
traveller ^nn+nom+++=traveller,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
walks ^nns++++=walks
through ^in++++=through
Dublin ^np++++=Dublin,
, ^zz++++=EXTRAWORD
Cork ^nn++++=Cork,
, ^zz++++=EXTRAWORD
Galway ^np++++=Galway,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
any ^dti++++=any
country ^nn++++=country
town ^nn++++=town
of ^in++++=of
this ^dt+dem+++=this
afflicted ^jj+++xvbn+=afflicted
kingdom ^npl+nom+++=kingdom,
, ^zz++++=EXTRAWORD
to ^to++++=to
behold ^vbi++++=behold
the ^ati++++=the
lanes ^nns++++=lanes
crowded ^vbd+++xvbn+=crowded
with ^in++++=with
women ^nns++++=women
in ^in++++=in
rags ^nns++++=rags,
, ^zz++++=EXTRAWORD
each ^dt++++=each
followed ^vpsv++by+xvbn+=followed
by ^in++++=by
four ^cd++++=four,
, ^zz++++=EXTRAWORD
five ^cd++++=five,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
six ^cd++++=six
children ^nns++++=children,
, ^zz++++=EXTRAWORD
all ^abn++++=all
bare ^jj++++=bare-legged,
- ^zz++++=EXTRAWORD
legged ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
importunate ^nn+nom+++=importunate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
no ^at++++=no
visible ^jj+atrb+++=visible
use ^nn++++=use
to ^in++++=to
themselves ^ppls+pp3+++=themselves
or ^cc++++=or
the ^ati++++=the
public ^nn++++=public.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
mothers ^nns+nom+++=mothers,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
earning ^xvbg+++xvbg+=earning
an ^at++++=an
honest ^jj+atrb+++=honest
livelihood ^nn+nom+++=livelihood,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
forced ^vpsv++agls+xvbnx+=forced
to ^to+vcmp+++=to
employ ^vbi++++=employ
their ^pp$+pp3+++=their
whole ^jj+atrb+++=whole
time ^nn++++=time
in ^in++++=in
begging ^xvbg+++xvbg+=begging
sustenance ^nn+nom+++=sustenance
for ^in++++=for
their ^pp$+pp3+++=their
helpless ^jj+atrb+++=helpless
offspring ^nn++++=offspring,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
