# ^zz++++=##
# ^zz++++=EXTRAWORD
Will ^md+prd+++=WILL
It ^pp3+it+++=IT
Pay ^vb++++=PAY?
? ^zz++++=EXTRAWORD
" ^zz++++="Will
will ^md+prd+++=EXTRAWORD
it ^pp3+it+++=it
pay ^vb++++=pay?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones
elevated ^vbd+++xvbn+=elevated
his ^pp$+pp3+++=his
eye ^nn++++=eye-brows,
- ^zz++++=EXTRAWORD
brows ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
drew ^j+++xvbn+=drew
back ^jjb++++=back
from ^in++++=from
his ^pp$+pp3+++=his
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
regarded ^vbd+++xvbn+=regarded
his ^pp$+pp3+++=his
neighbour ^nn++++=neighbour
with ^in++++=with
an ^at++++=an
expression ^nn++++=expression
in ^in++++=in
which ^whp+rel+pied++=which
surprise ^nn++++=surprise
and ^cc++++=and
amusement ^nn+nom+++=amusement
were ^vbd+bed+aux++=were
blended ^vpsv++agls+xvbnx+=blended.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
cannot ^md+pos+not++=cannot
answer ^vb++++=answer
that ^tht+vcmp+++=that
question ^nn+nom+++=question,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
not ^xnot++not++=not
considered ^vbd+vprv++xvbn+=considered
the ^ati++++=the
matter ^nn++++=matter
in ^in++++=in
dollars ^nns++++=dollars
and ^cc++++=and
cents ^nns++++=cents."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
not ^xnot++not++=not
considered ^vbd+vprv++xvbn+=considered
it ^pp3+it+++=it
at ^rb++++=at
all ^abn++++=all,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
short ^jj+atrb+++=short
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
" ^zz++++="Every
every ^at++++=EXTRAWORD
prudent ^jj+atrb+++=prudent
man ^nn++++=man
asks ^vbz++++=asks,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
gives ^vbz++++=gives
his ^pp$+pp3+++=his
time ^nn++++=time
to ^in++++=to
any ^dti++++=any
undertaking ^jj+++xvbg+=undertaking
' ^zz++++='Will
will ^md+prd+++=EXTRAWORD
it ^pp3+it+++=it
pay? ^nn+++??+=pay?'"
'" ^nn+++??+=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
may ^md+pos+++=may
pay ^vb++++=pay
in ^in++++=in
a ^at++++=a
manner ^nn++++=manner
not ^xnot++not++=not
entered ^vbd+++xvbn+=entered
in ^in++++=in
our ^pp$+pp1+++=our
ledgers ^nns+nom+++=ledgers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah!
ah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
sentiment ^nn+nom+++=sentiment!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
returned ^vbd+++xvbn+=returned
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
very ^ql+amp+++=very
pretty ^rb++++=pretty
commodity ^nn+nom+++=commodity,
, ^zz++++=EXTRAWORD
no ^at++++=no
doubt ^nn++++=doubt;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
one ^cd1++++=one
which ^whp+rel+obj++=which
bears ^nns++++=bears
no ^at++++=no
quotation ^nn+nom+++=quotation
in ^in++++=in
the ^ati++++=the
market ^nn++++=market."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
men ^nns++++=men
were ^vbd+bed+aux++=were
seated ^vpsv++agls+xvbnx+=seated
in ^in++++=in
the ^ati++++=the
counting ^jj+++xvbg+=counting-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones,
, ^zz++++=EXTRAWORD
a ^at++++=a
merchant ^nn+nom+++=merchant
whose ^whp+rel+obj++=whose
reputation ^nn+nom+++=reputation
for ^in++++=for
sharpness ^nns+nom+++=sharpness
