In ^in++++=In
the ^ati++++=the
house ^nn++++=house
of ^in++++=of
Saradasankar ^np+++??+=Saradasankar,
, ^zz++++=EXTRAWORD
zemindar ^nn+++??+=zemindar
of ^in++++=of
Ranihat ^np+++??+=Ranihat,
, ^zz++++=EXTRAWORD
Kadambini ^np+++??+=Kadambini
had ^vb+hv+vrb++=had
no ^at++++=no
one ^cd1++++=one
whom ^whp+rel+obj++=whom
the ^ati++++=the
law ^nn++++=law
or ^cc++++=or
the ^ati++++=the
priest ^nn++++=priest
would ^md+prd+++=would
call ^vb++++=call
her ^pp3o+pp3+++=her
own ^ap++++=own.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
husband ^nn++++=husband
had ^vb+hv+vrb++=had
long ^rb++++=long
ago ^rb++++=ago
departed ^jj+++xvbn+=departed
to ^in++++=to
that ^dt+dem+++=that
country ^nn++++=country
from ^in++++=from
which ^whp+rel+pied++=which
letters ^nns+nom+++=letters
do ^vb+do+aux++=do
not ^xnot++not++=not
arrive ^vb++++=arrive;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
borne ^vprf+++xvbnx+=borne
no ^at++++=no
child ^nn++++=child;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
her ^pp3o+pp3+++=her
father ^npt++++=father's
's ^$++++=EXTRAWORD
people ^nns++++=people
neither ^dt++neg++=neither
roof ^nn++++=roof
nor ^cc++neg++=nor
welcome ^jj++++=welcome
remained ^jj+++xvbn+=remained.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
human ^jj+atrb+++=human
heart ^nn++++=heart
is ^vbz+bez+vrb++=is
a ^at++++=a
stubborn ^jj+atrb+++=stubborn
householder ^nn+nom+++=householder.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
one ^cd1++++=one
door ^nn++++=door
is ^vbz+bez+aux++=is
sealed ^vpsv++agls+xvbnx+=sealed,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
finds ^vbz+vprv+++=finds
another ^dt++++=another
room ^nn++++=room
in ^in++++=in
which ^whp+rel+pied++=which
to ^in++++=to
light ^nn++++=light
its ^pp$+it+++=its
lamp ^nn++++=lamp.
. ^zz++++=EXTRAWORD
Saradasankar ^np++++=Saradasankar's
's ^$++++=EXTRAWORD
little ^ap++++=little
son ^nn++++=son
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
left ^vpsv++agls+xvbnx+=left
almost ^rb+hdg+++=almost
from ^in++++=from
birth ^nn++++=birth
to ^in++++=to
Kadambini ^np++++=Kadambini's
's ^$++++=EXTRAWORD
care ^nn++++=care,
, ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
frequently ^rb++++=frequently
ill ^jj++++=ill,
, ^zz++++=EXTRAWORD
possessed ^j+++xvbn+=possessed
the ^ati++++=the
dignity ^nn+nom+++=dignity
of ^in++++=of
motherhood ^nn+nom+++=motherhood
more ^rbr++++=more
securely ^rb++++=securely
than ^in++++=than
its ^pp$+it+++=its
daily ^jj+atrb+++=daily
burdens ^nns++++=burdens.
. ^zz++++=EXTRAWORD
Kadambini ^np+++??+=Kadambini
fed ^vbd+++xvbn+=fed
the ^ati++++=the
child ^nn++++=child,
, ^zz++++=EXTRAWORD
