**the ^nn+++??+=**THE
Price ^nn++++=PRICE
Of ^in++++=OF
Simplicity** ^np+++??+=SIMPLICITY**
**vienna ^nn+++??+=**VIENNA,
, ^zz++++=EXTRAWORD
May ^md+pos+++=May
17 ^cd++++=17.
. ^zz++++=EXTRAWORD
**the ^nn+++??+=**The
morning ^nn++++=morning
papers ^nns++++=papers
report ^vb++++=report
that ^tht+vcmp+++=that
each ^ppls++++=each
of ^in++++=of
the ^ati++++=the
American ^jj+atrb+++=American
gentlemen ^nns++++=gentlemen
lately ^rb+tm+++=lately
employed ^vbd+++xvbn+=employed
upon ^in++++=upon
the ^ati++++=the
Peace ^nn++++=Peace
Commission ^nn++++=Commission
in ^in++++=in
Paris ^np++++=Paris
received ^vbd+++xvbn+=received
one ^cd1++++=one
hundred ^cd++++=hundred
thousand ^cd++++=thousand
dollars ^nns++++=dollars
for ^in++++=for
six ^cd++++=six
weeks ^nns++++=weeks'
' ^zz++++=EXTRAWORD
work ^nn++++=work.
. ^zz++++=EXTRAWORD
The ^ati++++=The
papers ^nns++++=papers
do ^vb+do+aux++=do
not ^xnot++not++=not
say ^vb+vpub+++=say
whether ^cs+who+++=whether
this ^dt+dem+++=this
sum ^nn++++=sum
included ^vbd+++xvbn+=included
stationery ^nn+nom+++=stationery,
, ^zz++++=EXTRAWORD
shoe ^nn++++=shoe-leather,
- ^zz++++=EXTRAWORD
leather ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
expense ^nn++++=expense
of ^in++++=of
keeping ^xvbg+++xvbg+=keeping
peace ^nn++++=peace
after ^cs+sub+++=after
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
made ^vpsv++agls+xvbnx+=made;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
take ^vb++++=take
it ^pp3+it+++=it
that ^cs+sub+++=that
these ^dt+pdem+++=these
were ^vbd+bed+vrb++=were
extras ^nns++++=extras,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
properly ^rb++++=properly
so ^rb++++=so.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
trust ^vb+vprv+tht0++=trust
the ^ati++++=the
report ^nn++++=report
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
trust ^vb+vprv+tht0++=trust
it ^pp3+it+++=it
with ^in++++=with
that ^dt+dem+++=that
unselfish ^jj++++=unselfish
and ^cc++++=and
almost ^rb+hdg+++=almost
religious ^jj+atrb+++=religious
fervor ^nn++++=fervor
which ^whp+rel+obj++=which
a ^at++++=a
man ^nn++++=man
feels ^vbz+vprv+++=feels
when ^wrb+who+whcl++=when
the ^ati++++=the
prosperity ^nn+nom+++=prosperity
in ^in++++=in
question ^nn+nom+++=question
belongs ^vbz++++=belongs
entirely ^rb+amp+++=entirely
to ^in++++=to
somebody ^pn++++=somebody
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
any ^dti++++=any
member ^nn++++=member
of ^in++++=of
the ^ati++++=the
Commission ^nn++++=Commission,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
suspected ^vpsv++agls+xvbnx+=suspected
of ^in++++=of
gratitude ^nn++++=gratitude;
; ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
am ^vb+bem+vrb++=am
I ^pp1a+pp1+++=I
a ^at++++=a
member ^nn++++=member
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
charged ^vpsv++agls+xvbnx+=charged
with ^in++++=with
defending ^xvbg+++xvbg+=defending
my ^pp$+pp1+++=my
own ^ap++++=own
wages ^nns++++=wages.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stand ^vb++++=stand
on ^in++++=on
the ^ati++++=the
high ^jj++++=high,
, ^zz++++=EXTRAWORD
dry ^jj++++=dry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
commanding ^jj+atrb++xvbg+=commanding
ground ^nn++++=ground
of ^in++++=of
the ^ati++++=the
disinterested ^jj+atrb+++=disinterested
taxpayer ^nn+nom+++=taxpayer.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
report ^nn++++=report
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true,
, ^zz++++=EXTRAWORD
a ^at++++=a
precedent ^nn++++=precedent
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
born ^vpsv++agls+xvbnx+=born.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
healthy ^jj+atrb+++=healthy
child ^nn++++=child,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
weighs ^vbz++++=weighs
one ^cd1++++=one
hundred ^cd++++=hundred
thousand ^cd++++=thousand
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
lungs ^nns++++=lungs
are ^vb+ber+vrb++=are
good ^jj+pred+++=good.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
should ^md+nec+++=should
feed ^vb++++=feed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
clothe ^nn+++??+=clothe
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
educate ^nn+nom+++=educate
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
guard ^nn++++=guard
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
ordinary ^jj+atrb+++=ordinary
diseases ^nns++++=diseases
of ^in++++=of
governmental ^jj+atrb+++=governmental
infancy ^nn++++=infancy
investigation ^nn+nom+++=investigation,
, ^zz++++=EXTRAWORD
retrenchment ^nn+nom+++=retrenchment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Congressional ^np+nom++??+=Congressional
committee ^nn+nom+++=committee.
. ^zz++++=EXTRAWORD
A ^at++++=A
precedent ^nn++++=precedent
of ^in++++=of
this ^dt+dem+++=this
kind ^nn++++=kind
might ^md+pos+++=might
grow ^vb++++=grow
up ^rp++++=up
and ^cc++++=and
do ^vb+do+vrb++=do
the ^ati++++=the
country ^nn++++=country
real ^jj+atrb+++=real
service ^nn++++=service.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
might ^md+pos+++=might
even ^cs+sub+++=even
become ^vprf+++xvbn+=become
attached ^vwbn+++xvbn+=attached
to ^in++++=to
the ^ati++++=the
diplomatic ^jj+atrb+++=diplomatic
branch ^nn++++=branch
of ^in++++=of
the ^ati++++=the
Republic ^nn++++=Republic,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
long ^rb++splt++=long
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
need ^in"++++=need
of ^in"++++=of
some ^dti++++=some
respectable ^jj+atrb+++=respectable
relative ^nn++++=relative
with ^in++++=with
money ^nn++++=money.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Commissioners ^nns+nom+++=Commissioners'
' ^zz++++=EXTRAWORD
pay ^nn++++=pay
amounts ^nns++++=amounts,
, ^zz++++=EXTRAWORD
roughly ^rb+cnj+++=roughly,
, ^zz++++=EXTRAWORD
to ^to++++=to
sixteen ^cd++++=sixteen
thousand ^cd++++=thousand
six ^cd++++=six
hundred ^cd++++=hundred
and ^cc++++=and
sixty ^cd++++=sixty-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
dollars ^nns++++=dollars
a ^at++++=a
week ^nn++++=week.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
will ^md+prd+++=will
be ^vb+be+vrb++=be
persons ^nns++++=persons
at ^in++++=at
home ^nr++++=home
who ^whp+rel+subj++=who
will ^md+prd+++=will
call ^vb++++=call
this ^dt+dem+++=this
extravagance ^nn+nom+++=extravagance.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
always ^rb++++=always
persons ^nns++++=persons
at ^in++++=at
home ^nr++++=home
