By ^in++++=By
the ^ati++++=the
time ^nn++++=time
my ^pp$+pp1+++=my
parents ^nns++++=parents
began ^vbd+++xvbn+=began
to ^to++++=to
resemble ^vbi++++=resemble
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
persuade ^vbi++++=persuade
them ^pp3o+pp3+++=them
to ^to++++=to
move ^vbi++++=move
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
flat ^nn++++=flat.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
there ^rn+pl+++=there
for ^in++++=for
thirty ^cd++++=thirty-eight
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
years ^nns++++=years,
, ^zz++++=EXTRAWORD
first ^od++++=first
as ^ql++++=as
university ^npl+nom+++=university
lecturers ^nns+nom+++=lecturers
with ^in++++=with
two ^cd++++=two
children ^nns++++=children
and ^cc++++=and
a ^at++++=a
succession ^nn++++=succession
of ^in++++=of
cousins ^nns++++=cousins,
, ^zz++++=EXTRAWORD
house ^npl++++=house
helps ^vbz++++=helps,
, ^zz++++=EXTRAWORD
visiting ^vbg+++xvbg+=visiting
colleagues ^nns++++=colleagues,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stranded ^jj+atrb+++=stranded
acquaintances ^nns+nom+++=acquaintances;
; ^zz++++=EXTRAWORD
later ^rbr+tm+++=later
as ^cs+sub+++=as
retired ^xvbn+++xvbn+=retired
people ^nns++++=people
surrounded ^vwbn+++xvbn+=surrounded
by ^in++++=by
the ^ati++++=the
remains ^nns++++=remains
of ^in++++=of
those ^dt+dem+++=those
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
room ^nn++++=room
was ^vbd+bedz+vrb++=was
overfull ^nn+++??+=overfull.
. ^zz++++=EXTRAWORD
Books ^nns++++=Books
were ^vbd+bed+aux++=were
stacked ^vpsv++agls+xvbnx+=stacked
beneath ^in+pl+++=beneath
chairs ^nns++++=chairs
and ^cc++++=and
behind ^in+pl+++=behind
curtains ^nns++++=curtains.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mother ^npt++++=mother
kept ^vbd+++xvbn+=kept
old ^jj+atrb+++=old
bottles ^nns++++=bottles
of ^in++++=of
Mateus ^np+++??+=Mateus
ros ^nns+++??+=ros
on ^in++++=on
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
kitchen ^nn++++=kitchen
cabinets ^nns++++=cabinets
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
liked ^vbd+++xvbnx+=liked
the ^ati++++=the
shape ^nn++++=shape
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
sideboard ^nn++++=sideboard
stood ^vbd+++xvbn+=stood
a ^at++++=a
family ^nn++++=family
of ^in++++=of
Russian ^jj+atrb+++=Russian
dolls ^nns++++=dolls,
, ^zz++++=EXTRAWORD
bought ^j+++xvbn+=bought
during ^in++++=during
a ^at++++=a
conference ^nn+nom+++=conference
in ^in++++=in
Moscow ^np++++=Moscow,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
smallest ^jjt+atrb+++=smallest
doll ^nn++++=doll
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
missing ^vbg+++xvbgx+=missing
since ^cs+sub+++=since
my ^pp$+pp1+++=my
sister ^nn++++=sister
was ^vbd+bedz+vrb++=was
ten ^cd++++=ten.
. ^zz++++=EXTRAWORD
On ^in++++=On
that ^dt+dem+++=that
visit ^nn++++=visit,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
noticed ^vbd+vprv++xvbnx+=noticed
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
father ^nn++++=father
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
use ^vbi++++=use
my ^pp$+pp1+++=my
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
expressions ^nns++++=expressions.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said
" ^zz++++="Imagine
imagine ^vb+vprv+++=EXTRAWORD
that ^tht+vcmp+++=that"
" ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
measured ^vbd+++xvbn+=measured
indignation ^nn+nom+++=indignation
and ^cc++++=and
narrowed ^vbd+++xvbn+=narrowed
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
before ^in++++=before
disagreeing ^nn++++=disagreeing
with ^in++++=with
the ^ati++++=the
television ^nn++++=television.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
mocked ^vprf+++xvbnx+=mocked
his ^pp$+pp3+++=his
habit ^nn++++=habit
of ^in++++=of
rubbing ^xvbg+++xvbg+=rubbing
Vicks ^np+++??+=Vicks
Vaporub ^np+++??+=VapoRub
on ^in++++=on
every ^at++++=every
imaginable ^jj+atrb+++=imaginable
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
carried ^vbd+++xvbn+=carried
a ^at++++=a
small ^jj+atrb+++=small
jar ^nn++++=jar
in ^in++++=in
her ^pp$+pp3+++=her
handbag ^nn++++=handbag.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
faces ^nns++++=faces,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
drawn ^vprf+++xvbnx+=drawn
closer ^rbr++++=closer.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
cheeks ^nns++++=cheeks
had ^vbd+hvd+aux++=had
loosened ^vprf+++xvbnx+=loosened
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
places ^nns++++=places.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
lips ^nns++++=lips
had ^vbd+hvd+aux++=had
thinned ^vprf+++xvbnx+=thinned.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
side ^nn++++=side,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening
light ^nn++++=light,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
profiles ^nns++++=profiles
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
overlap ^vbi++++=overlap.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+aux++=are
looking ^vbg+++xvbgx+=looking
at ^rb++++=at
us ^pp1o+pp1+++=us
as ^cs+sub+++=as
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
paint ^vbi++++=paint
us ^pp1o+pp1+++=us,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
mother ^npt++++=mother
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
only ^rb+down+splt++=only
looking ^vbg+++xvbgx+=looking."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
not ^xnot++not++=not
seen ^vbd+vprv++xvbn+=seen
old ^jj+atrb+++=old
people ^nns++++=people
before ^in++++=before?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^nn++++=father
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
" ^zz++++="Leave
leave ^nn++++=EXTRAWORD
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
calculating ^vbg+++xvbgx+=calculating
how ^wrb+who+++=how
much ^rb++++=much
the ^ati++++=the
funeral ^nn++++=funeral
will ^md+prd+++=will
cost ^vb++++=cost."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
foolish ^jj+atrb+++=foolish
thing ^nn++++=thing
to ^to++++=to
say ^vbi+vpub+++=say."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
practical ^jj++++=practical."
. ^zz++++=EXTRAWORD
