Once ^rb+tm+++=Once
upon ^in++++=upon
a ^at++++=a
time ^nn++++=time
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
village ^nn+nom+++=village
cat ^nn++++=cat
called ^vbd+++xvbn+=called
Ribby ^np+++??+=Ribby,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
in ^in++++=in
a ^at++++=a
white ^jj+atrb+++=white
cottage ^nn+nom+++=cottage
with ^in++++=with
green ^jj+atrb+++=green
shutters ^nns+nom+++=shutters
and ^cc++++=and
a ^at++++=a
brass ^nn++++=brass
knocker ^jjr++++=knocker
shaped ^jj+++xvbn+=shaped
like ^in++++=like
a ^at++++=a
fish ^nn++++=fish.
. ^zz++++=EXTRAWORD
Ribby ^np+++??+=Ribby
was ^vbd+bedz+vrb++=was
an ^at++++=an
excellent ^jj+atrb+++=excellent
housekeeper ^nn+nom+++=housekeeper.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
hearth ^nn++++=hearth
was ^vbd+bedz+aux++=was
swept ^vpsv++agls+xvbnx+=swept
every ^at++++=every
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
plates ^nns++++=plates
stood ^vbd+++xvbn+=stood
in ^in++++=in
shining ^xvbg+++xvbg+=shining
rows ^nns++++=rows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
best ^jjt+atrb+++=best
tablecloth ^nn++++=tablecloth
was ^vbd+bedz+aux++=was
kept ^vpsv++agls+xvbnx+=kept
folded ^vwbn+++xvbn+=folded
between ^in++++=between
sheets ^nns++++=sheets
of ^in++++=of
blue ^jj+atrb+++=blue
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
Tuesday ^nr++++=Tuesday
Ribby ^np+++??+=Ribby
wrote ^vbd+vprv++xvbn+=wrote
a ^at++++=a
note ^nn++++=note
to ^in++++=to
Duchess ^nns+nom+++=Duchess,
, ^zz++++=EXTRAWORD
the ^ati++++=the
little ^jj++++=little
black ^jj++++=black-and-tan
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
tan ^nn++++=EXTRAWORD
dog ^nn++++=dog
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
beside ^in+pl+++=beside
the ^ati++++=the
grocer ^nn++++=grocer's
's ^$++++=EXTRAWORD
shop ^nn++++=shop.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^uh++++=dear
Duchess ^nns+nom+++=Duchess,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
wrote ^vbd+vprv++xvbn+=wrote
Ribby ^np+++??+=Ribby,
, ^zz++++=EXTRAWORD
" ^zz++++="if
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
not ^xnot++not++=not
otherwise ^rb+cnj+++=otherwise
engaged ^vbd+++xvbn+=engaged,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
you ^pp2+pp2+++=you
come ^vb++++=come
to ^in++++=to
tea ^nn++++=tea
on ^in++++=on
Friday ^nr++++=Friday
at ^in++++=at
four ^cd++++=four
o ^zz++++=o'clock?
'clock? ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
baking ^nn++++=baking
a ^at++++=a
mouse ^nn++++=mouse-and-bacon
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
bacon ^np++++=EXTRAWORD
pie ^nn++++=pie,
, ^zz++++=EXTRAWORD
with ^in++++=with
pastry ^nn++++=pastry
leaves ^nns++++=leaves
upon ^in++++=upon
the ^ati++++=the
top ^nn++++=top.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
affectionate ^jj+atrb+++=affectionate
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
Ribby ^np+++??+=Ribby."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sprinkled ^vbd+++xvbnx+=sprinkled
sand ^nn++++=sand
upon ^in++++=upon
the ^ati++++=the
writing ^nvbg+++xvbg+=writing,
, ^zz++++=EXTRAWORD
shook ^j+++xvbn+=shook
it ^pp3+it+++=it
off ^rp+pl+++=off,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sent ^vbd+++xvbn+=sent
the ^ati++++=the
note ^nn++++=note
by ^in++++=by
a ^at++++=a
young ^jj+atrb+++=young
rabbit ^nn++++=rabbit
who ^whp+rel+subj++=who
delivered ^xvbn+++xvbn+=delivered
parcels ^nns++++=parcels.
. ^zz++++=EXTRAWORD
Duchess ^nns+nom+++=Duchess
received ^vbd+++xvbn+=received
it ^pp3+it+++=it
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
polishing ^vbg+++xvbgx+=polishing
her ^pp3o+pp3+++=her
collar ^nn++++=collar-bells.
- ^zz++++=EXTRAWORD
bells ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
very ^ap+amp+++=very
kind ^nn++++=kind!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
aloud ^rb++++=aloud.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
read ^vbd+vprv++xvbnx+=read
the ^ati++++=the
words ^nns++++=words
mouse ^nn++++=mouse-and-bacon,
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
bacon ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
ears ^nns++++=ears
drooped ^vbd+++xvbn+=drooped.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
mouse ^nn++++=mouse
pie ^nn++++=pie!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh
dear ^jj++++=dear!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
abide ^vb++++=abide
mouse ^nn++++=mouse.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+vrb++=has
whiskers ^nns+nom+++=whiskers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
tail ^nn++++=tail,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tiny ^jj+atrb+++=tiny
claws ^nns++++=claws.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
have ^md"++pmd"++=have
to ^md+nec+++=to
