Once ^rb+tm+++=Once
upon ^in++++=upon
a ^at++++=a
time ^nn++++=time,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
parish ^nn++++=parish
of ^in++++=of
Wendron ^np+++??+=Wendron,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
lived ^vprf+++xvbn+=lived
a ^at++++=a
farmer ^nn++++=farmer
called ^vbd+++xvbn+=called
Joby ^np+++??+=Joby
Teague ^np+++??+=Teague,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
two ^cd++++=two
eyes ^nns++++=eyes
could ^md+pos+++=could
never ^rb++splt++=never
agree ^vb+vpub+++=agree
which ^wdt+who+whcl++=which
road ^nn++++=road
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
travelling ^nvbg+++xvbg+=travelling.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
right ^jj+atrb+++=right
eye ^nn++++=eye
looked ^vbd+++xvbn+=looked
towards ^in++++=towards
Helston ^np+++??+=Helston,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
left ^nn+++xvbn+=left
towards ^in++++=towards
Penryn ^np+++??+=Penryn;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
stared ^vbd+++xvbnx+=stared
straight ^jj++++=straight
at ^rb++++=at
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
man ^nn++++=man
would ^md+prd+++=would
glance ^vb++++=glance
behind ^in+pl+++=behind
him ^pp3o+pp3+++=him
to ^to++++=to
see ^vbi+vprv+++=see
who ^whp+wpr+whcl++=who
else ^rb+cnj+++=else
Joby ^np+++??+=Joby
was ^vbd+bedz+aux++=was
speaking ^vbg+++xvbgx+=speaking
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
came ^vbd+++xvbn+=came
about ^rb++++=about
in ^in++++=in
this ^dt+dem+++=this
way ^nn++++=way.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Joby ^np+++??+=Joby
was ^vbd+bedz+vrb++=was
six ^cd++++=six
months ^nns++++=months
old ^jj++++=old,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
father ^nn++++=father
had ^vb+hv+vrb++=had
a ^at++++=a
new ^jj+atrb+++=new
fiddle ^nn++++=fiddle,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
mother ^nn++++=mother
had ^vb+hv+vrb++=had
a ^at++++=a
red ^jj+atrb+++=red
petticoat ^nn++++=petticoat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
seven ^cd++++=seven
aunts ^nns++++=aunts
came ^vbd+++xvbn+=came
over ^in++++=over
from ^in++++=from
Crowan ^np+++??+=Crowan
to ^to++++=to
see ^vbi+vprv+++=see
which ^wdt+who+whcl++=which
made ^vprf+++xvbn+=made
the ^ati++++=the
greater ^nn++++=greater
show ^vb+vprv+++=show.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
supper ^nn++++=supper
the ^ati++++=the
chairs ^nns++++=chairs
were ^vbd+bed+aux++=were
pushed ^vpsv++agls+xvbnx+=pushed
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
the ^ati++++=the
family ^nn++++=family
joined ^vbd+++xvbn+=joined
hands ^nns++++=hands
and ^cc++++=and
danced ^vpsv++agls+xvbn+=danced
round ^rb++++=round
the ^ati++++=the
kitchen ^nn++++=kitchen
table ^nn++++=table.
. ^zz++++=EXTRAWORD
Round ^in++++=Round
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
round ^in++++=round
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
still ^rb+atrb+++=still
round ^jj++++=round,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
the ^ati++++=the
candles ^nns++++=candles
leaned ^vbd+++xvbn+=leaned
in ^in++++=in
their ^pp$+pp3+++=their
sockets ^nns++++=sockets
from ^in++++=from
watching ^xvbg+++xvbg+=watching
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Joby ^np+++??+=Joby
lay ^vbd+++xvbn+=lay
in ^in++++=in
his ^pp$+pp3+++=his
cradle ^nn++++=cradle,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
them ^pp3o+pp3+++=them
with ^in++++=with
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
one ^cd1++++=one
aunt ^nn++++=aunt
was ^vbd+bedz+vrb++=was
broad ^jj+pred+++=broad
and ^cc+phrs+++=and
slow ^jj++++=slow,
, ^zz++++=EXTRAWORD
another ^dt++++=another
thin ^jj++++=thin
and ^cc+phrs+++=and
nimble ^jj++++=nimble,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
father ^nn++++=father
twice ^rb++++=twice
went ^vbd+++xvbn+=went
the ^ati++++=the
wrong ^jj+atrb+++=wrong
way ^nn++++=way.
. ^zz++++=EXTRAWORD
Joby ^np++++=Joby's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes
did ^vbd+dod+vrb++=did
their ^pp$+pp3+++=their
best ^jjt++++=best
to ^to+jcmp+++=to
keep ^vbi++++=keep
count ^npt++++=count
of ^in++++=of
everybody ^pn++++=everybody,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
last ^rb"++++=last
one ^cd1++++=one
stopped ^vbd+++xvbn+=stopped
upon ^in++++=upon
Aunt ^nn++++=Aunt
Loveday ^np+++??+=Loveday
while ^cs+sub+++=while
the ^ati++++=the
other ^ap++++=other
followed ^jj+++xvbn+=followed
Aunt ^npt++++=Aunt
Prudence ^nn+nom+++=Prudence.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
they ^pp3a+pp3+++=they
remained ^vbd+++xvbnx+=remained.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mother ^npt++++=mother
said ^vbd+vpub+tht0+xvbn+=said
they ^pp3a+pp3+++=they
would ^md+prd+++=would
right ^rb++++=right
themselves ^ppls+pp3+++=themselves
by ^in++++=by
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^npt++++=father
said ^vbd+vpub+tht0+xvbn+=said
they ^pp3a+pp3+++=they
would ^md+prd+++=would
right ^rb++++=right
themselves ^ppls+pp3+++=themselves
by ^in++++=by
Christmas ^np++++=Christmas.
. ^zz++++=EXTRAWORD
The ^ati++++=The
doctor ^nn++++=doctor
in ^in++++=in
Helston ^np+++??+=Helston
said ^vbd+vpub+tht0+xvbn+=said
