Until ^in++++=Until
the ^ati++++=the
afternoon ^nn++++=afternoon
of ^in++++=of
our ^pp$+pp1+++=our
adventure ^nn++++=adventure,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
always ^rb++splt++=always
supposed ^vprf+++xvbnx+=supposed
the ^ati++++=the
shop ^nn++++=shop
to ^to++++=to
be ^vbi++vrb++=be
an ^at++++=an
ordinary ^jj+atrb+++=ordinary
one ^pn++++=one.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
stood ^vbd+++xvbn+=stood,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
stand ^vbi++++=stand,
, ^zz++++=EXTRAWORD
in ^in++++=in
Regent ^npt++++=Regent
Street ^nn++++=Street
between ^in++++=between
a ^at++++=a
dealer ^nn++++=dealer
in ^in++++=in
photographic ^jj+atrb+++=photographic
apparatus ^nn++++=apparatus
and ^cc++++=and
a ^at++++=a
respectable ^jj+atrb+++=respectable
establishment ^nn+nom+++=establishment
devoted ^vbd+++xvbn+=devoted
to ^in++++=to
gloves ^nns++++=gloves.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
it ^pp3+it+++=it
perhaps ^rb++++=perhaps
twenty ^cd++++=twenty
times ^nns++++=times,
, ^zz++++=EXTRAWORD
generally ^rb+down+++=generally
in ^in++++=in
haste ^nn++++=haste
and ^cc++++=and
with ^in++++=with
my ^pp$+pp1+++=my
mind ^vb+++??+=mind
occupied ^vpsv++by+xvbn+=occupied
by ^in++++=by
more ^rbr++++=more
reasonable ^jj+atrb+++=reasonable
things ^nns++++=things
appointments ^nns+nom+++=appointments,
, ^zz++++=EXTRAWORD
the ^ati++++=the
weather ^nn++++=weather,
, ^zz++++=EXTRAWORD
the ^ati++++=the
improper ^jj+atrb+++=improper
increase ^nn++++=increase
in ^in++++=in
cab ^nn++++=cab
fares ^nns++++=fares
and ^cc++++=and
had ^vbd+hvd+aux++=had
noticed ^vprf+++xvbnx+=noticed
only ^rb+down+++=only
its ^pp$+it+++=its
narrow ^jj+atrb+++=narrow
frontage ^nn+nom+++=frontage
and ^cc++++=and
a ^at++++=a
modest ^jj+atrb+++=modest
inscription ^nn+nom+++=inscription
in ^in++++=in
tarnished ^jj+atrb++xvbn+=tarnished
gold ^nn++++=gold:
: ^zz++++=EXTRAWORD
Genuine ^jj+atrb+++=GENUINE
Magic ^nn++++=MAGIC
For ^in++++=FOR
Domestic ^jj+atrb+++=DOMESTIC
And ^cc+phrs+++=AND
Educational ^jj+atrb+++=EDUCATIONAL
Purposes ^nns++++=PURPOSES
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
moreover ^nn+nom+++=moreover,
, ^zz++++=EXTRAWORD
certain ^jj+atrb+++=certain
things ^nns++++=things
in ^in++++=in
the ^ati++++=the
window ^nn++++=window:
: ^zz++++=EXTRAWORD
a ^at++++=a
pack ^nn++++=pack
of ^in++++=of
cards ^nns++++=cards
spread ^vbd+++xvbn+=spread
in ^in++++=in
a ^at++++=a
fan ^nn++++=fan
without ^in++++=without
visible ^jj+atrb+++=visible
support ^nn++++=support,
, ^zz++++=EXTRAWORD
a ^at++++=a
white ^jj+atrb+++=white
rabbit ^nn++++=rabbit
asleep ^jj++++=asleep
beneath ^in+pl+++=beneath
a ^at++++=a
glass ^nn++++=glass
shade ^nn++++=shade,
, ^zz++++=EXTRAWORD
several ^ap++++=several
bottles ^nns++++=bottles
labelled ^vwbn+++xvbn+=labelled
Invisibility ^np+nom++??+=INVISIBILITY,
, ^zz++++=EXTRAWORD
Best ^jjt+atrb+++=BEST
Quality ^nn+nom+++=QUALITY,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
black ^jj+atrb+++=black
mask ^nn++++=mask
with ^in++++=with
eyes ^nns++++=eyes
that ^tht+rel+subj++=that
seemed ^vprf+++xvbn+=seemed
inconveniently ^jj++++=inconveniently
attentive ^jj++++=attentive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
papier ^&fw++++=papier-m
- ^zz++++=EXTRAWORD
m ^zz++++=EXTRAWORD
ch ^nnu++++=ch
head ^jjb++++=head
which ^whp+who+++=which
put ^vb+++xvbn+=put
out ^rb+phrv+++=out
its ^pp$+it+++=its
tongue ^nn++++=tongue
when ^wrb+who+++=when
one ^cd1++++=one
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
looking ^vbg+++xvbg+=looking
directly ^rb++++=directly
at ^in++++=at
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
